generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,56,-0.010213117115199566
1,4320, answer,57,-0.006449986714869738
2,420, this,58,-0.011781291104853153
3,3488, question,59,-0.008710307069122791
4,11,",",60,-0.022812513634562492
5,584, we,61,-0.00394751550629735
6,1205, need,62,-0.0032903598621487617
7,311, to,63,0.009949126280844212
8,1440, know,64,0.04272833466529846
9,279, the,65,0.0732962042093277
10,10345, lif,66,0.13695576786994934
11,25632,esp,67,0.1854919046163559
12,598,ans,68,-0.014038271270692348
13,315, of,69,0.06909313052892685
14,2225, both,70,-0.002377306343987584
15,71245, Abbas,71,0.005198849365115166
16,358, I,72,-0.010591531172394753
17,315, of,73,-0.0018370854668319225
18,12867, Saf,74,-0.0021785993594676256
19,402,av,75,-0.010248091071844101
20,3447,ids,76,-0.008759371936321259
21,323, and,77,0.006517957895994186
22,103230, �,78,-0.011561472900211811
23,116,�,79,-0.01823653094470501
24,58911,山,80,-0.03511076420545578
25,102280,才,81,-0.011337513104081154
26,320, (,82,-0.004329546354711056
27,49,R,83,-0.0039025635924190283
28,1609,ik,84,0.006176115013659
29,41101,yu,85,-0.0036188773810863495
30,3677,").

",86,0.013665791600942612
31,16,1,87,0.01106972061097622
32,13,.,88,-0.023378249257802963
33,3146, **,89,0.049142975360155106
34,5953,Ab,90,0.04801425337791443
35,18275,bas,91,-0.0073046390898525715
36,358, I,92,-0.005844025872647762
37,315, of,93,0.015632420778274536
38,12867, Saf,94,-0.002368142595514655
39,402,av,95,-0.0324535109102726
40,3447,ids,96,-0.009264804422855377
41,96618,**:,97,0.0665835291147232
42,1283, He,98,0.022127587348222733
43,574, was,99,0.053526438772678375
44,279, the,100,0.015952378511428833
45,37617, Shah,101,0.00867230910807848
46,315, of,102,0.01046709343791008
47,10471, Iran,103,0.01727709174156189
48,505, from,104,0.011139970272779465
49,220, ,105,0.0017026200657710433
50,11286,158,106,0.0052942149341106415
51,23,8,107,0.006759352050721645
52,311, to,108,0.01680871471762657
53,220, ,109,0.015315962955355644
54,10674,162,110,0.01324516348540783
55,24,9,111,0.017505580559372902
56,13,.,112,0.010687964037060738
57,71245, Abbas,113,0.0183522030711174
58,358, I,114,0.0030797705985605717
59,574, was,115,0.034710440784692764
60,9405, born,116,0.0027509729843586683
61,389, on,117,-0.00924886204302311
62,6186, January,118,-0.01559552550315857
63,220, ,119,-0.028776559978723526
64,1544,27,120,-0.010557163506746292
65,11,",",121,-0.025737453252077103
66,220, ,122,0.19723233580589294
67,10895,157,123,-0.006010107696056366
68,16,1,124,-0.0004056410398334265
69,11,",",125,0.015293724834918976
70,323, and,126,0.03693641349673271
71,8636, died,127,0.03941834717988968
72,389, on,128,0.01297059841454029
73,6186, January,129,0.00410076230764389
74,220, ,130,-0.024279430508613586
75,777,19,131,0.008220325224101543
