generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,54,-0.0016671675257384777
1,4320, answer,55,0.001974421553313732
2,420, this,56,0.0012259897775948048
3,3488, question,57,-0.013834059238433838
4,11,",",58,-0.015735099092125893
5,584, we,59,0.007732770871371031
6,1205, need,60,-0.003322121687233448
7,311, to,61,0.022088978439569473
8,1440, know,62,0.06477686762809753
9,279, the,63,0.1142098680138588
10,10345, lif,64,0.20417587459087372
11,25632,esp,65,0.18613721430301666
12,598,ans,66,-0.027615783736109734
13,315, of,67,0.06810037046670914
14,2225, both,68,-0.0010672167409211397
15,104423, 손,69,0.004000702872872353
16,98934,복,70,-0.028134822845458984
17,20565,가,71,-0.022361047565937042
18,320, (,72,0.001435290789231658
19,46714,Son,73,0.0009328715968877077
20,426, B,74,-0.005010856781154871
21,564,ok,75,-0.0010777540737763047
22,2427,-g,76,-0.003348276484757662
23,64,a,77,-0.005693519487977028
24,8,),78,0.0015211720019578934
25,323, and,79,0.00020259665325284004
26,3765, Ab,80,-0.02133331634104252
27,754,bo,81,-0.03175840154290199
28,315, of,82,-0.017233343794941902
29,47790, Fle,83,-0.022307295352220535
30,3431,ury,84,-0.025387460365891457
31,382,".

",85,-0.00021987559739500284
32,46714,Son,86,0.010029012337327003
33,426, B,87,-0.01797463931143284
34,564,ok,88,-0.02350752241909504
35,2427,-g,89,-0.012719661928713322
36,64,a,90,-0.021068677306175232
37,574, was,91,0.07277517020702362
38,264, a,92,0.03277822956442833
39,16526, Korean,93,-0.004011072684079409
40,4689, general,94,0.005280068144202232
41,2391, during,95,0.0322054959833622
42,279, the,96,0.01036729197949171
43,480, G,97,0.023514200001955032
44,683,ory,98,0.016437411308288574
45,25634,eo,99,0.019586782902479172
46,67946, dynasty,100,0.017647597938776016
47,11,",",101,0.03212733566761017
48,719, but,102,0.047475747764110565
49,358, I,103,0.0016852347180247307
50,7846, couldn,104,-0.001595878042280674
51,956,'t,105,-0.039797618985176086
52,1505, find,106,0.015936873853206635
53,904, any,107,0.02107265591621399
54,2038, information,108,0.020551741123199463
55,389, on,109,0.012840282171964645
56,813, his,110,0.09365123510360718
57,7342, birth,111,0.14744572341442108
58,323, and,112,0.027430981397628784
59,4648, death,113,0.06277936697006226
60,13003, dates,114,0.02348686009645462
61,13,.,115,-0.005368017591536045
62,4452, However,116,-0.01684931479394436
63,11,",",117,-0.028826722875237465
64,358, I,118,0.018764514476060867
65,649, can,119,-0.00664959941059351
66,3371, tell,120,-0.007680526934564114
67,499, you,121,-0.012337066233158112
68,430, that,122,0.010446574538946152
69,279, the,123,0.021540304645895958
70,480, G,124,0.07634547352790833
71,683,ory,125,0.0062642814591526985
72,25634,eo,126,0.012487217783927917
73,67946, dynasty,127,0.035381708294153214
74,574, was,128,0.0782194659113884
75,505, from,129,0.04869486764073372
76,220, ,130,0.0005936566740274429
77,25828,918,131,0.006241511553525925
78,311, to,132,0.002327210968360305
79,220, ,133,0.007794380187988281
80,10125,139,134,0.02072852849960327
81,17,2,135,0.03234914690256119
82,382,".

",136,0.023936185985803604
83,5953,Ab,137,-0.004227545578032732
84,754,bo,138,-0.029889721423387527
85,315, of,139,-0.020567262545228004
86,47790, Fle,140,-0.008631408214569092
87,3431,ury,141,-0.006715551018714905
88,11,",",142,0.07015597075223923
89,389, on,143,-0.0051474361680448055
90,279, the,144,0.024369344115257263
91,1023, other,145,-0.020485207438468933
92,1450, hand,146,-0.03369373828172684
93,11,",",147,0.002866230206564069
94,574, was,148,0.06256154924631119
95,264, a,149,0.011320686899125576
96,8753, French,150,-0.019706856459379196
97,63772, monk,151,-0.020412135869264603
98,323, and,152,0.016688307747244835
99,671, ab,153,-0.013316571712493896
100,6465,bot,154,-0.005678501911461353
101,11,",",155,0.02860783413052559
102,323, and,156,0.040843281894922256
103,813, his,157,0.05252465233206749
104,61961, lifespan,158,0.11689316481351852
105,374, is,159,0.06347422301769257
106,3967, known,160,0.017589112743735313
107,25,:,161,0.021793987601995468
108,568, he,162,0.0446394681930542
109,12439, lived,163,0.07321509718894958
110,505, from,164,0.04723144322633743
111,2212, around,165,-0.01860956847667694
112,220, ,166,-0.0270516537129879
113,24599,945,167,-0.017494436353445053
114,311, to,168,-1.959269866347313e-06
115,220, ,169,-0.007499045692384243
116,1041,100,170,-0.00650832150131464
117,19,4,171,0.008720891550183296
118,382,".

",172,0.01506827026605606
119,27131,Without,173,-0.016827868297696114
120,279, the,174,0.015683256089687347
121,4839, exact,175,0.03875267505645752
122,13003, dates,176,0.06965713948011398
123,369, for,177,0.03727402910590172
124,12103, Son,178,0.030713696032762527
125,426, B,179,-0.023391984403133392
126,564,ok,180,0.15256629884243011
127,2427,-g,181,-0.02320566400885582
128,64,a,182,-0.023884180933237076
129,11,",",183,0.03470933809876442
130,433, it,184,-0.008915599435567856
131,596,'s,185,-0.01232131663709879
132,5107, difficult,186,-0.014382142573595047
133,311, to,187,-0.01452665962278843
134,1304, make,188,0.024833155795931816
135,264, a,189,0.005371519364416599
136,2167, direct,190,0.004239561501890421
137,12593, comparison,191,0.048766326159238815
138,13,.,192,0.07210476696491241
139,4452, However,193,-0.017882170155644417
140,11,",",194,-0.038722895085811615
141,2728, given,195,0.005143346264958382
142,279, the,196,0.013773074373602867
143,892, time,197,0.07772110402584076
144,18852, periods,198,0.023340705782175064
145,11,",",199,0.02926589921116829
