generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,59,-0.0107675576582551
1,4320, answer,60,-0.0018710391595959663
2,420, this,61,-0.002583259018138051
3,3488, question,62,-0.0063867997378110886
4,11,",",63,-0.0188241396099329
5,584, we,64,-0.002324800007045269
6,1205, need,65,-0.009261463768780231
7,311, to,66,0.01709335669875145
8,1440, know,67,0.05702892690896988
9,279, the,68,0.11257260292768478
10,10345, lif,69,0.19915089011192322
11,25632,esp,70,0.18172670900821686
12,598,ans,71,-0.018047556281089783
13,315, of,72,0.06595505774021149
14,2225, both,73,0.00036416598595678806
15,7931, individuals,74,0.01232915185391903
16,382,".

",75,-0.0031944899819791317
17,9080,日,76,-0.00022781838197261095
18,17297,下,77,-0.036164652556180954
19,34048,部,78,-0.018184218555688858
20,92877,老,79,-0.010359310545027256
21,320, (,80,0.04509759694337845
22,49,R,81,-0.007817143574357033
23,72,i,82,-0.004599098581820726
24,735, K,83,-0.002779196947813034
25,56761,ō,84,-0.005555224139243364
26,65,b,85,0.002729384694248438
27,56761,ō,86,-0.0016944785602390766
28,8,),87,0.018242795020341873
29,374, is,88,0.07112916558980942
30,264, a,89,0.010441620834171772
31,11002, Japanese,90,-0.0032126393634825945
32,13970, historical,91,0.004955258220434189
33,7216, figure,92,-0.007617482915520668
34,11,",",93,0.03237273544073105
35,719, but,94,0.01072551216930151
36,358, I,95,-0.005841578356921673
37,7846, couldn,96,-0.003220560494810343
38,956,'t,97,-0.03547905758023262
39,1505, find,98,0.008582020178437233
40,904, any,99,0.016307011246681213
41,2038, information,100,0.012537381611764431
42,389, on,101,0.006943223997950554
43,1461, him,102,0.08168690651655197
44,13,.,103,0.006180138327181339
45,1102, It,104,-0.012465545907616615
46,596,'s,105,-0.013948492705821991
47,3284, possible,106,-0.0065694646909832954
48,430, that,107,-0.0014653992839157581
49,279, the,108,0.0027462532743811607
50,836, name,109,0.016007859259843826
51,374, is,110,-0.015331139788031578
52,539, not,111,-0.0008155126124620438
53,1664, well,112,-0.0018969811499118805
54,22015,-known,113,0.0009145680814981461
55,477, or,114,-0.0001283222809433937
56,374, is,115,0.0003422743175178766
57,539, not,116,0.00502914609387517
58,6847, easily,117,-0.00013207877054810524
59,74743, searchable,118,-0.0036171956453472376
60,382,".

",119,-0.015073047019541264
61,5953,Ab,120,-0.015965478494763374
62,67,d,121,-0.012678353115916252
63,453, al,122,-0.01824079267680645
64,11151,-R,123,-0.020699884742498398
65,1494,ah,124,0.15248343348503113
66,1543,man,125,-0.015222041867673397
67,453, al,126,-0.004169809632003307
68,6354,-S,127,-0.019494105130434036
69,1739,uf,128,-0.010619641281664371
70,72,i,129,-0.007844424806535244
71,11,",",130,0.0349576473236084
72,389, on,131,0.0007139211520552635
73,279, the,132,0.01508893072605133
74,1023, other,133,-0.022833645343780518
75,1450, hand,134,-0.02165728248655796
76,11,",",135,0.0018958309665322304
77,574, was,136,0.06726980209350586
78,264, a,137,0.018679402768611908
79,50961, Persian,138,-0.014475788921117783
80,46382, astronom,139,-0.023690005764365196
81,261,er,140,-0.01180596835911274
82,889, who,141,0.017026014626026154
83,12439, lived,142,0.09359640628099442
84,505, from,143,0.0647326186299324
85,220, ,144,-0.015283545479178429
86,23305,903,145,-0.00718445610255003
87,311, to,146,-0.0013939137570559978
88,220, ,147,2.398621290922165e-05
89,27468,986,148,0.007823910564184189
90,382,".

",149,0.018854930996894836
91,27131,Without,150,-0.009009995497763157
92,2038, information,151,0.020623698830604553
93,389, on,152,0.018896853551268578
94,52830, Ri,153,0.09493573755025864
95,735, K,154,-0.020275691524147987
96,56761,ō,155,0.1293092966079712
97,65,b,156,-0.02184171974658966
98,56761,ō,157,-0.01878325268626213
99,596,'s,158,0.07931718975305557
100,7342, birth,159,0.187098428606987
101,323, and,160,0.04055286571383476
102,4648, death,161,0.0807928815484047
103,13003, dates,162,0.028205834329128265
104,11,",",163,-0.007318571675568819
105,433, it,164,-0.004742986522614956
