generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,67,-0.015686698257923126
1,4320, answer,68,0.02824663557112217
2,420, this,69,0.007598136086016893
3,3488, question,70,-0.0037776106037199497
4,11,",",71,-0.011253643780946732
5,1095, let,72,-0.005854428745806217
6,596,'s,73,-0.009087640792131424
7,1464, break,74,0.01489121001213789
8,433, it,75,-0.003944572061300278
9,1523, down,76,0.005567995831370354
10,1139, into,77,-0.004590501543134451
11,7504, steps,78,0.0015853466466069221
12,1473,":

",79,-0.00016865041106939316
13,16,1,80,-0.013748230412602425
14,13,.,81,-0.015772003680467606
15,3146, **,82,0.027251632884144783
16,29401,Ident,83,0.0334969088435173
17,1463,ify,84,-0.0016238782554864883
18,279, the,85,0.04533623158931732
19,42569, Locations,86,0.055754803121089935
20,96618,**:,87,0.015733079984784126
21,720," 
",88,0.0018975031562149525
22,256,  ,89,-0.01020990964025259
23,482, -,90,-0.0017219437286257744
24,78915, Prospect,91,0.0169196967035532
25,5657, Park,92,0.012938940897583961
26,67302, Carousel,93,0.013334212824702263
27,374, is,94,0.024261977523565292
28,7559, located,95,0.05233529210090637
29,304, in,96,0.08632007241249084
30,26832, Brooklyn,97,0.046761613339185715
31,11,",",98,0.02564380131661892
32,1561, New,99,0.03580109402537346
33,4356, York,100,0.004289824049919844
34,13,.,101,0.023123767226934433
35,1102, It,102,0.019944265484809875
36,374, is,103,0.05415482819080353
37,2949, within,104,0.0952882170677185
38,78915, Prospect,105,0.022795289754867554
39,5657, Park,106,0.01877720095217228
40,11,",",107,0.04544137418270111
41,832, one,108,0.10214579105377197
42,315, of,109,0.05916482210159302
43,26832, Brooklyn,110,0.02104220911860466
44,596,'s,111,0.027918078005313873
45,7928, largest,112,0.0261662770062685
46,586, public,113,0.011964964680373669
47,27943, parks,114,-0.005691245198249817
48,627,".
",115,0.05582806468009949
49,256,  ,116,0.0032349559478461742
50,482, -,117,-0.005217807367444038
51,10504, MS,118,0.0207116287201643
52,220, ,119,-0.002522834809496999
53,5547,61,120,0.010152273811399937
54,14644, DR,121,-0.009258773177862167
55,5705, GL,122,0.00663804542273283
56,1846,AD,123,0.006347455084323883
57,94971,STONE,124,0.00445895828306675
58,473, H,125,0.009104544296860695
59,7520, AT,126,0.006231405772268772
60,54,W,127,0.015994636341929436
61,19659,ELL,128,0.1845894157886505
62,374, is,129,0.002127495128661394
63,264, a,130,0.026178589090704918
64,2978, school,131,0.02839742600917816
65,7559, located,132,0.036657460033893585
66,304, in,133,0.07102181762456894
67,26832, Brooklyn,134,0.016297034919261932
68,13,.,135,0.02249395288527012
69,17586, Without,136,0.013680714182555676
70,264, a,137,0.020670097321271896
71,3230, specific,138,0.04101822152733803
72,2686, address,139,0.05259297043085098
73,11,",",140,0.0028480561450123787
74,584, we,141,0.0073442887514829636
75,649, can,142,0.011166692711412907
76,956,'t,143,0.011282974854111671
77,67638, pinpoint,144,0.027117686346173286
78,1202, its,145,0.04415368288755417
79,4839, exact,146,0.09220600873231888
80,3813, location,147,0.10399141907691956
81,11,",",148,0.023128557950258255
82,719, but,149,0.009866185486316681
83,584, we,150,0.012172011658549309
84,1440, know,151,-0.004047582857310772
85,433, it,152,0.02742227539420128
86,596,'s,153,0.054496996104717255
87,304, in,154,0.07082531601190567
88,26832, Brooklyn,155,0.053662993013858795
89,382,".

",156,0.026228521019220352
90,17,2,157,0.0022045024670660496
91,13,.,158,-0.00957280769944191
92,3146, **,159,0.0907188430428505
93,16648,Under,160,0.07390891015529633
94,2752,stand,161,0.02276224084198475
95,66542, Geographic,162,0.13402904570102692
96,54586, Directions,163,0.11378621309995651
97,334,**,164,0.08057064563035965
98,512,":
",165,0.038839422166347504
99,256,  ,166,0.051619723439216614
100,482, -,167,0.05904277041554451
101,330," """,168,0.1905594766139984
102,26070,South,169,0.2038368582725525
103,315, of,170,0.11604202538728714
104,1,"""",171,0.042314764112234116
105,3445, means,172,0.03304469212889671
106,430, that,173,0.1281253844499588
107,279, the,174,0.04021016135811806
108,3813, location,175,0.053351737558841705
109,304, in,176,0.026324719190597534
110,3488, question,177,0.03852631524205208
111,320, (,178,0.06070273369550705
112,46015,Pros,179,0.030042104423046112
113,1002,pect,180,0.020884161815047264
114,5657, Park,181,0.04895817115902901
115,67302, Carousel,182,0.014461701735854149
116,8,),183,0.01871573179960251
117,1053, would,184,0.05952706187963486
118,387, be,185,0.1272943764925003
119,31183, situated,186,0.21890036761760712
120,304, in,187,0.24928715825080872
121,264, a,188,0.23446239531040192
122,5216, direction,189,0.25856855511665344
123,430, that,190,0.23399099707603455
124,374, is,191,0.14927615225315094
125,7119, towards,192,0.23403944075107574
126,279, the,193,0.21135440468788147
127,4987, South,194,0.26368892192840576
128,53727, Pole,195,0.14002490043640137
129,505, from,196,0.06670331954956055
130,279, the,197,0.038800083100795746
131,5905, reference,198,0.036637112498283386
132,3813, location,199,0.047096747905015945
133,320, (,200,0.01118905283510685
134,4931,MS,201,0.012304582633078098
135,220, ,202,0.008346345275640488
136,5547,61,203,0.10513851046562195
137,14644, DR,204,0.01565232314169407
138,5705, GL,205,0.011117358691990376
139,1846,AD,206,-0.0170820914208889
140,94971,STONE,207,0.04367753490805626
141,473, H,208,0.013686589896678925
142,7520, AT,209,0.013186936266720295
143,54,W,210,-0.010500484146177769
144,19659,ELL,211,-0.012447899207472801
145,3677,").

",212,0.014317335560917854
146,18,3,213,-0.004446807317435741
147,13,.,214,-0.014595391228795052
148,3146, **,215,0.04162433743476868
149,35,D,216,0.02680693194270134
150,25296,etermine,217,0.033564284443855286
151,40502, Relative,218,0.07999660074710846
152,76483, Positions,219,0.11908809840679169
153,334,**,220,0.052608925849199295
154,512,":
",221,0.004253930412232876
155,256,  ,222,-0.0021652132272720337
156,482, -,223,-0.0040619857609272
157,17586, Without,224,0.03229476511478424
158,279, the,225,0.03768079727888107
159,4839, exact,226,0.05854462459683418
160,2686, address,227,0.0778631642460823
161,315, of,228,0.017213735729455948
162,10504, MS,229,0.02243172749876976
163,220, ,230,0.009492925368249416
164,5547,61,231,0.08516087383031845
165,14644, DR,232,0.0004096239572390914
166,5705, GL,233,0.010825305245816708
167,1846,AD,234,-0.008643082343041897
168,94971,STONE,235,0.008807171136140823
169,473, H,236,0.0004128220025449991
170,7520, AT,237,0.006700696423649788
171,54,W,238,0.014541089534759521
172,19659,ELL,239,0.006609216332435608
173,11,",",240,-0.010486286133527756
174,584, we,241,-0.004939965903759003
175,649, can,242,0.009901946410536766
176,956,'t,243,0.011103232391178608
177,8417, determine,244,0.02658514305949211
178,1202, its,245,0.05919792130589485
179,24473, precise,246,0.1276533454656601
180,3813, location,247,0.14118140935897827
181,8844, relative,248,0.05401778221130371
182,311, to,249,0.06206059083342552
183,78915, Prospect,250,0.0743008628487587
184,5657, Park,251,0.017609242349863052
185,67302, Carousel,252,0.041815660893917084
186,13,.,253,0.01208222471177578
187,4452, However,254,0.01846000924706459
188,11,",",255,0.00026279245503246784
189,584, we,256,0.022115511819720268
190,649, can,257,0.002249012002721429
191,1005, use,258,0.0073347873985767365
192,4689, general,259,0.035671867430210114
193,6677, knowledge,260,0.058402031660079956
194,922, about,261,0.005060910247266293
195,26832, Brooklyn,262,0.05964032933115959
196,596,'s,263,0.045095253735780716
197,54242, geography,264,0.08845894038677216
198,13,.,265,0.014794004149734974
199,78915, Prospect,266,0.04848300665616989
200,5657, Park,267,0.041477933526039124
201,374, is,268,0.10621774196624756
202,85413, centrally,269,0.18964099884033203
203,7559, located,270,0.08694521337747574
204,304, in,271,0.08924059569835663
205,26832, Brooklyn,272,0.07206994295120239
206,11,",",273,0.07229728996753693
207,323, and,274,0.1663922667503357
208,1202, its,275,0.06354276835918427
209,2361, position,276,0.14274707436561584
210,8844, relative,277,0.12194667011499405
211,311, to,278,0.060005880892276764
212,1023, other,279,0.1067386344075203
213,10687, locations,280,0.07863777875900269
214,649, can,281,0.07549409568309784
215,13592, vary,282,0.034320879727602005
216,382,".

",283,0.13903068006038666
217,19,4,284,0.0014455991331487894
218,13,.,285,-0.013024740852415562
219,3146, **,286,0.05287892371416092
220,28528,Research,287,0.01777241751551628
221,477, or,288,0.01593114249408245
222,33025, Knowledge,289,0.02016500197350979
223,7473, Application,290,0.0005319900810718536
224,334,**,291,0.008332537487149239
225,512,":
",292,0.0004703945014625788
226,256,  ,293,-0.005351250991225243
227,482, -,294,-0.0023206311743706465
228,2057, To,295,0.02597232349216938
229,30357, accurately,296,0.03336987644433975
230,4320, answer,297,0.017507916316390038
231,420, this,298,0.013106432743370533
232,3488, question,299,0.013505442999303341
233,11,",",300,-0.006680690683424473
234,832, one,301,0.0002828412689268589
235,1053, would,302,-0.006433766335248947
236,50663, ideally,303,0.004851941950619221
237,1205, need,304,0.005975893698632717
238,311, to,305,0.028619151562452316
239,1440, know,306,0.020786000415682793
240,279, the,307,0.06567926704883575
241,4839, exact,308,0.10757607966661453
242,3813, location,309,0.08632964640855789
243,315, of,310,0.03366777300834656
244,10504, MS,311,0.018261687830090523
245,220, ,312,0.010728615336120129
