generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,54,-0.00978693924844265
1,4320, answer,55,-0.006523853167891502
2,420, this,56,-0.013659723103046417
3,3488, question,57,-0.01559755764901638
4,11,",",58,-0.020923029631376266
5,584, we,59,-0.008854148909449577
6,1205, need,60,-0.004863385576754808
7,311, to,61,0.004695584066212177
8,1440, know,62,0.013820826075971127
9,279, the,63,0.022617949172854424
10,7342, birth,64,0.05685683339834213
11,13003, dates,65,-0.0017408011481165886
12,315, of,66,-0.008247152902185917
13,2225, both,67,-0.01846679113805294
14,70381, Zhao,68,-0.00896402820944786
15,99632, Ting,69,-0.0252060666680336
16,2727,me,70,-0.0245265681296587
17,72,i,71,-0.02489958330988884
18,323, and,72,-0.01799774169921875
19,36035, Emma,73,-0.03484087437391281
20,315, of,74,-0.02236577309668064
21,40491, Blo,75,-0.01977732591331005
22,285,is,76,0.0029578087851405144
23,382,".

",77,-0.01140139065682888
24,84778,Zh,78,-0.006161332130432129
25,3524,ao,79,-0.030302291736006737
26,99632, Ting,80,-0.018670136108994484
27,2727,me,81,0.00017921323888003826
28,72,i,82,-0.015427364967763424
29,574, was,83,0.021806128323078156
30,264, a,84,0.006959633901715279
31,8620, Chinese,85,0.0009182831272482872
32,4689, general,86,0.0008652624674141407
33,11,",",87,0.028137560933828354
34,719, but,88,0.013355715200304985
35,358, I,89,-0.005033767316490412
36,7846, couldn,90,-0.0075405053794384
37,956,'t,91,-0.020472241565585136
38,1505, find,92,0.010770449414849281
39,904, any,93,-0.0026837391778826714
40,2038, information,94,-0.0005151787772774696
41,389, on,95,0.00148848257958889
42,813, his,96,0.023236988112330437
43,7342, birth,97,0.051225803792476654
44,2457, date,98,0.0032728281803429127
45,13,.,99,-0.017163652926683426
46,4452, However,100,-0.016762740910053253
47,11,",",101,-0.027800245210528374
48,358, I,102,0.0068146102130413055
49,649, can,103,-0.0075005278922617435
50,3371, tell,104,-0.01101042702794075
51,499, you,105,-0.00863385759294033
52,430, that,106,-0.005353550426661968
53,36035, Emma,107,0.009660104289650917
54,315, of,108,-0.007715689484030008
55,40491, Blo,109,0.0024245085660368204
