generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,58,-0.014551503583788872
1,4320, answer,59,-0.004618081729859114
2,420, this,60,-0.006533661857247353
3,3488, question,61,-0.015027291141450405
4,11,",",62,-0.02108241245150566
5,584, we,63,-0.010447190143167973
6,1205, need,64,-0.00908106379210949
7,311, to,65,0.0009182679932564497
8,1440, know,66,0.051812708377838135
9,279, the,67,0.11387225985527039
10,10345, lif,68,0.19623661041259766
11,25632,esp,69,0.1979767084121704
12,598,ans,70,-0.026138298213481903
13,315, of,71,0.07270319759845734
14,2225, both,72,-0.0017872212920337915
15,220, ,73,0.008326873183250427
16,105871,皮,74,-0.030475784093141556
17,44510,�,75,-0.026537248864769936
18,117,�,76,3.021926386281848e-05
19,45829,子,77,-0.023511284962296486
20,323, and,78,-0.004364243242889643
21,37488, Abraham,79,-0.014883964322507381
22,358, I,80,-0.01341957040131092
23,315, of,81,-0.0036126654595136642
24,362, A,82,0.010104505345225334
25,876,gh,83,-0.02525387704372406
26,14034,bat,84,-0.005644012242555618
27,1201,ank,85,-0.007616359740495682
28,382,".

",86,-0.007338147610425949
29,105871,皮,87,-0.0062539055943489075
30,44510,�,88,-0.030440539121627808
31,117,�,89,-0.014400811865925789
32,45829,子,90,-0.02923411875963211
33,11,",",91,0.04885084927082062
34,1101, also,92,-0.007683732081204653
35,3967, known,93,-0.006429652683436871
36,439, as,94,-0.03166492283344269
37,393, P,95,-0.012473499402403831
38,2483,í,96,-0.007490762043744326
39,426, B,97,-0.007275117561221123
40,100988,ào,98,-0.006160354241728783
41,1901, Z,99,-0.0046258242800831795
42,124562,ǐ,100,-0.00046135438606143
43,11,",",101,-0.015401245094835758
44,374, is,102,0.046568628400564194
45,264, a,103,-0.010585609823465347
46,8620, Chinese,104,-0.01724637672305107
47,31449, cartoon,105,-0.0065047163516283035
48,3752, character,106,-0.020359139889478683
49,3549, created,107,-0.0031770318746566772
50,304, in,108,-0.013656765222549438
51,220, ,109,-0.029749058187007904
52,679,201,110,-0.00657990574836731
53,15,0,111,-0.011096847243607044
54,11,",",112,-0.008066657930612564
55,779, so,113,0.01204181369394064
56,433, it,114,0.060551855713129044
57,3250, doesn,115,0.05534752085804939
58,956,'t,116,-0.03393534570932388
59,617, have,117,0.0430246964097023
60,264, a,118,0.10098204016685486
61,1972, real,119,0.11678048968315125
62,61961, lifespan,120,0.10831084847450256
63,13,.,121,0.05356941372156143
64,4452, However,122,-0.005661512725055218
65,11,",",123,-0.02254446968436241
66,369, for,124,0.019639234989881516
67,279, the,125,0.00866430252790451
68,25491, sake,126,0.017140697687864304
69,315, of,127,-0.005899109411984682
70,420, this,128,-0.008585073985159397
71,3488, question,129,-0.0188029482960701
72,11,",",130,-0.011822565458714962
73,1095, let,131,0.016324713826179504
74,596,'s,132,0.008310548961162567
75,9855, assume,133,0.017843473702669144
76,584, we,134,0.03907974064350128
77,2351,'re,135,0.001004642341285944
78,7556, talking,136,0.013138728216290474
79,922, about,137,0.02189483307301998
80,279, the,138,0.0871082991361618
81,8250, duration,139,0.19388774037361145
82,315, of,140,0.162945955991745
83,279, the,141,0.09469062089920044
84,3752, character,142,0.0708913803100586
85,596,'s,143,0.056973643600940704
86,23354, popularity,144,0.12425260245800018
87,477, or,145,0.09875676035881042
88,279, the,146,0.1706743687391281
89,892, time,147,0.19005419313907623
90,2533, since,148,0.08507972955703735
91,1202, its,149,0.010213957168161869
92,9886, creation,150,0.023550257086753845
93,382,".

",151,0.01516827754676342
94,5953,Ab,152,0.011930628679692745
95,17012,raham,153,-0.015964636579155922
96,358, I,154,-0.006387307308614254
97,315, of,155,0.004379753023386002
98,362, A,156,0.019538599997758865
99,876,gh,157,0.009314100258052349
100,14034,bat,158,0.007487279828637838
101,1201,ank,159,0.002223767340183258
102,11,",",160,0.044207584112882614
103,389, on,161,0.013549025170505047
104,279, the,162,0.027043620124459267
105,1023, other,163,-0.011992154642939568
106,1450, hand,164,-0.03484712541103363
107,11,",",165,-0.004403917118906975
108,574, was,166,0.061075106263160706
109,264, a,167,0.026962263509631157
110,16879, Catholic,168,0.005075482651591301
111,437,os,169,-0.012992113828659058
112,315, of,170,0.001559218391776085
113,279, the,171,-0.002080453559756279
114,67842, Armenian,172,-0.006821148097515106
115,47859, Apost,173,-0.004392649978399277
116,7918,olic,174,-0.003167645540088415
117,9441, Church,175,-0.010140924714505672
118,505, from,176,0.039391424506902695
119,220, ,177,-0.013852793723344803
120,21996,607,178,0.011809548363089561
121,311, to,179,-0.005774590186774731
122,220, ,180,-0.009084389545023441
123,21385,615,181,0.0021769078448414803
124,9827, AD,182,0.013207712210714817
125,13,.,183,0.013021796941757202
126,65064, Assuming,184,0.06863655149936676
127,568, he,185,0.12309837341308594
128,574, was,186,0.05681666359305382
129,9405, born,187,0.03533247113227844
130,2212, around,188,0.011607000604271889
131,220, ,189,-0.007826992310583591
132,13506,550,190,-0.0005013057962059975
133,9827, AD,191,0.008273010142147541
134,320, (,192,0.022819025442004204
135,64,a,193,0.015134496614336967
136,11413, rough,194,0.024327578023076057
137,16430, estimate,195,0.02584991604089737
138,11,",",196,0.015003960579633713
139,439, as,197,-0.008542018011212349
140,279, the,198,0.02221705950796604
141,4839, exact,199,0.03749832138419151
142,2457, date,200,0.03110441565513611
143,374, is,201,-0.01200003083795309
144,539, not,202,-0.013484777882695198
145,3967, known,203,-0.0076372395269572735
146,705,"),",204,0.0015614274889230728
147,568, he,205,0.0826130211353302
148,1053, would,206,0.13665519654750824
149,617, have,207,0.07858030498027802
150,12439, lived,208,0.12376318871974945
151,369, for,209,0.11135283857584
152,13489, approximately,210,0.051195017993450165
153,220, ,211,0.04019961878657341
154,2397,65,212,0.0011477903462946415
155,1667, years,213,0.05342155322432518
156,382,".

",214,0.06965643167495728
157,7184,Now,215,-0.00445077009499073
158,11,",",216,-0.009314719587564468
159,27393, comparing,217,0.008206013590097427
160,279, the,218,0.0902496874332428
161,1403, two,219,0.1784290373325348
162,1473,":

",220,0.09646470844745636
163,12,-,221,0.015760306268930435
164,220, ,222,0.042905308306217194
165,105871,皮,223,-0.024550195783376694
166,44510,�,224,-0.0278831385076046
167,117,�,225,0.03947172313928604
168,45829,子,226,-0.008827265352010727
169,706, has,227,0.039105746895074844
170,1027, been,228,0.09615219384431839
171,2212, around,229,0.07278089225292206
172,2533, since,230,0.028423046693205833
173,220, ,231,-0.020054077729582787
174,679,201,232,-0.015511831268668175
175,15,0,233,-0.03638260066509247
176,11,",",234,0.012185560539364815
177,902, which,235,0.03697161749005318
178,3445, means,236,0.017423417419195175
179,433, it,237,0.05544496327638626
180,706, has,238,0.07216808199882507
181,1027, been,239,0.11528339982032776
182,330," """,240,0.066611647605896
183,52061,alive,241,0.1313207894563675
184,1,"""",242,0.05949093773961067
185,477, or,243,0.054416023194789886
186,5526, popular,244,0.06042607128620148
187,369, for,245,0.04692289978265762
188,2212, around,246,0.0047197723761200905
189,220, ,247,0.005438465625047684
190,1032,13,248,-0.012262331321835518
191,1667, years,249,0.009337980300188065
192,320, (,250,0.026998983696103096
193,300,as,251,0.006977704353630543
194,315, of,252,0.009910338558256626
195,220, ,253,-0.016714874655008316
196,2366,202,254,-0.02072064019739628
197,18,3,255,-0.01575816050171852
198,4390,").
",256,-0.01875341683626175
199,12,-,257,-0.006971352733671665
200,37488, Abraham,258,0.0416681282222271
201,358, I,259,0.045774295926094055
202,315, of,260,0.08381971716880798
203,362, A,261,0.007688083685934544
204,876,gh,262,0.09071332961320877
205,14034,bat,263,0.14544154703617096
206,1201,ank,264,-0.03242407739162445
207,12439, lived,265,0.14369016885757446
208,369, for,266,0.09704963862895966
209,13489, approximately,267,0.06296434253454208
210,220, ,268,0.04028752073645592
211,2397,65,269,0.053938671946525574
212,1667, years,270,0.054035115987062454
213,382,".

",271,0.047399718314409256
214,22818,Given,272,-0.0023176008835434914
215,1521, these,273,0.019755136221647263
216,5219, numbers,274,0.055670373141765594
217,11,",",275,-0.011209816671907902
218,433, it,276,0.0007010023109614849
219,596,'s,277,-0.011844731867313385
220,2867, clear,278,-0.009534427896142006
221,430, that,279,0.00952828861773014
222,37488, Abraham,280,0.035028520971536636
223,358, I,281,0.05407392606139183
224,315, of,282,0.07179050892591476
225,362, A,283,-0.02141498774290085
226,876,gh,284,-0.03448997065424919
227,14034,bat,285,0.142806276679039
228,1201,ank,286,-0.020937154069542885
229,12439, lived,287,0.16348466277122498
230,5129, longer,288,0.11647554486989975
231,1109, than,289,0.11274822801351547
232,220, ,290,0.06380507349967957
233,105871,皮,291,-0.022711176425218582
234,44510,�,292,-0.03533460572361946
235,117,�,293,-0.02530098706483841
236,45829,子,294,0.056845523416996
237,706, has,295,0.05088677257299423
238,1027, been,296,0.11645372956991196
239,2212, around,297,0.09052018076181412
240,13,.,298,0.042364273220300674
241,4815," 

",299,-0.03743996098637581
242,791,The,300,-0.02611630968749523
243,1620, final,301,-0.014525540173053741
244,4320, answer,302,-0.015285731293261051
245,374, is,303,-0.009973154403269291
246,25,:,304,-0.011033684015274048
247,59060, $\,305,-0.01790543831884861
248,80175,boxed,306,-0.0025145960971713066
249,90,{,307,0.0051895081996917725
250,9173,NO,308,0.00920712761580944
251,32816,}$,309,0.004182677716016769
252,128009,<|eot_id|>,310,-0.0039484077133238316
