generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,60,0.03072688914835453
1,4320, answer,61,0.047022029757499695
2,420, this,62,0.020669350400567055
3,3488, question,63,0.02748998999595642
4,11,",",64,0.056338001042604446
5,584, we,65,0.03994748368859291
6,1205, need,66,0.029666632413864136
7,311, to,67,0.05093388259410858
8,8417, determine,68,0.07168910652399063
9,279, the,69,0.10452347993850708
10,8844, relative,70,0.09094984084367752
11,10687, locations,71,0.10957799106836319
12,315, of,72,0.4100486934185028
13,63790, Sunset,73,0.12159790098667145
14,5657, Park,74,0.07988917082548141
15,19710, Bath,75,0.07901355624198914
16,7830,house,76,-0.0023823073133826256
17,323, and,77,0.09477512538433075
18,2405, Ph,78,0.037886448204517365
19,4010,yl,79,0.0009790693875402212
20,596,'s,80,-0.0021611289121210575
21,16192, Academy,81,0.015852708369493484
22,304, in,82,0.08749821782112122
23,26832, Brooklyn,83,0.08642864972352982
24,13,.,84,0.08989305049180984
25,5810, Here,85,0.0443631187081337
26,527, are,86,0.03305228054523468
27,279, the,87,0.00011422441457398236
28,7504, steps,88,0.027775727212429047
29,311, to,89,0.012059090659022331
30,2980, consider,90,0.022828644141554832
31,1473,":

",91,0.03926561772823334
32,16,1,92,0.03230772167444229
33,13,.,93,0.014170642010867596
34,3146, **,94,0.09700718522071838
35,29401,Ident,95,0.08884365111589432
36,1463,ify,96,0.09043627977371216
37,42569, Locations,97,0.11835764348506927
38,96618,**:,98,0.3693520724773407
39,5629, First,99,0.06443164497613907
40,11,",",100,0.02745538391172886
41,584, we,101,0.06419172137975693
42,1205, need,102,0.0500795915722847
43,311, to,103,0.06557803601026535
44,10765, identify,104,0.08934848755598068
45,279, the,105,0.13132449984550476
46,10687, locations,106,0.09086205065250397
47,315, of,107,0.42249059677124023
48,2225, both,108,0.12247388064861298
49,63790, Sunset,109,0.0837516114115715
50,5657, Park,110,0.09862164407968521
51,19710, Bath,111,0.08807544410228729
52,7830,house,112,0.07245692610740662
53,323, and,113,0.05906258150935173
54,2405, Ph,114,0.09191705286502838
55,4010,yl,115,0.05880676209926605
56,596,'s,116,0.07069934904575348
57,16192, Academy,117,0.0811891257762909
58,13,.,118,0.08997092396020889
59,1666, As,119,0.08079184591770172
60,315, of,120,0.04036862403154373
61,856, my,121,0.033125441521406174
62,1566, last,122,0.01860405132174492
63,2713, update,123,0.034880634397268295
64,11,",",124,0.026997283101081848
65,63790, Sunset,125,0.07603556662797928
66,5657, Park,126,0.07518896460533142
67,19710, Bath,127,0.03818424046039581
68,7830,house,128,0.06818006932735443
69,374, is,129,0.06734577566385269
70,7559, located,130,0.0911567360162735
71,2949, within,131,0.28460749983787537
72,63790, Sunset,132,0.04631594568490982
73,5657, Park,133,0.0683388039469719
74,304, in,134,0.060943353921175
75,26832, Brooklyn,135,0.035098038613796234
76,11,",",136,0.07976268976926804
77,902, which,137,0.07276313006877899
78,374, is,138,0.07785367965698242
79,8965, generally,139,0.06118077039718628
80,31183, situated,140,0.06836479902267456
81,304, in,141,0.1196688860654831
82,279, the,142,0.03641436994075775
83,99911, southwestern,143,0.033375825732946396
84,961, part,144,0.0663960799574852
85,315, of,145,0.0878215879201889
86,279, the,146,0.024660931900143623
87,66841, borough,147,0.03478161618113518
88,13,.,148,0.09052956849336624
89,2405, Ph,149,0.08037479966878891
90,4010,yl,150,0.06549645960330963
91,596,'s,151,-0.0029981769621372223
92,16192, Academy,152,0.005866276565939188
93,11,",",153,0.07056724280118942
94,389, on,154,0.050951071083545685
95,279, the,155,0.025598105043172836
96,1023, other,156,0.06182386353611946
97,1450, hand,157,0.06952886283397675
98,11,",",158,0.00867072306573391
99,1436, could,159,0.06937558203935623
100,387, be,160,0.051153846085071564
101,810, more,161,0.0392424538731575
102,17436, challenging,162,0.05009359121322632
103,311, to,163,0.00690068956464529
104,67638, pinpoint,164,0.07774307578802109
105,2085, without,165,0.08908706903457642
106,3230, specific,166,0.08003352582454681
107,3649, details,167,0.10533684492111206
108,11,",",168,0.0791957676410675
109,719, but,169,0.054260432720184326
110,1095, let,170,0.03770938515663147
111,596,'s,171,0.03325769677758217
112,9855, assume,172,0.04563608020544052
113,433, it,173,0.0472184382379055
114,596,'s,174,0.06991467624902725
115,7559, located,175,0.0697333961725235
116,304, in,176,0.2589963674545288
