generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,56,-0.008804764598608017
1,4320, answer,57,-0.007221954874694347
2,420, this,58,-0.009324094280600548
3,3488, question,59,-0.012034771963953972
4,11,",",60,-0.021532326936721802
5,584, we,61,-0.0016208852175623178
6,1205, need,62,0.0009837099350988865
7,311, to,63,0.009904181584715843
8,1440, know,64,0.03806018456816673
9,279, the,65,0.05770563706755638
10,7342, birth,66,0.11808173358440399
11,323, and,67,0.0021109748631715775
12,4648, death,68,0.0494772233068943
13,13003, dates,69,0.010076463222503662
14,315, of,70,-0.0026627909392118454
15,2225, both,71,-0.017282065004110336
16,64532, Abdullah,72,-0.0016938385087996721
17,453, al,73,-0.022510454058647156
18,5364,-M,74,-0.005124685354530811
19,1494,ah,75,-0.022742165252566338
20,8747,di,76,0.0034030817914754152
21,8766, Bill,77,0.008524347096681595
22,1494,ah,78,0.007641976233571768
23,323, and,79,-0.004394231364130974
24,119610, 陳,80,-0.024287033826112747
25,83747,少,81,-0.03082982823252678
26,109739,遊,82,-0.013482813723385334
27,320, (,83,-0.014970969408750534
28,1163,Ch,84,-0.01868630200624466
29,268,en,85,-0.008857382461428642
30,29070, Sha,86,0.0033373283222317696
31,2303,oy,87,0.010140767320990562
32,283,ou,88,0.006719463504850864
33,3677,").

",89,-0.009865308180451393
34,5953,Ab,90,0.0010676928795874119
35,67,d,91,-0.026269130408763885
36,41897,ullah,92,-0.010284696705639362
37,453, al,93,-0.0014288907404989004
38,5364,-M,94,0.0022633946500718594
39,1494,ah,95,-0.030204717069864273
40,8747,di,96,-0.006509133614599705
41,8766, Bill,97,0.007935479283332825
42,1494,ah,98,-0.002630045171827078
43,11,",",99,0.0425959974527359
44,279, the,100,-0.005574288312345743
45,19533, founder,101,0.010514266788959503
46,315, of,102,0.0007146061398088932
47,279, the,103,0.004673896357417107
48,26417, Fat,104,0.012700673192739487
49,99594,imid,105,0.003686689306050539
50,67946, dynasty,106,0.01774885132908821
51,11,",",107,0.0018435779493302107
52,574, was,108,0.03268898278474808
53,9405, born,109,0.0072803497314453125
54,304, in,110,-0.006941518746316433
55,220, ,111,-0.0033576651476323605
56,25747,873,112,0.009769824333488941
57,9827, AD,113,-0.011064738035202026
58,323, and,114,-0.006655901204794645
59,8636, died,115,0.016203835606575012
60,304, in,116,-0.01146036945283413
61,220, ,117,-0.014678793027997017
62,24347,934,118,0.016115738078951836
63,9827, AD,119,-0.015394238755106926
64,382,".

",120,0.02067285217344761
65,2170,As,121,-0.013885527849197388
66,369, for,122,-0.013209900818765163
67,119610, 陳,123,-0.02597789838910103
68,83747,少,124,-0.030113551765680313
69,109739,遊,125,-0.020405394956469536
70,320, (,126,-0.013166750781238079
71,1163,Ch,127,-0.013324424624443054
72,268,en,128,0.06998688727617264
73,29070, Sha,129,-0.015005609020590782
74,2303,oy,130,-0.0037506348453462124
75,283,ou,131,-0.01658651977777481
76,705,"),",132,0.002975091803818941
77,358, I,133,0.003973734099417925
78,7846, couldn,134,-0.010370763018727303
79,956,'t,135,-0.030471784994006157
80,1505, find,136,0.0042521292343735695
81,904, any,137,0.0028044655919075012
82,2038, information,138,0.0037217685021460056
83,389, on,139,0.000869041308760643
84,264, a,140,0.043200742453336716
85,13970, historical,141,0.021885443478822708
86,7216, figure,142,-0.006714990362524986
87,449, with,143,-0.0032738735899329185
88,420, this,144,-0.0022248290479183197
89,836, name,145,-0.008268281817436218
90,13,.,146,0.011281155981123447
91,1102, It,147,-0.01735168695449829
92,596,'s,148,-0.014423401094973087
93,3284, possible,149,-0.0009999640751630068
94,430, that,150,-0.004111056681722403
95,420, this,151,-0.0009690653532743454
96,374, is,152,0.004462906625121832
97,264, a,153,0.004333972930908203
98,44682, fictional,154,0.002373230177909136
99,3752, character,155,-0.02331174910068512
100,477, or,156,-0.02441026270389557
101,264, a,157,0.00660410150885582
102,836, name,158,0.0070753940381109715
103,430, that,159,-0.0019151840824633837
104,374, is,160,0.0010266038589179516
105,539, not,161,-0.0005675964057445526
106,1664, well,162,0.009562182240188122
107,22015,-known,163,0.0071166749112308025
108,13,.,164,-0.0022203768603503704
109,17586, Without,165,-0.023062411695718765
110,810, more,166,0.0001895427703857422
111,2317, context,167,-0.02258247509598732
112,477, or,168,-0.0182323157787323
113,2038, information,169,-0.014649013057351112
114,11,",",170,-0.010004187002778053
115,433, it,171,-0.01975012756884098
116,596,'s,172,-0.006242671050131321
117,5107, difficult,173,-0.005960012786090374
118,311, to,174,-0.010933642275631428
119,8417, determine,175,0.019794197753071785
120,279, the,176,0.04753097519278526
121,7342, birth,177,0.07230852544307709
122,323, and,178,0.0214556735008955
123,4648, death,179,0.06392741203308105
124,13003, dates,180,0.026289407163858414
125,315, of,181,0.010624164715409279
126,119610, 陳,182,-0.017735546454787254
127,83747,少,183,-0.025824986398220062
128,109739,遊,184,0.06767585873603821
129,382,".

",185,-0.012643550522625446
130,11458,However,186,-0.024481307715177536
131,11,",",187,-0.027112439274787903
132,26619, assuming,188,-0.016536787152290344
133,430, that,189,-0.02492077834904194
134,584, we,190,-0.020619111135601997
135,649, can,191,-0.0070958626456558704
136,956,'t,192,0.0018250022549182177
137,1505, find,193,0.011411996558308601
138,904, any,194,-0.0017818575724959373
139,2038, information,195,0.00734615046530962
140,389, on,196,-0.002506106160581112
141,119610, 陳,197,0.015758506953716278
142,83747,少,198,-0.028791766613721848
143,109739,遊,199,0.11336743831634521
144,11,",",200,0.023926574736833572
145,584, we,201,-0.02765965834259987
146,649, can,202,-0.012630759738385677
147,956,'t,203,-0.0032069822773337364
148,1304, make,204,0.011424312368035316
149,264, a,205,0.005884561222046614
150,2167, direct,206,0.0008974473457783461
151,12593, comparison,207,0.004722245037555695
152,1990, between,208,0.03817398101091385
153,279, the,209,0.06861741840839386
154,1403, two,210,0.15057678520679474
155,7931, individuals,211,0.037408437579870224
156,13,.,212,0.042852554470300674
157,2030, But,213,-0.019452592357993126
158,2533, since,214,-0.017589598894119263
159,279, the,215,-0.007313058711588383
160,3488, question,216,0.009584011510014534
161,17501, asks,217,-0.006491626612842083
162,422, if,218,0.011077305302023888
163,64532, Abdullah,219,0.0029697581194341183
164,453, al,220,-0.0063483696430921555
165,5364,-M,221,0.0047567859292030334
166,1494,ah,222,-0.017033975571393967
167,8747,di,223,0.10956849902868271
168,8766, Bill,224,-4.339381121098995e-06
169,1494,ah,225,0.1455690860748291
170,8636, died,226,0.04590582847595215
171,14992, younger,227,0.015214060433208942
172,1109, than,228,0.01944946125149727
173,119610, 陳,229,-0.01795770600438118
174,83747,少,230,-0.03064854070544243
175,109739,遊,231,0.041476473212242126
176,11,",",232,-0.009755438193678856
177,323, and,233,-0.020116765052080154
178,584, we,234,0.009622138924896717
179,1541, don,235,0.020409684628248215
180,956,'t,236,-0.022634640336036682
181,617, have,237,0.018777035176753998
182,904, any,238,0.040304332971572876
183,2038, information,239,0.03383021056652069
184,389, on,240,0.017920048907399178
185,119610, 陳,241,0.05677438899874687
186,83747,少,242,-0.02111443690955639
187,109739,遊,243,-0.027783915400505066
188,596,'s,244,0.07328067719936371
189,61961, lifespan,245,0.166884645819664
190,11,",",246,0.10805213451385498
191,584, we,247,-0.02185920998454094
192,649, can,248,-0.013984937220811844
193,956,'t,249,-0.005956606473773718
194,7838, confirm,250,0.007208225317299366
195,430, that,251,0.005859119817614555
196,64532, Abdullah,252,0.0025209318846464157
197,453, al,253,0.03353877738118172
198,5364,-M,254,0.12614890933036804
