generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,55,0.02308274619281292
1,4320, answer,56,0.04239911586046219
2,420, this,57,0.016033371910452843
3,3488, question,58,0.028250208124518394
4,11,",",59,0.0615154393017292
5,584, we,60,0.033020731061697006
6,2011, must,61,0.02364279516041279
7,8417, determine,62,0.07844886183738708
8,279, the,63,0.10706780105829239
9,3813, location,64,0.08668815344572067
10,315, of,65,0.4371224343776703
11,12292, Clear,66,0.12103922665119171
12,13284,water,67,0.06282155960798264
13,41114, Mountains,68,0.035335246473550797
14,304, in,69,0.09027139842510223
15,12976, relation,70,0.05757058039307594
16,311, to,71,0.16545365750789642
17,11940, Lake,72,0.09070093184709549
18,393, P,73,0.07706919312477112
19,2701,eh,74,0.05517753213644028
20,78,o,75,0.03886748477816582
21,978,é,76,0.04114525765180588
22,13,.,77,0.08143439143896103
23,5810, Here,78,0.05031502991914749
24,527, are,79,0.018142007291316986
25,279, the,80,0.0002399339573457837
26,7504, steps,81,0.017870420590043068
27,311, to,82,0.016217472031712532
28,2980, consider,83,0.02192016690969467
29,1473,":

",84,0.047578535974025726
30,16,1,85,0.03420771658420563
31,13,.,86,0.026956751942634583
32,3146, **,87,0.08038999885320663
33,29401,Ident,88,0.0767843946814537
34,1463,ify,89,0.07524070143699646
35,279, the,90,0.10200901329517365
36,10687, locations,91,0.06973171979188919
37,96618,**:,92,0.3695881962776184
38,12292, Clear,93,0.06452267616987228
39,13284,water,94,0.060372039675712585
40,41114, Mountains,95,0.011351337656378746
41,527, are,96,0.04419969767332077
42,264, a,97,0.032061658799648285
43,16700, mountain,98,0.01782759465277195
44,2134, range,99,0.03929201513528824
45,11,",",100,0.05950704589486122
46,323, and,101,0.04874257743358612
47,11940, Lake,102,0.0607728585600853
48,393, P,103,0.07003482431173325
49,2701,eh,104,0.04473719000816345
50,78,o,105,0.008634498342871666
51,978,é,106,0.02422630786895752
52,374, is,107,0.043711692094802856
53,264, a,108,0.04871198534965515
54,22553, lake,109,0.035870637744665146
55,13,.,110,0.06389781087636948
56,2057, To,111,0.06836479902267456
57,4320, answer,112,0.06118609011173248
58,420, this,113,0.011786404997110367
59,3488, question,114,0.03826722502708435
60,11,",",115,0.05650203675031662
61,584, we,116,0.06924335658550262
62,1205, need,117,0.04829379543662071
63,311, to,118,0.0648837685585022
64,1440, know,119,0.08975105732679367
65,872, their,120,0.08007846772670746
66,54001, geographical,121,0.10960718989372253
67,10687, locations,122,0.17304426431655884
68,382,".

",123,0.3523064851760864
69,17,2,124,0.03944050893187523
70,13,.,125,0.028048468753695488
71,3146, **,126,0.07723009586334229
72,9688,Ge,127,0.08844742923974991
73,32277,ographical,128,0.10279738903045654
74,2317, context,129,0.13520219922065735
75,96618,**:,130,0.12979759275913239
76,17586, Without,131,0.07545945048332214
77,3230, specific,132,0.07728387415409088
78,54001, geographical,133,0.10876887291669846
79,828, data,134,0.15920305252075195
80,477, or,135,0.054746661335229874
81,264, a,136,0.0857817679643631
82,2472, map,137,0.06350839138031006
83,11,",",138,0.07393694669008255
84,433, it,139,0.04658505320549011
85,596,'s,140,0.0313706174492836
86,17436, challenging,141,0.042546600103378296
87,311, to,142,0.020125847309827805
88,8417, determine,143,0.06789828836917877
89,872, their,144,0.07556930184364319
90,4839, exact,145,0.09360379725694656
91,10687, locations,146,0.09646289795637131
92,8844, relative,147,0.3305876851081848
93,311, to,148,0.09926078468561172
94,1855, each,149,0.09507468342781067
95,1023, other,150,0.07675060629844666
96,13,.,151,0.0743674635887146
97,4452, However,152,0.06208690628409386
98,11,",",153,0.054021261632442474
99,14392, knowing,154,0.055890489369630814
100,430, that,155,0.08294878900051117
101,11940, Lake,156,0.0762956291437149
102,393, P,157,0.06500400602817535
103,2701,eh,158,0.03312745317816734
104,78,o,159,0.020709464326500893
105,978,é,160,0.028046613559126854
106,374, is,161,0.06004216521978378
107,7559, located,162,0.0709068700671196
108,304, in,163,0.2720107436180115
109,55507, Torres,164,0.04281473159790039
110,1624, del,165,0.024273056536912918
111,393, P,166,0.01642107591032982
112,8511,aine,167,0.018619492650032043
113,5165, National,168,0.02325517125427723
114,5657, Park,169,0.037243906408548355
115,304, in,170,0.07652119547128677
116,34100, Chile,171,0.03193362057209015
117,11,",",172,0.05992577224969864
118,584, we,173,0.06662269681692123
119,649, can,174,0.04357541725039482
120,1212, start,175,0.060240186750888824
121,311, to,176,0.029226969927549362
122,6710, piece,177,0.05909235030412674
123,3871, together,178,0.0020560622215270996
124,279, the,179,0.04568338394165039
125,2038, information,180,0.06984741240739822
126,382,".

",181,0.08380468934774399
127,18,3,182,0.03877604007720947
128,13,.,183,0.02346494048833847
129,3146, **,184,0.04449978098273277
130,28528,Research,185,0.08051104843616486
131,477, or,186,0.04808102175593376
132,4972, prior,187,0.0474834106862545
133,6677, knowledge,188,0.04960896447300911
134,96618,**:,189,0.03876620903611183
135,3161, With,190,0.04374947398900986
136,279, the,191,0.051216814666986465
137,6677, knowledge,192,0.08071502298116684
138,430, that,193,0.05670735985040665
139,12292, Clear,194,0.08554507791996002
140,13284,water,195,0.060235194861888885
141,41114, Mountains,196,0.020431678742170334
142,527, are,197,0.05207955837249756
143,539, not,198,0.05450744181871414
144,6089, directly,199,0.049769483506679535
145,5938, associated,200,0.0653434544801712
146,449, with,201,0.07325117290019989
147,279, the,202,0.06336996704339981
148,17037, commonly,203,0.056700028479099274
149,3967, known,204,0.05849948525428772
150,54001, geographical,205,0.05746766924858093
151,4519, features,206,0.13700255751609802
152,2212, around,207,0.08392529934644699
153,55507, Torres,208,0.0890335887670517
154,1624, del,209,0.06375342607498169
155,393, P,210,0.041814856231212616
156,8511,aine,211,0.06052669137716293
157,5165, National,212,0.03277724236249924
158,5657, Park,213,0.04889423027634621
159,11,",",214,0.0464840903878212
160,323, and,215,0.04636798053979874
161,13126, considering,216,0.057240452617406845
162,430, that,217,0.0854700580239296
163,279, the,218,0.05662517994642258
164,6246, park,219,0.05008486658334732
165,374, is,220,0.05834586173295975
166,304, in,221,0.0474262498319149
167,279, the,222,0.03443821519613266
168,18561, southern,223,0.03508343547582626
169,961, part,224,0.031517866998910904
170,315, of,225,0.08411393314599991
171,34100, Chile,226,0.023928044363856316
172,11,",",227,0.06537742167711258
173,584, we,228,0.06360097229480743
174,1053, would,229,0.045505862683057785
175,1205, need,230,0.04573851078748703
176,311, to,231,0.05515516176819801
177,5813, establish,232,0.0707302913069725
178,422, if,233,0.10005578398704529
179,1070, there,234,0.06341647356748581
180,596,'s,235,0.04042290523648262
181,904, any,236,0.02753785066306591
