generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,71,0.02462180145084858
1,4320, answer,72,0.0492975190281868
2,420, this,73,0.017374619841575623
3,3488, question,74,0.01663435809314251
4,11,",",75,0.052902474999427795
5,584, we,76,0.038731712847948074
6,1205, need,77,0.02974558435380459
7,311, to,78,0.05094612389802933
8,8417, determine,79,0.0701129361987114
9,279, the,80,0.10701532661914825
10,10687, locations,81,0.09207186847925186
11,315, of,82,0.4297146201133728
12,47358, TWO,83,0.13187475502490997
13,19333, BR,84,0.07093892991542816
14,926,ID,85,0.03015207313001156
15,71068,GES,86,0.006293725222349167
16,85907, SEN,87,0.05439072847366333
17,43996,IOR,88,0.034594226628541946
18,31350, HO,89,0.06061594560742378
19,2078,US,90,0.06021629273891449
20,1753,ING,91,0.04248175024986267
21,304, in,92,0.07742094993591309
22,29890, Manhattan,93,0.08731480687856674
23,323, and,94,0.09524379670619965
24,96722, HOL,95,0.10362552106380463
25,56,Y,96,0.07561533898115158
26,5091, TR,97,0.05274571105837822
27,691,IN,98,0.07772504538297653
28,3414,ITY,99,0.02633819915354252
29,6969, CH,100,0.023037798702716827
30,1539,UR,101,0.055988796055316925
31,2198,CH,102,0.005874929949641228
32,3083, OF,103,0.046967171132564545
33,6560, UK,104,0.041892994195222855
34,88840,RAIN,105,0.017294686287641525
35,22774,IAN,106,0.01906774193048477
36,36,E,107,0.01679913140833378
37,304, in,108,0.04310561344027519
38,26832, Brooklyn,109,0.09462743252515793
39,323, and,110,0.09243430197238922
40,1243, then,111,0.09579051285982132
41,9616, compare,112,0.08422284573316574
42,872, their,113,0.12991933524608612
43,10093, positions,114,0.11754230409860611
44,8844, relative,115,0.2098153978586197
45,311, to,116,0.09506268054246902
46,1855, each,117,0.06485767662525177
47,1023, other,118,0.07629023492336273
48,382,".

",119,0.07696672528982162
49,16,1,120,0.042574938386678696
50,13,.,121,0.024236788973212242
51,3146, **,122,0.09098564088344574
52,29401,Ident,123,0.08084329962730408
53,1463,ify,124,0.08895684778690338
54,279, the,125,0.1189347580075264
55,10687, locations,126,0.06877745687961578
56,334,**,127,0.38050997257232666
57,512,":
",128,0.07390914112329483
58,256,  ,129,0.026720194146037102
59,482, -,130,0.01617148332297802
60,47358, TWO,131,0.08560991287231445
61,19333, BR,132,0.05711740255355835
62,926,ID,133,0.07266730815172195
63,71068,GES,134,0.02724592201411724
64,85907, SEN,135,0.04177277907729149
65,43996,IOR,136,0.055764682590961456
66,31350, HO,137,0.022450147196650505
67,2078,US,138,0.04787948727607727
68,1753,ING,139,0.06592436134815216
69,374, is,140,0.05700286850333214
70,7559, located,141,0.06386105716228485
71,304, in,142,0.30611440539360046
72,29890, Manhattan,143,0.05670836567878723
73,13,.,144,0.07694607228040695
74,29890, Manhattan,145,0.07118025422096252
75,374, is,146,0.0526575967669487
76,832, one,147,0.019086254760622978
77,315, of,148,0.03647126257419586
78,279, the,149,0.018361186608672142
79,4330, five,150,0.005323278252035379
80,66841, borough,151,0.010846350342035294
81,82,s,152,0.09081301093101501
82,315, of,153,0.022213777527213097
83,1561, New,154,0.02452171966433525
84,4356, York,155,0.042771995067596436
85,4409, City,156,0.07298443466424942
86,627,".
",157,0.05810465291142464
87,256,  ,158,0.027375202625989914
88,482, -,159,0.009268070571124554
89,96722, HOL,160,0.0786702111363411
90,56,Y,161,0.06952179968357086
91,5091, TR,162,0.0541483573615551
92,691,IN,163,0.0345960333943367
93,3414,ITY,164,0.05855139344930649
94,6969, CH,165,0.01343612652271986
95,1539,UR,166,0.026587828993797302
96,2198,CH,167,0.04400377720594406
97,3083, OF,168,0.0612831674516201
98,6560, UK,169,0.035064946860075
99,88840,RAIN,170,0.018120037391781807
100,22774,IAN,171,0.029537860304117203
101,36,E,172,0.017711114138364792
102,374, is,173,0.03446432575583458
103,7559, located,174,0.06602596491575241
104,304, in,175,0.2880744934082031
105,26832, Brooklyn,176,0.060448143631219864
106,11,",",177,0.06070494279265404
107,2500, another,178,0.043407976627349854
108,66841, borough,179,0.05260089784860611
109,315, of,180,0.056573670357465744
110,1561, New,181,0.044222574681043625
111,4356, York,182,0.08067115396261215
112,4409, City,183,0.04169303551316261
113,382,".

",184,0.05036012455821037
114,17,2,185,0.03722938895225525
115,13,.,186,0.0432259701192379
116,3146, **,187,0.06770062446594238
117,16648,Under,188,0.10911669582128525
118,2752,stand,189,0.013535001315176487
119,279, the,190,0.0615357831120491
120,54242, geography,191,0.07469819486141205
121,315, of,192,0.1359146535396576
122,1561, New,193,0.05984923988580704
123,4356, York,194,0.04721193388104439
124,4409, City,195,0.0751439779996872
125,334,**,196,0.07097303867340088
126,512,":
",197,0.04909031093120575
127,256,  ,198,0.03607645630836487
128,482, -,199,0.014796520583331585
129,29890, Manhattan,200,0.060493167489767075
130,374, is,201,0.06027914583683014
131,7559, located,202,0.015288928523659706
132,389, on,203,0.16165202856063843
133,459, an,204,0.02679722011089325
134,13218, island,205,0.013224191963672638
135,323, and,206,0.0401839055120945
136,374, is,207,0.04810525104403496
137,8965, generally,208,0.024049796164035797
138,6646, considered,209,0.03644770011305809
139,279, the,210,0.04551663622260094
140,8792, central,211,0.013555889017879963
141,961, part,212,0.04272914305329323
142,315, of,213,0.08122150599956512
143,1561, New,214,0.0341237410902977
144,4356, York,215,0.028951328247785568
145,4409, City,216,0.04708659648895264
146,627,".
",217,0.08013840764760971
147,256,  ,218,0.05065346881747246
148,482, -,219,0.026262840256094933
149,26832, Brooklyn,220,0.06451413035392761
150,374, is,221,0.04693496599793434
151,264, a,222,0.010199233889579773
152,66841, borough,223,0.006735492497682571
153,311, to,224,0.019005311653017998
154,279, the,225,0.05873033404350281
155,42552, southeast,226,0.03026461973786354
156,315, of,227,0.07386241853237152
157,29890, Manhattan,228,0.01920147053897381
158,11,",",229,0.03364758566021919
159,8599, connected,230,0.022803185507655144
160,555, by,231,0.04460527002811432
161,40073, bridges,232,0.02541365474462509
162,382,".

",233,0.02693626657128334
163,18,3,234,0.0499279610812664
164,13,.,235,0.035221166908741
