generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,65,-0.009868865832686424
1,4320, answer,66,-0.007000941317528486
2,420, this,67,-0.00781991332769394
3,3488, question,68,-0.008737226016819477
4,11,",",69,-0.02394217997789383
5,584, we,70,-0.0033426363952457905
6,1205, need,71,-0.005718916654586792
7,311, to,72,0.01170953270047903
8,1440, know,73,0.043441884219646454
9,279, the,74,0.06340668350458145
10,10345, lif,75,0.1259499192237854
11,25632,esp,76,0.1689806580543518
12,598,ans,77,-0.01906125620007515
13,315, of,78,0.06139281764626503
14,2225, both,79,-0.005525759421288967
15,52698, Abdul,80,0.009644107893109322
16,15757, Az,81,-0.021689144894480705
17,450,iz,82,0.00163300521671772
18,19185, ib,83,-0.006626051850616932
19,77,n,84,-0.027229808270931244
20,5340, Har,85,-0.02205863781273365
21,411,ith,86,-0.0010625869035720825
22,19185, ib,87,-0.017234038561582565
23,77,n,88,-0.009239008650183678
24,1666, As,89,-0.021303389221429825
25,329,ad,90,-0.02725890278816223
26,33790, Yemen,91,-0.014581907540559769
27,72,i,92,-0.027187416329979897
28,29988, Tam,93,-0.005916968919336796
29,25877,imi,94,-0.007748444564640522
30,323, and,95,0.0071172513999044895
31,122828, �,96,-0.023377278819680214
32,249,�,97,-0.023958023637533188
33,114280,怀,98,-0.024571891874074936
34,104521,吉,99,-0.02968263253569603
35,320, (,100,-0.0068583302199840546
36,55,X,101,-0.013649617321789265
37,361,ue,102,-0.004171151667833328
38,22546, Hu,103,0.002248384291306138
39,2192,ai,104,-0.003962481394410133
40,7910,ji,105,-0.011859415099024773
41,3677,").

",106,-0.004377279430627823
42,5953,Ab,107,0.0031109116971492767
43,67,d,108,-0.020783063024282455
44,360,ul,109,-0.005000605247914791
45,15757, Az,110,-0.014170553535223007
46,450,iz,111,-0.013523595407605171
47,19185, ib,112,0.02622857689857483
48,77,n,113,-0.030971549451351166
49,5340, Har,114,-0.007955885492265224
50,411,ith,115,-0.013592038303613663
51,19185, ib,116,-0.004151483997702599
52,77,n,117,0.05106883868575096
53,1666, As,118,-0.007640566676855087
54,329,ad,119,0.061487384140491486
55,33790, Yemen,120,0.009432300925254822
56,72,i,121,-0.01668086275458336
57,29988, Tam,122,0.01331485714763403
58,25877,imi,123,-0.0144683001562953
59,374, is,124,0.061018165200948715
60,264, a,125,0.008961042389273643
61,7216, figure,126,-0.0015482460148632526
62,505, from,127,0.01413528248667717
63,4216, early,128,0.0077641247771680355
64,15558, Islamic,129,0.026017116382718086
65,3925, history,130,0.022600814700126648
66,11,",",131,0.004994989838451147
67,323, and,132,0.013740119524300098
68,3230, specific,133,0.0136635173112154
69,3649, details,134,0.05864107236266136
70,922, about,135,0.012814261019229889
71,813, his,136,0.07317744940519333
72,7342, birth,137,0.11978422105312347
73,323, and,138,0.017857877537608147
74,4648, death,139,0.07165492326021194
75,13003, dates,140,0.014295168220996857
76,2643, might,141,-0.013192443177103996
77,539, not,142,-0.03179343044757843
78,387, be,143,-0.02288180962204933
79,13882, widely,144,-0.008629366755485535
80,27470, documented,145,-0.003640679642558098
81,477, or,146,-0.014277031645178795
82,6847, easily,147,0.011757133528590202
83,15987, accessible,148,-0.0033113169483840466
84,13,.,149,-0.02389083430171013
85,4452, However,150,-0.014486026018857956
86,11,",",151,-0.033886466175317764
87,369, for,152,-0.005388905759900808
88,279, the,153,-0.015255511738359928
89,25491, sake,154,-0.009591534733772278
90,315, of,155,-0.00516835693269968
91,420, this,156,-0.01953793875873089
92,10368, exercise,157,-0.024509495124220848
93,11,",",158,-0.00988669041544199
94,1095, let,159,-0.008460978046059608
95,596,'s,160,-0.0193322841078043
96,9855, assume,161,-0.01586943306028843
97,584, we,162,-0.002447359263896942
98,617, have,163,0.00407705781981349
99,1766, found,164,0.011633379384875298
100,430, that,165,0.01185988262295723
101,568, he,166,0.017191125079989433
102,12439, lived,167,0.09886094182729721
103,505, from,168,0.08952093124389648
104,13489, approximately,169,-0.0026130734477192163
105,220, ,170,-0.01130435150116682
106,5067,600,171,-0.013842912390828133
107,9827, AD,172,0.001430176547728479
108,311, to,173,0.020679540932178497
109,220, ,174,0.011368476785719395
110,21218,670,175,-0.003127562114968896
111,9827, AD,176,0.0046316469088196754
112,11,",",177,0.025139357894659042
113,3582, though,178,0.028502613306045532
114,1521, these,179,-0.0014431423041969538
115,13003, dates,180,0.029444102197885513
116,527, are,181,0.0026572111528366804
117,66836, speculative,182,-0.00028684642165899277
118,323, and,183,-0.0012158496538177133
119,1511, used,184,0.0033265366218984127
120,1193, only,185,-0.0028655389323830605
121,369, for,186,0.0001471999567002058
122,279, the,187,-0.00774146243929863
123,7580, purpose,188,-0.003320814110338688
124,315, of,189,-0.00999396201223135
125,420, this,190,-0.011607752181589603
126,3187, example,191,-0.022571146488189697
127,382,".

",192,-0.02615843154489994
128,103013,�,193,-0.010719062760472298
129,249,�,194,-0.028444502502679825
130,114280,怀,195,-0.026665665209293365
131,104521,吉,196,-0.023673443123698235
132,320, (,197,0.017771800979971886
133,55,X,198,-0.009107204154133797
134,361,ue,199,-0.019440047442913055
135,22546, Hu,200,-0.006285069510340691
136,2192,ai,201,-0.002396281808614731
137,7910,ji,202,-0.013965499587357044
138,8,),203,0.008974786847829819
139,374, is,204,0.027281668037176132
140,264, a,205,-0.003346450161188841
141,7216, figure,206,-0.012718758545815945
142,505, from,207,0.013500786386430264
143,8620, Chinese,208,-0.007826986722648144
144,3925, history,209,0.006091100629419088
145,11,",",210,0.01993168331682682
146,323, and,211,0.0275155957788229
147,1093, like,212,0.000519869732670486
148,52698, Abdul,213,-0.0073281158693134785
149,15757, Az,214,-0.027267392724752426
150,450,iz,215,0.15380850434303284
151,11,",",216,-0.00027055293321609497
152,2085, without,217,7.641187403351068e-05
153,3230, specific,218,-0.02192138507962227
154,13003, dates,219,0.010220447555184364
155,11,",",220,0.0008152179652824998
156,433, it,221,-0.02012029103934765
157,596,'s,222,-0.01260315254330635
158,17436, challenging,223,-0.009678680449724197
159,311, to,224,-0.0289832204580307
160,9616, compare,225,-0.007407022174447775
161,872, their,226,0.10507287830114365
162,10345, lif,227,0.18999908864498138
163,25632,esp,228,0.1767355054616928
164,598,ans,229,-0.03401758149266243
165,6089, directly,230,0.017614856362342834
166,13,.,231,-0.022052647545933723
167,1789, For,232,-0.009592817164957523
168,279, the,233,-0.014010296203196049
169,25491, sake,234,0.0011538295075297356
170,315, of,235,-0.006041654385626316
171,5811, argument,236,-0.01884733885526657
172,11,",",237,-0.00560394860804081
173,1095, let,238,-0.0018591368570923805
174,596,'s,239,-0.034889571368694305
175,9855, assume,240,-0.007638986688107252
176,1630, X,241,0.028069546446204185
177,361,ue,242,-0.02237919718027115
178,22546, Hu,243,0.03786547854542732
179,2192,ai,244,0.023186948150396347
180,7910,ji,245,0.012080407701432705
181,12439, lived,246,0.10234666615724564
182,505, from,247,0.07522176951169968
183,220, ,248,-0.013246073387563229
184,21218,670,249,0.011908447369933128
185,9827, AD,250,0.004166639409959316
186,311, to,251,0.03503486514091492
187,220, ,252,0.025488315150141716
188,21112,740,253,-0.008907202631235123
189,9827, AD,254,0.0027526142075657845
190,11,",",255,-0.0014958956744521856
191,1578, again,256,0.0022735479287803173
192,11,",",257,0.0061050718650221825
193,1521, these,258,0.0016718583647161722
194,13003, dates,259,0.027874479070305824
195,527, are,260,0.0037670850288122892
196,66836, speculative,261,-0.005097247194498777
197,323, and,262,-0.0018406196031719446
198,1511, used,263,0.003931460902094841
199,369, for,264,-0.001226956956088543
200,30816, demonstration,265,-0.009959451854228973
201,10096, purposes,266,-0.007998038083314896
202,382,".

",267,-0.013925706967711449
203,22818,Given,268,-0.005515836179256439
204,1521, these,269,0.006641829386353493
205,66836, speculative,270,0.02396409958600998
206,10345, lif,271,0.06641280651092529
207,25632,esp,272,0.0942043885588646
208,598,ans,273,-0.0017995741218328476
209,512,":
",274,0.014357667416334152
210,12,-,275,0.010204137302935123
211,52698, Abdul,276,0.005402695387601852
212,15757, Az,277,-0.01981274038553238
213,450,iz,278,0.09405383467674255
214,19185, ib,279,0.04580765217542648
215,77,n,280,-0.02237670123577118
216,5340, Har,281,-0.0208049938082695
217,411,ith,282,0.07256289571523666
218,19185, ib,283,0.003841102123260498
219,77,n,284,-0.021779894828796387
220,1666, As,285,0.07564203441143036
221,329,ad,286,-0.026466216892004013
222,33790, Yemen,287,0.022908400744199753
223,72,i,288,-0.01635131612420082
224,29988, Tam,289,0.013755453750491142
225,25877,imi,290,-0.012226354330778122
226,25,:,291,0.070135697722435
227,220, ,292,0.030288999900221825
228,5067,600,293,-0.006447949912399054
229,9827, AD,294,-0.0003910483792424202
230,482, -,295,0.025228440761566162
231,220, ,296,0.0014029243029654026
232,21218,670,297,0.004089829046279192
233,9827, AD,298,0.0016094367019832134
234,198,"
",299,0.06609901785850525
235,12,-,300,-0.008631296455860138
236,122828, �,301,-0.023224705830216408
237,249,�,302,-0.02342960052192211
238,114280,怀,303,-0.028914980590343475
239,104521,吉,304,0.12548793852329254
240,320, (,305,-0.009279445745050907
241,55,X,306,-0.020510749891400337
242,361,ue,307,-0.021837571635842323
243,22546, Hu,308,-0.012528641149401665
244,2192,ai,309,0.09181462228298187
245,7910,ji,310,0.00026692342362366617
246,1680,):,311,0.008273577317595482
247,220, ,312,0.011160165071487427
248,21218,670,313,-0.020732402801513672
249,9827, AD,314,-0.006082059815526009
250,482, -,315,0.029433364048600197
251,220, ,316,0.01261006947606802
252,21112,740,317,0.049128852784633636
253,9827, AD,318,0.010723349638283253
254,271,"

",319,-0.0067767854779958725
255,5953,Ab,320,-0.009215635247528553
