generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,57,-0.006738482043147087
1,4320, answer,58,-0.005099627189338207
2,420, this,59,-0.01263949554413557
3,3488, question,60,-0.03006841242313385
4,11,",",61,-0.02161620743572712
5,584, we,62,-0.006628356873989105
6,1205, need,63,-0.0024674516171216965
7,311, to,64,0.010166654363274574
8,8417, determine,65,0.02230250835418701
9,279, the,66,0.02554526925086975
10,7342, birth,67,0.06095137819647789
11,1667, years,68,0.004322520457208157
12,315, of,69,-0.0037520183250308037
13,2225, both,70,-0.013812420889735222
14,104799, �,71,-0.007535102311521769
15,239,�,72,-0.022422639653086662
16,118973,伟,73,-0.030987905338406563
17,320, (,74,-0.02232818305492401
18,84778,Zh,75,-0.017697947099804878
19,833,eng,76,-0.011576306074857712
20,53548, Wei,77,6.864778697490692e-06
21,8,),78,-0.011284561827778816
22,323, and,79,-0.012177390977740288
23,356, C,80,-0.026316169649362564
24,13884,iar,81,-0.04252990335226059
25,11644,án,82,-0.03265322744846344
26,315, of,83,-0.026554562151432037
27,2493, Cl,84,-0.024918207898736
28,263,on,85,-0.0313258059322834
29,12214,mac,86,-0.017928477376699448
30,53318,noise,87,-0.013614107854664326
31,382,".

",88,0.004622735548764467
32,16,1,89,-0.0011883294209837914
33,13,.,90,-0.024123508483171463
34,3146, **,91,-0.0011110600316897035
35,34,C,92,0.009553860872983932
36,13884,iar,93,-0.022261641919612885
37,11644,án,94,-0.026701118797063828
38,315, of,95,-0.02301066555082798
39,2493, Cl,96,-0.010489363223314285
40,263,on,97,0.012267759069800377
41,12214,mac,98,-0.02862628363072872
42,53318,noise,99,-0.020340362563729286
43,96618,**:,100,0.022956909611821175
44,1283, He,101,0.009503471665084362
45,574, was,102,0.030662257224321365
46,459, an,103,0.006646130234003067
47,18088, Irish,104,-0.01504483725875616
48,36959, saint,105,-0.02005532756447792
49,323, and,106,0.00937644112855196
50,374, is,107,-0.00954291969537735
51,11846, believed,108,0.0031721561681479216
52,311, to,109,0.010370086878538132
53,617, have,110,0.010504061356186867
54,12439, lived,111,0.03316567465662956
55,304, in,112,0.03716593608260155
56,279, the,113,-0.0064742788672447205
57,220, ,114,-0.006269386038184166
58,21,6,115,-0.013375675305724144
59,339,th,116,-0.030349787324666977
60,9478, century,117,-0.002656314754858613
61,13,.,118,-0.004527874756604433
62,578, The,119,0.016149405390024185
63,4839, exact,120,0.03842185437679291
64,13003, dates,121,0.045709773898124695
65,315, of,122,0.03570682555437088
66,813, his,123,0.050743989646434784
67,7342, birth,124,0.09155979752540588
68,323, and,125,0.024252725765109062
69,4648, death,126,0.05273113027215004
70,527, are,127,0.005414693616330624
71,539, not,128,-0.014851389452815056
72,61528, universally,129,-0.002479096408933401
73,7378, agreed,130,0.0058405427262187
74,5304, upon,131,-0.0011559226550161839
75,11,",",132,-0.006122534163296223
76,719, but,133,-0.010656483471393585
77,433, it,134,0.016702622175216675
78,374, is,135,0.004046599846333265
