generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,51,-0.004736640490591526
1,4320, answer,52,0.0020452006720006466
2,420, this,53,-0.00013842317275702953
3,3488, question,54,-0.017533820122480392
4,11,",",55,-0.016131706535816193
5,584, we,56,0.006878452375531197
6,1205, need,57,-0.0011928004678338766
7,311, to,58,0.022855564951896667
8,1440, know,59,0.06406282633543015
9,279, the,60,0.10664131492376328
10,10345, lif,61,0.18436922132968903
11,25632,esp,62,0.18207958340644836
12,598,ans,63,-0.027042632922530174
13,315, of,64,0.06923803687095642
14,2225, both,65,-0.0029607294127345085
15,104423, 손,66,0.002815196057781577
16,101868,건,67,-0.030468616634607315
17,320, (,68,-0.005892762448638678
18,46714,Son,69,-0.007109830155968666
19,22450, Gun,70,-0.01273348554968834
20,8,),71,-0.01267957128584385
21,323, and,72,-0.0035023526288568974
22,87949, Abel,73,-0.017632395029067993
23,27318, Serv,74,-0.009195416234433651
24,3675,ien,75,-0.003065333468839526
25,382,".

",76,0.010122212581336498
26,8468,Step,77,0.008994098752737045
27,220, ,78,-0.009676093235611916
28,16,1,79,-0.027578920125961304
29,25,:,80,-0.020086586475372314
30,7531, Find,81,0.038941871374845505
31,279, the,82,0.035443276166915894
32,7342, birth,83,0.10625628381967545
33,323, and,84,0.008015229366719723
34,4648, death,85,0.043103624135255814
35,1667, years,86,0.009327933192253113
36,315, of,87,0.013919893652200699
37,104423, 손,88,-0.01362550538033247
38,101868,건,89,-0.026771241798996925
39,320, (,90,-0.002978432457894087
40,46714,Son,91,-0.0014965852024033666
41,22450, Gun,92,-0.021591825410723686
42,4390,").
",93,-0.010638290084898472
43,6153,After,94,-0.008903373032808304
44,45243, researching,95,-0.016511229798197746
45,11,",",96,-0.00846600066870451
46,358, I,97,-0.005654538981616497
47,1766, found,98,0.009492994286119938
48,430, that,99,-0.022260671481490135
49,104423, 손,100,0.0027634184807538986
50,101868,건,101,-0.02966693602502346
51,320, (,102,0.03771217167377472
52,46714,Son,103,-0.010637456551194191
53,22450, Gun,104,-0.016755837947130203
54,8,),105,-0.00039214547723531723
55,574, was,106,0.0616283193230629
56,264, a,107,0.02858193963766098
57,16526, Korean,108,-0.0032737001311033964
