generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,55,-0.0066511002369225025
1,4320, answer,56,-0.00016418518498539925
2,420, this,57,-0.0016856086440384388
3,3488, question,58,-0.01206359826028347
4,11,",",59,-0.016236215829849243
5,584, we,60,0.0028338807169348
6,1205, need,61,0.001626232173293829
7,311, to,62,0.01843562349677086
8,1440, know,63,0.055944882333278656
9,279, the,64,0.09917440265417099
10,10345, lif,65,0.19599047303199768
11,25632,esp,66,0.17456336319446564
12,598,ans,67,-0.029320193454623222
13,315, of,68,0.0636674165725708
14,2225, both,69,-0.004856050945818424
15,103372, 高,70,0.0017810215940698981
16,105243,永,71,-0.026668455451726913
17,111400,昌,72,0.010480990633368492
18,320, (,73,0.0014522690325975418
19,38,G,74,-0.007160221226513386
20,3524,ao,75,-0.005656425841152668
21,69054, Yong,76,0.007266056723892689
22,79082,chang,77,-0.0005683507770299911
23,8,),78,0.0008053667843341827
24,323, and,79,-0.002536327112466097
25,30738, Abd,80,-0.013352105394005775
26,453, al,81,-0.013790852390229702
27,5364,-M,82,-0.009707503020763397
28,278,al,83,-0.02770157717168331
29,1609,ik,84,0.006802346557378769
30,358, I,85,-0.006303928792476654
31,382,".

",86,-0.004994513001292944
32,45736,高,87,0.00478797871619463
33,105243,永,88,-0.033947769552469254
34,111400,昌,89,-0.007127786986529827
35,320, (,90,0.07171875983476639
36,38,G,91,0.0017192671075463295
37,3524,ao,92,0.2100917100906372
38,69054, Yong,93,-0.011360780335962772
39,79082,chang,94,0.007593115326017141
40,8,),95,0.024553310126066208
41,574, was,96,0.07269605994224548
42,264, a,97,0.028791269287467003
43,8620, Chinese,98,0.008112553507089615
44,4689, general,99,0.009110281243920326
45,315, of,100,0.03519972041249275
46,279, the,101,0.009793523699045181
47,41462, Tang,102,0.013099001720547676
48,74495, Dynasty,103,0.016495706513524055
49,11,",",104,0.030533049255609512
50,323, and,105,0.047068677842617035
51,4184, according,106,0.02004571445286274
52,311, to,107,-0.043148286640644073
53,13970, historical,108,0.004178875125944614
54,7576, records,109,-0.0008369489223696291
55,11,",",110,-0.012769424356520176
56,568, he,111,0.03899291902780533
57,12439, lived,112,0.09325022250413895
58,505, from,113,0.08003098517656326
59,220, ,114,0.00893438421189785
60,9892,163,115,-0.005473632365465164
