generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,55,-0.008528628386557102
1,4320, answer,56,-0.006658692378550768
2,420, this,57,-0.00940532423555851
3,3488, question,58,-0.007166569121181965
4,11,",",59,-0.02217200957238674
5,584, we,60,-0.00224662059918046
6,1205, need,61,-0.004939547739923
7,311, to,62,0.010047703981399536
8,1440, know,63,0.043679378926754
9,279, the,64,0.06388134509325027
10,10345, lif,65,0.1220453679561615
11,25632,esp,66,0.17551963031291962
12,598,ans,67,-0.018460223451256752
13,315, of,68,0.0680013969540596
14,2225, both,69,8.160457946360111e-05
15,37488, Abraham,70,0.008539603091776371
16,315, of,71,-0.02326330915093422
17,41876, Cler,72,-0.007727676071226597
18,21047,mont,73,-0.022306565195322037
19,323, and,74,-0.0010357177816331387
20,9085, �,75,-0.01224738359451294
21,105,�,76,-0.015872685238718987
22,251,�,77,-0.007741664070636034
23,104921,�,78,-0.030485372990369797
24,119,�,79,-0.0023920510429888964
25,320, (,80,-0.0013610388850793242
26,55,X,81,-0.008938074111938477
27,648,ie,82,-9.622774086892605e-05
28,1901, Z,83,0.003413471393287182
29,10118,han,84,0.0031500665936619043
30,3677,").

",85,-0.002607999136671424
31,16,1,86,0.00493683060631156
32,13,.,87,-0.02426614798605442
33,3146, **,88,0.0261857733130455
34,5953,Ab,89,0.02737727016210556
35,17012,raham,90,-0.007736969273537397
36,315, of,91,-0.020565569400787354
37,41876, Cler,92,0.0019002705812454224
38,21047,mont,93,-0.032164961099624634
39,96618,**:,94,0.03356095775961876
40,2057, To,95,0.006576681975275278
41,1505, find,96,0.0028949331026524305
42,2038, information,97,0.01810763217508793
43,389, on,98,-0.009173206984996796
44,37488, Abraham,99,0.06397826969623566
45,315, of,100,-0.021767089143395424
46,41876, Cler,101,-0.0076274992898106575
47,21047,mont,102,-0.034433744847774506
48,11,",",103,0.011987559497356415
49,584, we,104,-0.022921616211533546
50,2011, must,105,-0.012396788224577904
51,2980, consider,106,-0.01736963540315628
52,430, that,107,0.0044343979097902775
53,13970, historical,108,0.013472639955580235
54,7576, records,109,0.007939701899886131
55,2643, might,110,-0.01654946245253086
