generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,54,-0.006400609388947487
1,4320, answer,55,-0.00039561837911605835
2,420, this,56,-0.00661128293722868
3,3488, question,57,-0.00595996156334877
4,11,",",58,-0.017342256382107735
5,584, we,59,0.003350314684212208
6,1205, need,60,-0.004505999386310577
7,311, to,61,0.01809174008667469
8,1440, know,62,0.04472123831510544
9,279, the,63,0.06528022140264511
10,10345, lif,64,0.13155558705329895
11,25632,esp,65,0.17442579567432404
12,598,ans,66,-0.009507830254733562
13,315, of,67,0.06829705834388733
14,2225, both,68,-0.001374496379867196
15,37488, Abraham,69,0.008087406866252422
16,315, of,70,-0.01948421262204647
17,74130, Worm,71,-0.014568173326551914
18,82,s,72,-0.013130570761859417
19,323, and,73,0.009312331676483154
20,104400, علی,74,-0.02073538675904274
21,100829, بن,75,-0.028505656868219376
22,83268, ج,76,-0.009161107242107391
23,100699,عد,77,-0.016283102333545685
24,320, (,78,-0.005453208461403847
25,18129,Ali,79,-0.00392475351691246
26,19185, ib,80,0.0008096741512417793
27,77,n,81,-0.010562872514128685
28,23720, Ja,82,0.005728916265070438
29,4265,'d,83,0.002837179461494088
30,3677,").

",84,0.009135901927947998
31,5953,Ab,85,0.006058060564100742
32,17012,raham,86,-0.023928925395011902
33,315, of,87,-0.014169790782034397
34,74130, Worm,88,-0.0067370496690273285
35,82,s,89,-0.013373808935284615
36,574, was,90,0.07109034806489944
37,264, a,91,0.0389842614531517
38,13653, Jewish,92,0.002740677446126938
39,11679, myst,93,3.783125430345535e-05
40,292,ic,94,-0.012268010526895523
41,323, and,95,0.03439853712916374
42,279, the,96,0.008828536607325077
43,10711, alleged,97,0.013460579328238964
44,19533, founder,98,0.016616053879261017
45,315, of,99,0.007601251360028982
46,279, the,100,0.00799008458852768
47,921, Ch,101,0.004238002002239227
48,395,ass,102,0.008873636834323406
49,307,id,103,0.004594950936734676
50,292,ic,104,0.00388917769305408
51,7351, movement,105,0.0070029860362410545
52,13,.,106,-0.013794243335723877
53,1283, He,107,0.02225494757294655
54,374, is,108,0.05627774819731712
55,1071, said,109,0.009980624541640282
56,311, to,110,0.01788543164730072
57,617, have,111,0.03608814999461174
58,12439, lived,112,0.08569641411304474
59,304, in,113,0.07087745517492294
60,279, the,114,-0.00920797884464264
61,220, ,115,0.001264507882297039
62,717,12,116,-0.008524959906935692
63,339,th,117,-0.027598854154348373
64,477, or,118,0.004078002646565437
65,220, ,119,-0.009964767843484879
66,1032,13,120,-0.015521369874477386
67,339,th,121,0.07412354648113251
68,9478, century,122,0.011410228908061981
69,382,".

",123,0.00020066159777343273
70,117284,علی,124,-0.010056234896183014
71,100829, بن,125,-0.031125638633966446
72,83268, ج,126,-0.015342185273766518
73,100699,عد,127,-0.02537572756409645
74,320, (,128,0.011737614870071411
75,18129,Ali,129,-0.004995955154299736
76,19185, ib,130,-0.022054793313145638
77,77,n,131,-0.0051415301859378815
78,23720, Ja,132,0.0030440520495176315
79,4265,'d,133,-0.008460070937871933
80,8,),134,-0.001419566571712494
81,574, was,135,0.042195022106170654
82,264, a,136,0.019842475652694702
83,1047, had,137,-0.0006727389991283417
84,411,ith,138,0.002708274871110916
85,65271, narrator,139,-0.009576046839356422
86,889, who,140,0.0365527905523777
87,12439, lived,141,0.07935498654842377
88,505, from,142,0.0751221776008606
89,220, ,143,-0.00901266559958458
90,1490,80,144,-0.008742494508624077
91,12,-,145,0.022257139906287193
92,9870,230,146,-0.0037857634015381336
93,48388, AH,147,0.03773992508649826
94,320, (,148,0.021995501592755318
95,23459,699,149,0.0050636469386518
96,12,-,150,-0.015992406755685806
97,24344,844,151,-0.01442317757755518
98,27809, CE,152,0.009623521938920021
99,3677,").

",153,-0.011428596451878548
100,7184,Now,154,-0.0029801088385283947
101,11,",",155,-0.010103252716362476
102,27393, comparing,156,0.011468938551843166
103,872, their,157,0.06345897912979126
104,10345, lif,158,0.16365595161914825
105,25632,esp,159,0.1675690859556198
106,598,ans,160,-0.026937924325466156
107,512,":
",161,0.021887551993131638
108,12,-,162,0.02155611664056778
109,37488, Abraham,163,0.042016755789518356
110,315, of,164,0.0245588980615139
111,74130, Worm,165,0.03425004333257675
112,82,s,166,0.004682578146457672
113,374, is,167,0.09277815371751785
114,11846, believed,168,0.018692223355174065
115,311, to,169,0.013486864045262337
116,617, have,170,0.06209618225693703
117,12439, lived,171,0.10437969863414764
118,2212, around,172,0.06639386713504791
119,279, the,173,-0.0021796124055981636
120,220, ,174,-0.0006871656514704227
121,717,12,175,-0.009606145322322845
122,339,th,176,-0.016448458656668663
123,477, or,177,0.01013029646128416
124,220, ,178,-0.01792041026055813
125,1032,13,179,-0.012788445688784122
126,339,th,180,-0.016799937933683395
127,9478, century,181,0.023705843836069107
128,11,",",182,0.009973308071494102
129,902, which,183,0.024805031716823578
130,1053, would,184,0.006412827409803867
131,387, be,185,0.017374848946928978
132,17715, roughly,186,0.008398535661399364
133,505, from,187,0.013437867164611816
134,220, ,188,-0.0073765842244029045
