generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,60,0.03149692341685295
1,4320, answer,61,0.04867210239171982
2,420, this,62,0.019213419407606125
3,3488, question,63,0.02928786724805832
4,11,",",64,0.054371606558561325
5,584, we,65,0.03391449153423309
6,1205, need,66,0.02725817821919918
7,311, to,67,0.048992350697517395
8,1440, know,68,0.06428904831409454
9,279, the,69,0.06858479976654053
10,3813, location,70,0.0765325278043747
11,315, of,71,0.47048768401145935
12,31350, HO,72,0.13202393054962158
13,1777,PE,73,0.07730364799499512
14,480, G,74,0.03554735705256462
15,7527,ARD,75,0.047707699239254
16,965,EN,76,0.023921890184283257
17,323, and,77,0.07435484975576401
18,4015, ST,78,0.10216502845287323
19,2891,ANT,79,0.07691913843154907
20,715,ON,80,0.06719235330820084
21,85661, STREET,81,0.07234521955251694
22,54548, COUR,82,0.05547747388482094
23,10155,TS,83,0.03496512398123741
24,304, in,84,0.08072341978549957
25,29890, Manhattan,85,0.09439107030630112
26,382,".

",86,0.09748895466327667
27,16,1,87,0.04518960043787956
28,13,.,88,0.029875759035348892
29,3146, **,89,0.07222221046686172
30,29401,Ident,90,0.0734478011727333
31,1463,ify,91,0.07452210783958435
32,279, the,92,0.10758722573518753
33,10687, locations,93,0.056401677429676056
34,96618,**:,94,0.37060174345970154
35,720," 
",95,0.05557907372713089
36,256,  ,96,0.018471313640475273
37,482, -,97,0.016563601791858673
38,31350, HO,98,0.08005479723215103
39,1777,PE,99,0.05880485475063324
40,480, G,100,-0.003953129053115845
41,7527,ARD,101,0.07825422286987305
42,965,EN,102,0.061622217297554016
43,374, is,103,0.05825648829340935
44,7559, located,104,0.05738309025764465
45,304, in,105,0.2743501663208008
46,279, the,106,0.03747154027223587
47,28636, Lower,107,0.030942995101213455
48,6460, East,108,0.05812525749206543
49,17072, Side,109,0.04780331999063492
50,315, of,110,0.06460568308830261
51,29890, Manhattan,111,0.037898506969213486
52,627,".
",112,0.06915587186813354
53,256,  ,113,0.032142385840415955
54,482, -,114,-0.0033896910026669502
55,4015, ST,115,0.07121559232473373
56,2891,ANT,116,0.06502873450517654
57,715,ON,117,0.03080901689827442
58,85661, STREET,118,0.04473494738340378
59,54548, COUR,119,0.022375596687197685
60,10155,TS,120,-0.010804596357047558
61,527, are,121,0.03967047110199928
62,1101, also,122,0.046631939709186554
63,304, in,123,0.06580522656440735
64,279, the,124,0.049065329134464264
65,28636, Lower,125,0.029053442180156708
66,6460, East,126,0.10595839470624924
67,17072, Side,127,0.050641875714063644
68,11,",",128,0.06011729687452316
69,11951, specifically,129,0.06796165555715561
70,3221, near,130,0.07893920689821243
71,81764, Stanton,131,0.04014785215258598
72,6825, Street,132,0.045952774584293365
73,382,".

",133,0.04883807525038719
74,17,2,134,0.037451863288879395
75,13,.,135,0.04115597531199455
76,3146, **,136,0.08123032748699188
77,16648,Under,137,0.10692530125379562
78,2752,stand,138,0.0088050477206707
