generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,55,-0.009454395622015
1,4320, answer,56,-0.007652081549167633
2,420, this,57,-0.009433833882212639
3,3488, question,58,-0.01450258307158947
4,11,",",59,-0.02280515432357788
5,584, we,60,-0.0032154356595128775
6,1205, need,61,-0.004278656095266342
7,311, to,62,0.011215658858418465
8,1440, know,63,0.039700835943222046
9,279, the,64,0.06114506348967552
10,7342, birth,65,0.11443287134170532
11,323, and,66,0.0006387752946466208
12,4648, death,67,0.04879288747906685
13,1667, years,68,0.009673725813627243
14,315, of,69,0.015022534877061844
15,2225, both,70,-0.013262258842587471
16,56239, Abe,71,0.00010320614092051983
17,912, no,72,-0.021190069615840912
18,31781, Sad,73,0.002774009946733713
19,4428,ato,74,-0.015775827690958977
20,323, and,75,-0.013247604481875896
21,104694, �,76,-0.026080045849084854
22,106,�,77,-0.031064694747328758
23,45829,子,78,-0.021611517295241356
24,20321,�,79,-0.0223019327968359
25,106,�,80,-0.02418501116335392
26,382,".

",81,-0.010127595625817776
27,32,A,82,-0.00038993963971734047
28,1395,be,83,-0.02535218745470047
29,912, no,84,-0.018034106120467186
30,31781, Sad,85,-0.00491288211196661
31,4428,ato,86,0.13401642441749573
32,320, (,87,0.03709957376122475
33,11,",",88,-0.015481209382414818
34,220, ,89,0.023992400616407394
35,4645,101,90,-0.017587365582585335
36,15,0,91,0.000894400174729526
37,12,-,92,0.010300422087311745
38,7461,106,93,-0.013693958520889282
39,15,0,94,-0.013433864340186119
40,8,),95,0.02454611472785473
41,574, was,96,0.04570619761943817
42,264, a,97,0.011601367965340614
43,11002, Japanese,98,-0.0048941089771687984
44,10167, sam,99,-0.004517350345849991
45,49013,urai,100,0.020537884905934334
46,382,".

",101,0.013939131051301956
47,46065,�,102,-0.010077200829982758
48,106,�,103,-0.026892218738794327
49,45829,子,104,-0.011135857552289963
50,20321,�,105,-0.0031255013309419155
51,106,�,106,-0.02156824618577957
52,320, (,107,0.00412454828619957
53,11,",",108,0.001473314594477415
54,220, ,109,0.022841166704893112
55,1041,100,110,-0.003627699799835682
56,22,7,111,0.010068274103105068
57,12,-,112,0.0010212762281298637
58,6640,108,113,-0.002661591861397028
59,23,8,114,0.018334874883294106
60,8,),115,0.01413597073405981
61,574, was,116,0.02037108689546585
62,264, a,117,0.004649088717997074
63,8620, Chinese,118,-0.010476176626980305
64,37038, politician,119,-0.006973474286496639
65,315, of,120,-0.0011936891824007034
66,279, the,121,0.0053972178138792515
67,19508, Song,122,0.012229450047016144
68,74495, Dynasty,123,0.013814239762723446
69,382,".

",124,-0.007957899011671543
70,7184,Now,125,0.0069949012249708176
71,11,",",126,-0.007967639714479446
72,1095, let,127,0.032099612057209015
73,596,'s,128,-0.009312222711741924
74,9616, compare,129,0.04291761294007301
75,872, their,130,0.08935171365737915
76,17051, ages,131,0.20176471769809723
77,520, at,132,0.10942161828279495
78,4648, death,133,0.04681674763560295
79,512,":
",134,0.00876723974943161
80,32,A,135,0.02706885151565075
81,1395,be,136,-0.02682090550661087
82,912, no,137,0.011559829115867615
83,31781, Sad,138,0.0663861483335495
84,4428,ato,139,0.009441813454031944
85,8636, died,140,0.09405209124088287
86,520, at,141,0.00929996743798256
87,279, the,142,0.03677612543106079
88,4325, age,143,0.051749467849731445
89,315, of,144,-0.02854888141155243
90,220, ,145,0.03118203580379486
91,1135,50,146,0.00503896176815033
92,320, (,147,0.0198128130286932
93,7461,106,148,0.03600755333900452
94,15,0,149,-0.0022915489971637726
95,482, -,150,0.006840987596660852
96,220, ,151,0.007813690230250359
97,4645,101,152,-0.015761278569698334
98,15,0,153,-0.015170251950621605
99,4390,").
",154,0.0009043030440807343
100,46065,�,155,-0.022180525586009026
101,106,�,156,-0.01682395674288273
102,45829,子,157,-0.019195163622498512
103,20321,�,158,0.030677396804094315
104,106,�,159,-0.035682205110788345
105,8636, died,160,0.06741732358932495
106,520, at,161,0.03136445954442024
107,279, the,162,0.06565763056278229
108,4325, age,163,-0.015496629290282726
109,315, of,164,-0.026699407026171684
110,220, ,165,0.044700246304273605
111,5932,81,166,0.013896407559514046
112,320, (,167,0.030664317309856415
113,6640,108,168,0.00453623291105032
114,23,8,169,0.00016721407882869244
115,482, -,170,0.0014391513541340828
116,220, ,171,0.002307604067027569
117,1041,100,172,0.04244479164481163
118,22,7,173,-0.010189233347773552
119,3677,").

",174,-0.012080025859177113
120,12834,Since,175,-0.009561032056808472
121,220, ,176,-0.0007403693161904812
122,1135,50,177,-0.008598986081779003
123,374, is,178,0.01188032329082489
124,2753, less,179,0.010795630514621735
125,1109, than,180,0.005836484022438526
126,220, ,181,0.007141151465475559
127,5932,81,182,0.010975807905197144
128,11,",",183,-0.004887128248810768
129,584, we,184,-0.010276325047016144
130,649, can,185,-0.010687592439353466
131,32194, conclude,186,0.003291330998763442
132,430, that,187,-0.009162640199065208
133,56239, Abe,188,-0.007791910786181688
134,912, no,189,-0.019877271726727486
135,31781, Sad,190,-0.019579404965043068
136,4428,ato,191,-0.015324018895626068
137,8636, died,192,0.0635884702205658
138,14992, younger,193,0.03787437453866005
139,1109, than,194,0.025605330243706703
140,104694, �,195,-0.025561019778251648
141,106,�,196,-0.021597199141979218
142,45829,子,197,-0.024432476609945297
143,20321,�,198,-0.014463593252003193
144,106,�,199,-0.02135009504854679
145,382,".

",200,-0.02235671691596508
146,791,The,201,-0.0259985513985157
147,1620, final,202,-0.01716332510113716
148,4320, answer,203,-0.014894512481987476
149,374, is,204,-0.008917205967009068
150,25,:,205,-0.015725482255220413
151,59060, $\,206,-0.019415901973843575
152,80175,boxed,207,-0.006551574449986219
153,90,{,208,-0.002722995588555932
154,14331,YES,209,0.006537264678627253
155,32816,}$,210,-0.010577855631709099
156,128009,<|eot_id|>,211,-0.013968519866466522
