generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,8468,Step,61,-0.007768386509269476
1,220, ,62,-0.009523909538984299
2,16,1,63,0.03267821669578552
3,25,:,64,-0.020929310470819473
4,7531, Find,65,0.03079799748957157
5,704, out,66,0.04630224406719208
6,889, who,67,0.0650014653801918
7,423, D,68,0.01707008108496666
8,1631,ym,69,-0.03436725214123726
9,22288,itr,70,-0.018919074907898903
10,3765, Ab,71,-0.015831029042601585
11,64,a,72,-0.014950210228562355
12,574, was,73,-0.0026674154214560986
13,627,".
",74,0.03584432601928711
14,8468,Step,75,-0.025970084592700005
15,220, ,76,-0.015477316454052925
16,17,2,77,-0.007037165574729443
17,25,:,78,-0.02610912173986435
18,7531, Find,79,0.019502004608511925
19,704, out,80,0.012377307750284672
20,889, who,81,0.047634467482566833
21,3842, John,82,-0.024470970034599304
22,8105, II,83,-0.03201223164796829
23,11,",",84,-0.029638906940817833
24,4605, Count,85,0.09770409017801285
25,315, of,86,-0.02788105607032776
26,1901, Z,87,-0.01762237399816513
27,648,ie,88,0.05975157022476196
28,4469,gen,89,-0.02978844754397869
29,71,h,90,-0.021351436153054237
30,467,ain,91,-0.024406496435403824
31,574, was,92,-0.0065888515673577785
32,627,".
",93,-0.010485712438821793
33,8468,Step,94,-0.014554768800735474
34,220, ,95,0.022519905120134354
35,18,3,96,0.08280002325773239
36,25,:,97,-0.023774869740009308
37,7531, Find,98,0.033117372542619705
38,704, out,99,0.0330137200653553
39,994, when,100,0.05973006784915924
40,423, D,101,0.020546983927488327
41,1631,ym,102,-0.0345919132232666
42,22288,itr,103,-0.003298206254839897
43,3765, Ab,104,0.008012116886675358
44,64,a,105,0.06370183825492859
45,8636, died,106,0.034973952919244766
46,627,".
",107,0.009272183291614056
47,8468,Step,108,-0.01189645566046238
48,220, ,109,-0.007114978041499853
49,19,4,110,-0.029304232448339462
50,25,:,111,-0.015118692070245743
51,7531, Find,112,0.004664693959057331
52,704, out,113,-0.019596043974161148
53,994, when,114,0.017545968294143677
54,3842, John,115,-0.0076263584196567535
55,8105, II,116,-0.027698203921318054
56,11,",",117,-0.015002518892288208
57,4605, Count,118,0.02661830559372902
58,315, of,119,-0.03435042127966881
59,1901, Z,120,-0.018241731449961662
60,648,ie,121,-0.01852314919233322
61,4469,gen,122,-0.024710431694984436
62,71,h,123,-0.02555662952363491
63,467,ain,124,-0.027861695736646652
64,8636, died,125,0.016079554334282875
65,627,".
",126,0.00896536372601986
66,8468,Step,127,-0.012299949303269386
67,220, ,128,-0.00895056501030922
68,20,5,129,0.057864461094141006
69,25,:,130,-0.005947736091911793
70,24702, Compare,131,0.015762848779559135
71,279, the,132,0.061363376677036285
72,17051, ages,133,0.077435202896595
73,315, of,134,0.05928909033536911
74,423, D,135,0.033609189093112946
75,1631,ym,136,-0.007888054475188255
76,22288,itr,137,-0.0071606687270104885
77,3765, Ab,138,-0.012352431192994118
78,64,a,139,-0.023226557299494743
79,323, and,140,0.05902500078082085
80,3842, John,141,-0.008476676419377327
81,8105, II,142,-0.028302906081080437
82,11,",",143,0.0009210733696818352
83,4605, Count,144,-0.01611170545220375
84,315, of,145,-0.027785904705524445
85,1901, Z,146,0.057258863002061844
86,648,ie,147,-0.0253225639462471
87,4469,gen,148,-0.017393868416547775
88,71,h,149,0.02332315780222416
89,467,ain,150,-0.02075713686645031
90,520, at,151,0.06610192358493805
91,279, the,152,0.042650431394577026
92,892, time,153,0.04468211531639099
93,315, of,154,0.015285941772162914
94,872, their,155,0.02249632403254509
95,16779, deaths,156,0.017335861921310425
96,382,".

",157,0.01153636910021305
97,10267,Let,158,0.0035708947107195854
98,596,'s,159,-0.006213058717548847
99,1212, start,160,-0.005324569530785084
100,512,":
",161,-0.021411554887890816
101,8468,Step,162,-0.0057443976402282715
102,220, ,163,-0.01911931112408638
103,16,1,164,-0.021863695234060287
104,25,:,165,-0.035262636840343475
