generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,57,-0.0055104149505496025
1,4320, answer,58,-0.0014786976389586926
2,420, this,59,-0.005807589739561081
3,3488, question,60,-0.010358884930610657
4,11,",",61,-0.01527501828968525
5,584, we,62,0.003634245367720723
6,1205, need,63,-0.004992730915546417
7,311, to,64,0.017980754375457764
8,1440, know,65,0.0415712408721447
9,279, the,66,0.06770244240760803
10,10345, lif,67,0.13482974469661713
11,25632,esp,68,0.17646901309490204
12,598,ans,69,0.0003265850245952606
13,315, of,70,0.06478794664144516
14,2225, both,71,0.0009499965235590935
15,13714, Emp,72,0.01001336146146059
16,676,ress,73,-0.01871560886502266
17,37120, Zhang,74,-0.013068096712231636
18,323, and,75,-0.0029346372466534376
19,23860, Patri,76,0.004174166824668646
20,1132,arch,77,-0.005675312131643295
21,8096, Michael,78,-0.0055317990481853485
22,8105, II,79,0.0022047131787985563
23,315, of,80,-0.0021132808178663254
24,6898, Ant,81,-0.008607052266597748
25,822,io,82,-0.026481179520487785
26,331,ch,83,-0.021992424502968788
27,382,".

",84,-0.0026422899682074785
28,29831,Emp,85,0.0005931768100708723
29,676,ress,86,-0.027937332168221474
30,37120, Zhang,87,-0.0002301577478647232
31,11,",",88,0.047295503318309784
32,1101, also,89,0.018278293311595917
33,3967, known,90,-0.0027037207037210464
34,439, as,91,-0.01347880344837904
35,13714, Emp,92,0.008661804720759392
36,676,ress,93,-0.0015995289431884885
37,37120, Zhang,94,0.008819116279482841
38,320, (,95,0.006902814842760563
39,56,Y,96,0.019424527883529663
40,450,iz,97,0.007443557493388653
41,647,ong,98,0.008013889193534851
42,705,"),",99,0.021176539361476898
43,574, was,100,0.05760617181658745
44,264, a,101,0.03960952162742615
45,8620, Chinese,102,0.015409750863909721
46,991, em,103,0.012086291797459126
47,1911,press,104,0.008011401630938053
48,315, of,105,0.021320197731256485
49,279, the,106,0.011892019771039486
50,41462, Tang,107,0.01834549754858017
51,74495, Dynasty,108,0.02156093344092369
52,11,",",109,0.031263090670108795
53,7555, wife,110,0.030284225940704346
54,315, of,111,0.007849923335015774
55,35414, Emperor,112,0.00802617333829403
56,816, Y,113,0.012325238436460495
57,450,iz,114,0.022371135652065277
58,647,ong,115,0.01671234332025051
59,315, of,116,0.022309130057692528
60,41462, Tang,117,0.01863236539065838
61,13,.,118,0.036250319331884384
62,3005, She,119,0.028976481407880783
63,8636, died,120,0.050092484802007675
64,304, in,121,0.01137392409145832
65,220, ,122,-0.0030673760920763016
66,23713,816,123,0.0010313666425645351
67,9827, AD,124,-0.00461706705391407
68,382,".

",125,-0.0007297561387531459
69,47,P,126,0.003572322428226471
70,2416,atri,127,-0.0075772786512970924
71,1132,arch,128,-0.009426627308130264
72,8096, Michael,129,-0.011967828497290611
73,8105, II,130,0.0012813480570912361
74,315, of,131,0.008078149519860744
75,6898, Ant,132,0.008823774755001068
76,822,io,133,-0.009304923936724663
77,331,ch,134,-0.041132137179374695
78,574, was,135,0.07863613963127136
79,264, a,136,0.0223190039396286
80,18341, Greek,137,0.0023593390360474586
81,46273, Orthodox,138,0.0027807923033833504
82,23860, Patri,139,-0.0015074247494339943
83,1132,arch,140,0.003585481084883213
84,315, of,141,0.020393306389451027
85,6898, Ant,142,0.011007959023118019
86,822,io,143,-0.00023299967870116234
87,331,ch,144,0.04552934318780899
88,505, from,145,0.024786172434687614
89,220, ,146,-0.01104002259671688
90,9748,129,147,0.011049814522266388
91,17,2,148,0.010706853121519089
92,311, to,149,0.008896872401237488
93,220, ,150,-0.01086160633713007
94,9748,129,151,0.006674490869045258
95,20,5,152,0.0004947292618453503
96,9827, AD,153,-0.0018696197075769305
