generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,63,-0.014987192116677761
1,8417, determine,64,0.02430417761206627
2,422, if,65,0.07882274687290192
3,2794, OR,66,0.02651861496269703
4,54,W,67,0.013746105134487152
5,19659,ELL,68,0.00544948922470212
6,69461, HOUSE,69,0.0019309613853693008
7,48797, BUILD,70,0.009070442989468575
8,1753,ING,71,0.007144934497773647
9,374, is,72,0.0283838901668787
10,7559, located,73,0.1981896162033081
11,10007, south,74,0.19097161293029785
12,315, of,75,0.1292101889848709
13,11659, PS,76,0.006708540953695774
14,220, ,77,0.012962191365659237
15,24,9,78,0.006194732617586851
16,69878, SAR,79,0.007255370728671551
17,31023,AH,80,0.014910731464624405
18,3651, AND,81,0.008462413214147091
19,643,ER,82,0.026434781029820442
20,2770,SON,83,0.018525859341025352
21,11,",",84,0.005524958949536085
22,584, we,85,0.008421670645475388
23,1205, need,86,0.00011941557750105858
24,311, to,87,0.009870728477835655
25,5813, establish,88,0.03912721946835518
26,279, the,89,0.10525660216808319
27,10687, locations,90,0.15291206538677216
28,315, of,91,0.05176238715648651
29,2225, both,92,0.018419917672872543
30,14016, buildings,93,0.012750626541674137
31,323, and,94,0.02523639425635338
32,9616, compare,95,0.07217308133840561
33,872, their,96,0.1040043979883194
34,10093, positions,97,0.1510787308216095
35,8844, relative,98,0.13627547025680542
36,311, to,99,0.05194344371557236
37,1855, each,100,0.18007998168468475
38,1023, other,101,0.005590540822595358
39,382,".

",102,0.13419200479984283
40,16,1,103,0.005238302983343601
41,13,.,104,-0.011515560559928417
42,3146, **,105,0.025455359369516373
43,29401,Ident,106,0.04355552792549133
44,1463,ify,107,-0.0009454041719436646
45,279, the,108,0.053900621831417084
46,42569, Locations,109,0.05640919506549835
47,96618,**:,110,0.0135886762291193
48,720," 
",111,0.014318675734102726
49,256,  ,112,-0.006710698828101158
50,482, -,113,0.005688744131475687
51,2794, OR,114,0.020091954618692398
52,54,W,115,0.0017362309154123068
53,19659,ELL,116,0.028825299814343452
54,69461, HOUSE,117,0.0014157434925436974
55,48797, BUILD,118,0.004876230843365192
56,1753,ING,119,-0.002899322658777237
57,11,",",120,0.006113887764513493
58,29890, Manhattan,121,0.028072940185666084
59,198,"
",122,0.0327475480735302
60,256,  ,123,0.0006404693704098463
61,482, -,124,4.5780325308442116e-05
62,11659, PS,125,0.003140956163406372
63,220, ,126,0.016851235181093216
64,24,9,127,-0.0018096799030900002
65,69878, SAR,128,-0.0027078697457909584
66,31023,AH,129,0.0192900151014328
67,3651, AND,130,0.013287481851875782
68,643,ER,131,0.09883749485015869
69,2770,SON,132,-0.007221704348921776
70,11,",",133,0.004418664611876011
71,29890, Manhattan,134,0.026974646374583244
72,271,"

",135,0.010260612703859806
73,17,2,136,0.00031512463465332985
74,13,.,137,-0.00873961579054594
75,3146, **,138,0.03765134513378143
76,35,D,139,0.059579767286777496
77,25296,etermine,140,0.05382413789629936
78,66542, Geographic,141,0.13281011581420898
79,76483, Positions,142,0.12253783643245697
80,334,**,143,0.058860551565885544
81,512,":
",144,0.005853364244103432
82,256,  ,145,0.010383731685578823
83,17586, Without,146,0.02304011397063732
84,3230, specific,147,0.028302153572440147
85,14564, addresses,148,0.09953639656305313
86,477, or,149,0.010664270259439945
87,46139, geographic,150,0.08348700404167175
88,14259, coordinates,151,0.07383932173252106
89,11,",",152,0.006843630690127611
90,584, we,153,0.008085810579359531
91,4250, cannot,154,0.010650375857949257
92,6089, directly,155,0.02697547897696495
93,9616, compare,156,0.04210304096341133
94,279, the,157,0.0689769983291626
95,10687, locations,158,0.14056067168712616
96,13,.,159,0.015397570095956326
97,4452, However,160,0.0174043457955122
98,11,",",161,0.007680869661271572
99,584, we,162,0.0109304990619421
100,649, can,163,-0.006527924910187721
101,2980, consider,164,0.0074679795652627945
102,4689, general,165,0.05988425016403198
103,5789, areas,166,0.08728978037834167
104,477, or,167,0.042748529464006424
105,33100, neighborhoods,168,0.09016164392232895
106,422, if,169,0.034228887408971786
107,3967, known,170,0.004514830652624369
108,382,".

",171,-0.002949071116745472
109,18,3,172,0.0007820595055818558
110,13,.,173,-0.0088005680590868
111,3146, **,174,0.04910830035805702
112,38275,Consider,175,0.06376266479492188
113,29890, Manhattan,176,0.09256163984537125
114,596,'s,177,0.07629740238189697
115,10810, Grid,178,0.10868924111127853
116,744, System,179,0.062111347913742065
117,334,**,180,0.0258160587400198
118,512,":
",181,0.010482322424650192
119,256,  ,182,0.007338035851716995
120,29890, Manhattan,183,0.039135515689849854
121,374, is,184,0.044840697199106216
122,17551, laid,185,0.06703891605138779
123,704, out,186,0.06659156829118729
124,304, in,187,0.07205094397068024
125,264, a,188,0.07799210399389267
126,5950, grid,189,0.08833439648151398
127,5497, pattern,190,0.07353847473859787
128,11,",",191,0.10954034328460693
129,902, which,192,0.10731370002031326
130,3727, makes,193,0.06663282215595245
131,433, it,194,0.10165396332740784
132,8831, easier,195,0.03255860134959221
133,311, to,196,0.009571205824613571
134,8417, determine,197,0.10669531673192978
135,422, if,198,0.1899084746837616
136,832, one,199,0.07829149812459946
137,3813, location,200,0.06738896667957306
138,374, is,201,0.10625036060810089
139,10007, south,202,0.28058212995529175
140,315, of,203,0.1292310655117035
141,2500, another,204,0.0553319938480854
142,422, if,205,0.024932079017162323
143,584, we,206,0.04597897827625275
144,1440, know,207,0.010208102874457836
145,872, their,208,0.06470522284507751
146,5425, cross,209,0.09428877383470535
147,14708, streets,210,0.04531446844339371
148,477, or,211,0.05378786474466324
149,73234, avenues,212,0.05747498944401741
150,382,".

",213,0.052739210426807404
151,19,4,214,-0.004537127446383238
152,13,.,215,-0.018031422048807144
153,3146, **,216,0.13023988902568817
154,28528,Research,217,0.022896474227309227
155,477, or,218,0.012690692208707333
156,33025, Knowledge,219,0.01434025913476944
157,315, of,220,0.004734114743769169
158,29362, Specific,221,0.035295743495225906
159,42569, Locations,222,0.041410163044929504
160,334,**,223,0.007680397946387529
161,512,":
",224,-0.0013367733918130398
162,256,  ,225,-8.706934750080109e-06
163,482, -,226,0.01600315049290657
164,2794, OR,227,0.018901148810982704
165,54,W,228,0.0012545710196718574
166,19659,ELL,229,0.000564534799195826
167,69461, HOUSE,230,0.0038268028292804956
168,48797, BUILD,231,0.005072129890322685
169,1753,ING,232,0.01577097177505493
170,25,:,233,-0.00038479757495224476
171,65064, Assuming,234,0.02841513603925705
172,433, it,235,0.02560829557478428
173,596,'s,236,0.036012642085552216
174,264, a,237,0.05255644768476486
175,3967, known,238,0.0360906720161438
176,4857, building,239,0.026150116696953773
177,11,",",240,0.02324092388153076
178,584, we,241,0.009110921062529087
179,4265,'d,242,0.001723302761092782
180,1205, need,243,0.015154638327658176
181,1202, its,244,0.016245778650045395
182,2686, address,245,0.07600907236337662
183,477, or,246,0.024181701242923737
184,19801, intersection,247,0.05886191129684448
185,627,".
",248,0.032687511295080185
186,256,  ,249,0.007674724794924259
187,482, -,250,-0.005332935601472855
188,11659, PS,251,0.0031481252517551184
189,220, ,252,0.016957953572273254
190,24,9,253,0.004317395389080048
191,69878, SAR,254,0.0022527403198182583
192,31023,AH,255,0.029673736542463303
193,3651, AND,256,0.016254212707281113
194,643,ER,257,0.02846750244498253
195,2770,SON,258,-0.0006252320017665625
196,25,:,259,0.0077184331603348255
197,1115, This,260,0.014721200801432133
198,374, is,261,0.015627283602952957
199,264, a,262,0.02917492389678955
200,586, public,263,0.027318427339196205
201,2978, school,264,0.012233966961503029
202,11,",",265,0.01664668880403042
203,323, and,266,0.025963447988033295
204,1202, its,267,0.009848936460912228
205,3813, location,268,0.044444166123867035
206,649, can,269,0.008722244761884212
207,387, be,270,0.005118233151733875
208,1766, found,271,0.019930649548768997
209,13,.,272,0.01861477456986904
210,1789, For,273,0.02387029491364956
211,279, the,274,0.01515224203467369
212,7580, purpose,275,0.012563608586788177
213,315, of,276,-0.01583149842917919
214,420, this,277,0.013924811966717243
215,10368, exercise,278,0.005144771654158831
216,11,",",279,-0.012726927176117897
217,1095, let,280,0.011181223206222057
218,596,'s,281,0.013023747131228447
219,9855, assume,282,0.018810883164405823
220,584, we,283,0.019767817109823227
221,617, have,284,-0.002357352524995804
222,1202, its,285,0.008384092710912228
223,2686, address,286,0.07516026496887207
224,382,".

",287,0.01817062683403492
225,20,5,288,0.0022052819840610027
226,13,.,289,-0.008392198011279106
227,3146, **,290,0.0614018514752388
228,34587,Comparison,291,0.042025916278362274
229,334,**,292,0.026508649811148643
230,512,":
",293,0.00586711335927248
231,256,  ,294,0.011151760816574097
232,9843, Once,295,0.046557534486055374
233,584, we,296,0.01964210532605648
234,617, have,297,0.001017500413581729
235,279, the,298,0.03799218684434891
236,14564, addresses,299,0.070977583527565
237,477, or,300,0.00975986197590828
238,649, can,301,0.05347172170877457
239,67638, pinpoint,302,0.021390635520219803
240,279, the,303,0.023112330585718155
241,10687, locations,304,0.05261388421058655
242,389, on,305,0.014120250940322876
243,264, a,306,0.01619477942585945
244,2472, map,307,0.03622037172317505
245,11,",",308,0.008965478278696537
246,584, we,309,0.027802694588899612
247,649, can,310,0.02591925486922264
248,8417, determine,311,0.032514721155166626
249,422, if,312,0.09370425343513489
250,2794, OR,313,0.043697603046894073
251,54,W,314,0.009146736934781075
252,19659,ELL,315,-0.0032841144129633904
253,69461, HOUSE,316,0.004681713879108429
254,48797, BUILD,317,0.011666232720017433
255,1753,ING,318,0.0040910434909164906
256,374, is,319,0.08440779894590378
257,10007, south,320,0.23958906531333923
258,315, of,321,0.11744359880685806
259,11659, PS,322,0.016282785683870316
260,220, ,323,0.012564192526042461
261,24,9,324,-0.005731311626732349
262,69878, SAR,325,0.010178540833294392
263,31023,AH,326,0.0758911743760109
264,3651, AND,327,0.12755049765110016
265,643,ER,328,0.01298095565289259
266,2770,SON,329,-0.02065027505159378
267,555, by,330,0.007800350431352854
268,27393, comparing,331,0.05916712433099747
269,872, their,332,0.11348167806863785
270,6987, lat,333,0.15606583654880524
271,21237,itudes,334,0.10153401643037796
272,477, or,335,0.07886065542697906
273,872, their,336,0.11383343487977982
274,10093, positions,337,0.14105196297168732
275,389, on,338,0.11991369724273682
276,279, the,339,0.07337015867233276
277,29890, Manhattan,340,0.09875591099262238
278,5950, grid,341,0.04027320817112923
279,382,".

",342,0.05995181202888489
280,22818,Given,343,-0.00033220346085727215
281,279, the,344,-0.004473723936825991
282,6996, lack,345,-0.00029248185455799103
283,315, of,346,-0.008328092284500599
284,3230, specific,347,0.019868388772010803
285,2038, information,348,0.038565345108509064
286,922, about,349,-0.0021108980290591717
287,279, the,350,0.03279874473810196
288,10687, locations,351,0.06010672077536583
289,315, of,352,0.007418768014758825
290,2794, OR,353,0.0036194827407598495
291,54,W,354,-0.0017753741703927517
292,19659,ELL,355,-0.017397165298461914
293,69461, HOUSE,356,-0.006332565099000931
294,48797, BUILD,357,-0.008738964796066284
295,1753,ING,358,0.012709449976682663
296,323, and,359,-0.006299243308603764
297,11659, PS,360,0.004052185919135809
298,220, ,361,0.01393556222319603
299,24,9,362,0.002919960767030716
300,69878, SAR,363,0.004664661828428507
301,31023,AH,364,-0.018294833600521088
302,3651, AND,365,0.011624285951256752
303,643,ER,366,0.004213797859847546
304,2770,SON,367,-0.01064232923090458
305,304, in,368,0.008245361968874931
306,279, the,369,0.02204464003443718
307,3488, question,370,0.014783506281673908
308,11,",",371,-0.016063369810581207
309,1095, let,372,-0.002679467899724841
310,596,'s,373,-0.011736401356756687
311,10570, proceed,374,0.009501234628260136
312,449, with,375,0.0023526111617684364
313,264, a,376,-0.0008483458077535033
314,59159, hypothetical,377,0.004655146040022373
315,15398, scenario,378,0.018683597445487976
316,369, for,379,0.017393847927451134
317,16627, educational,380,0.010514924302697182
318,10096, purposes,381,0.004792644642293453
319,1473,":

",382,0.008605520240962505
320,334,**,383,0.005553237162530422
321,39,H,384,0.019168702885508537
322,1100,yp,385,0.018528325483202934
323,8942,oth,386,0.01331816241145134
324,45608,etical,387,0.004518123809248209
