generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,53,-0.010817092843353748
1,4320, answer,54,-0.007831423543393612
2,420, this,55,-0.009136278182268143
3,3488, question,56,-0.009723734110593796
4,11,",",57,-0.02222588285803795
5,584, we,58,-0.0038214148953557014
6,1205, need,59,-0.008330775424838066
7,311, to,60,0.008183227851986885
8,1440, know,61,0.03937825933098793
9,279, the,62,0.05903560668230057
10,10345, lif,63,0.11935456842184067
11,25632,esp,64,0.17780378460884094
12,598,ans,65,-0.03136087581515312
13,315, of,66,0.06569522619247437
14,2225, both,67,-0.003231259062886238
15,37488, Abraham,68,0.006031057331711054
16,16062, Du,69,-0.018257807940244675
17,14295,ques,70,-0.011892050504684448
18,818,ne,71,-0.024789024144411087
19,323, and,72,-0.005508915521204472
20,107429, �,73,-0.020886247977614403
21,247,�,74,-0.028321556746959686
22,126205,芬,75,-0.02399810031056404
23,320, (,76,-0.010978111065924168
24,84778,Zh,77,-0.016777604818344116
25,3524,ao,78,-0.011603723280131817
26,45406, Fen,79,-0.009352626278996468
27,3677,").

",80,-0.013815482147037983
28,16,1,81,0.00293132197111845
29,13,.,82,-0.02419467456638813
30,3146, **,83,0.018133018165826797
31,5953,Ab,84,0.021444005891680717
32,17012,raham,85,-0.014737921766936779
33,16062, Du,86,-0.013036202639341354
34,14295,ques,87,-0.0302693210542202
35,818,ne,88,-0.01757151260972023
36,96618,**:,89,0.04228947311639786
37,2057, To,90,0.0037772951181977987
38,1505, find,91,0.0028933777939528227
39,2038, information,92,0.01806986890733242
40,389, on,93,-0.00914000440388918
41,37488, Abraham,94,0.053919218480587006
42,16062, Du,95,-0.029900994151830673
43,14295,ques,96,-0.03428910672664642
44,818,ne,97,-0.005049947649240494
45,11,",",98,0.028304096311330795
46,584, we,99,-0.01955844648182392
47,1053, would,100,-0.012369813397526741
48,11383, typically,101,0.0023728804662823677
49,1427, look,102,-0.007648556958884001
50,369, for,103,0.0005079726688563824
51,13970, historical,104,0.004232337232679129
52,7576, records,105,-0.004566799849271774
53,477, or,106,-0.018078705295920372
54,6160, bi,107,-0.004424897953867912
55,67245,ographies,108,-0.0014176280237734318
56,13,.,109,0.005229013040661812
57,4452, However,110,-0.023932160809636116
58,11,",",111,-0.036949533969163895
59,2085, without,112,-0.02275727689266205
60,3230, specific,113,-0.017515521496534348
61,3649, details,114,0.0005848519504070282
62,3984, provided,115,-0.020065508782863617
