generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,60,-0.009140035137534142
1,4320, answer,61,-0.005704178474843502
2,420, this,62,-0.007854655385017395
3,3488, question,63,-0.007295993622392416
4,11,",",64,-0.01958196610212326
5,584, we,65,-0.0017373230075463653
6,1205, need,66,-0.00533709954470396
7,311, to,67,0.010947948321700096
8,1440, know,68,0.042018815875053406
9,279, the,69,0.06555169075727463
10,10345, lif,70,0.12676207721233368
11,25632,esp,71,0.16921791434288025
12,598,ans,72,-0.018223397433757782
13,315, of,73,0.06409917771816254
14,2225, both,74,-0.0009563330095261335
15,26757, Aaron,75,0.011392885819077492
16,3399, ben,76,-0.02693740837275982
17,480, G,77,-0.02449803613126278
18,56090,ersh,78,-0.027405448257923126
19,263,on,79,-0.008140244521200657
20,671, ab,80,-0.01844128407537937
21,84,u,81,-0.014587043784558773
22,453, al,82,-0.020306231454014778
23,11151,-R,83,-0.02910608798265457
24,26140,abi,84,-0.014013741165399551
25,323, and,85,-0.008413008414208889
26,110909, �,86,-0.005566438660025597
27,230,�,87,-0.021634699776768684
28,103952,�,88,-0.028211049735546112
29,232,�,89,0.0074067008681595325
30,320, (,90,-0.0077476492151618
31,19171,also,91,-0.012020598165690899
32,3967, known,92,0.00601695291697979
33,439, as,93,-0.011804054491221905
34,1229, Q,94,-0.0034852679818868637
35,19260,iu,95,0.0016676918603479862
36,62111, Chu,96,0.009003184735774994
37,7910,ji,97,-0.000533729325979948
38,3677,").

",98,0.03503881394863129
39,16,1,99,0.0048367539420723915
40,13,.,100,-0.026777353137731552
41,3146, **,101,0.021728847175836563
42,29401,Ident,102,0.03033582866191864
43,1463,ify,103,-0.0048239566385746
44,279, the,104,0.04286216199398041
45,65863, Lif,105,0.08205662667751312
46,288,es,106,0.13161082565784454
47,857,pan,107,0.1264854371547699
48,315, of,108,0.05085333436727524
49,26757, Aaron,109,-0.015786876901984215
50,3399, ben,110,-0.021861953660845757
51,480, G,111,-0.02750151976943016
52,56090,ersh,112,-0.03440769016742706
53,263,on,113,-0.002488276921212673
54,671, ab,114,-0.011345933191478252
55,84,u,115,0.03199723735451698
56,453, al,116,-0.022819936275482178
57,11151,-R,117,0.022236816585063934
58,26140,abi,118,-0.01857632026076317
59,96618,**:,119,-0.014212353155016899
60,720," 
",120,-0.006683152634650469
61,256,  ,121,-0.007442849688231945
62,482, -,122,-0.02060210518538952
63,26757, Aaron,123,-0.011435307562351227
64,3399, ben,124,-0.011133953928947449
65,480, G,125,-0.008417263627052307
66,56090,ersh,126,0.006694335490465164
67,263,on,127,0.007820244878530502
68,671, ab,128,-0.004611491225659847
69,84,u,129,-0.015206482261419296
70,453, al,130,-0.005744799971580505
71,11151,-R,131,-0.0246550552546978
72,26140,abi,132,-0.01853986270725727
73,574, was,133,0.03737576678395271
74,264, a,134,0.02730325236916542
75,13653, Jewish,135,-0.009444909170269966
76,28378, physician,136,-0.012387566268444061
77,889, who,137,0.015905482694506645
78,12439, lived,138,0.05194457620382309
79,304, in,139,0.025488920509815216
80,279, the,140,-0.0018229247070848942
81,220, ,141,-0.0027795745991170406
82,1032,13,142,-0.0040777819231152534
83,339,th,143,-0.019571084529161453
84,9478, century,144,4.168599843978882e-06
85,13,.,145,-0.0021820643451064825
86,19173, Unfortunately,146,-0.005304404534399509
87,11,",",147,-0.009701348841190338
88,2085, without,148,0.0072866929695010185
89,3230, specific,149,-0.016585804522037506
90,3649, details,150,0.016765382140874863
91,389, on,151,-0.012964360415935516
92,813, his,152,0.060239505022764206
93,7342, birth,153,0.10904345661401749
94,323, and,154,0.010237829759716988
95,4648, death,155,0.048755332827568054
96,13003, dates,156,0.003591225016862154
97,11,",",157,-0.021187206730246544
98,584, we,158,-0.012965281493961811
99,649, can,159,-0.02461090311408043
100,956,'t,160,-0.014917882159352303
101,6089, directly,161,0.006305755116045475
102,9616, compare,162,0.01026990544050932
103,813, his,163,0.07262346893548965
104,61961, lifespan,164,0.22316347062587738
105,311, to,165,0.049451444298028946
106,430, that,166,0.002201567403972149
107,315, of,167,0.017494648694992065
108,1229, Q,168,-0.01308113057166338
109,19260,iu,169,-0.01668417640030384
110,62111, Chu,170,-0.017999526113271713
111,7910,ji,171,0.03276637941598892
112,13,.,172,-0.012968219816684723
113,4452, However,173,-0.014194156043231487
114,11,",",174,-0.03371516987681389
115,2728, given,175,0.0032048593275249004
116,279, the,176,-0.005544811952859163
117,2317, context,177,0.022884545847773552
118,11,",",178,-0.021712563931941986
119,433, it,179,-0.007290487177670002
120,596,'s,180,-0.0141218863427639
121,13579, reasonable,181,-0.0077428496442735195
122,311, to,182,0.004325789865106344
123,9855, assume,183,0.0008700803155079484
124,568, he,184,0.01479056105017662
125,12439, lived,185,0.1294112652540207
126,2949, within,186,0.11714532226324081
127,279, the,187,0.027542375028133392
128,2134, range,188,0.04922659322619438
129,315, of,189,0.02792399190366268
130,279, the,190,0.03727113828063011
131,220, ,191,0.016976062208414078
132,1032,13,192,0.009444022551178932
133,339,th,193,-0.015217598527669907
134,9478, century,194,0.009174995124340057
135,11,",",195,0.024678871035575867
136,17715, roughly,196,0.02025604620575905
137,1990, between,197,0.020342351868748665
138,220, ,198,0.0027600068133324385
139,4364,120,199,-0.0004880768246948719
140,15,0,200,-0.015966538339853287
141,323, and,201,0.002091049449518323
142,220, ,202,0.009463712573051453
143,5894,130,203,0.005447462201118469
144,15,0,204,0.012072318233549595
145,382,".

",205,0.0209677554666996
146,17,2,206,-0.00960053876042366
147,13,.,207,-0.028433704748749733
148,3146, **,208,0.023905744776129723
149,29401,Ident,209,0.010637638159096241
150,1463,ify,210,-0.036420878022909164
151,279, the,211,0.024511948227882385
152,65863, Lif,212,0.08743125945329666
153,288,es,213,0.12632635235786438
154,857,pan,214,-0.034546542912721634
155,315, of,215,0.046145446598529816
156,110909, �,216,-0.026540277525782585
157,230,�,217,-0.025164123624563217
158,103952,�,218,-0.02780957520008087
159,232,�,219,-0.005863153375685215
160,320, (,220,-0.016097567975521088
161,48,Q,221,-0.024353493005037308
162,19260,iu,222,-0.02204994112253189
163,62111, Chu,223,0.005551924463361502
164,7910,ji,224,-0.008895669132471085
165,33395,)**,225,0.02772614173591137
166,512,":
",226,-0.0075197299011051655
167,256,  ,227,-0.019383087754249573
168,482, -,228,-0.02500765770673752
169,1229, Q,229,-0.00857734214514494
170,19260,iu,230,-0.026642581447958946
171,62111, Chu,231,0.0035605523735284805
172,7910,ji,232,0.029243867844343185
173,11,",",233,0.06615754961967468
174,1101, also,234,0.014338725246489048
175,3967, known,235,-0.00086948461830616
176,439, as,236,-0.0030279504135251045
177,921, Ch,237,0.012144794687628746
178,6,',238,0.009451236575841904
179,19260,iu,239,0.009155713021755219
180,921, Ch,240,0.0007715784013271332
181,6,',241,0.005783054046332836
182,2448,ü,242,-0.010258087888360023
183,11843,-ch,243,-0.0022091481368988752
184,72,i,244,-0.002283300505951047
185,11,",",245,0.005682821851223707
186,574, was,246,0.08074385672807693
187,264, a,247,0.038718197494745255
188,8620, Chinese,248,0.03388170525431633
189,60608, Tao,249,0.032095424830913544
190,380,ist,250,0.0006488715298473835
191,323, and,251,0.05317850410938263
192,453, al,252,0.05094435438513756
193,75188,chemist,253,0.02675727941095829
194,315, of,254,0.07670772820711136
195,279, the,255,0.026910265907645226
196,3489, Qu,256,0.03031492419540882
197,12341,anz,257,0.01739131286740303
198,12301,hen,258,0.014102354645729065
199,6150, School,259,0.014366479590535164
200,13,.,260,0.021461868658661842
201,1283, He,261,0.037631645798683167
202,12439, lived,262,0.09913262724876404
203,505, from,263,0.10235322266817093
204,220, ,264,0.00819497462362051
205,8011,114,265,0.03185303509235382
206,23,8,266,0.020228220149874687
