generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,54,-0.008704038336873055
1,4320, answer,55,-0.006793264299631119
2,420, this,56,-0.010437574237585068
3,3488, question,57,-0.0035504954867064953
4,11,",",58,-0.023035302758216858
5,584, we,59,-0.004993726033717394
6,1205, need,60,-0.004787400830537081
7,311, to,61,0.011312237940728664
8,1440, know,62,0.03876331448554993
9,279, the,63,0.06685036420822144
10,10345, lif,64,0.13399165868759155
11,25632,esp,65,0.1693546175956726
12,598,ans,66,-0.002606508322060108
13,315, of,67,0.0639677345752716
14,2225, both,68,-0.004659597296267748
15,30738, Abd,69,0.008093859069049358
16,77578,allah,70,-0.01890704780817032
17,19185, ib,71,-0.008953753858804703
18,77,n,72,-0.023956745862960815
19,55417, Ahmad,73,-0.015630686655640602
20,8105, II,74,-0.010701479390263557
21,323, and,75,0.0070585766807198524
22,103372, 高,76,-0.011447910219430923
23,111587,済,77,-0.026889130473136902
24,320, (,78,-0.007112879306077957
25,42,K,79,-0.012531799264252186
26,56761,ō,80,-0.007980212569236755
27,71841, Sai,81,0.013105489313602448
28,11,",",82,-0.0012266122503206134
29,1101, also,83,0.015153113752603531
30,3967, known,84,0.006241924129426479
31,439, as,85,-0.03115689381957054
32,480, G,86,-0.010987409390509129
33,3524,ao,87,0.0030336277559399605
34,1901, Z,88,0.005571337416768074
35,647,ong,89,0.006420615129172802
36,315, of,90,0.0077547780238091946
37,19508, Song,91,0.01737416721880436
38,3677,").

",92,0.007771628908813
39,5953,Ab,93,0.009059486910700798
40,67,d,94,-0.023901866748929024
41,77578,allah,95,-0.022280704230070114
42,19185, ib,96,-0.007266361732035875
43,77,n,97,-0.03729615733027458
44,55417, Ahmad,98,0.0024534743279218674
45,8105, II,99,-0.009769459255039692
46,574, was,100,0.055864907801151276
47,279, the,101,0.020968768745660782
48,76086, Sultan,102,0.0038128586020320654
49,315, of,103,0.0029488687869161367
50,279, the,104,0.009841004386544228
51,1901, Z,105,0.02093774639070034
52,404,ir,106,0.010997612029314041
53,307,id,107,0.011322621256113052
54,67946, dynasty,108,0.011683378368616104
55,11,",",109,0.01246252004057169
56,17864, ruling,110,0.027336712926626205
57,304, in,111,-0.0018742524553090334
58,1442, If,112,-0.013084061443805695
59,462,ri,113,0.0033829915337264538
60,41287,qi,114,-0.0019965909887105227
61,7911,ya,115,0.001585442223586142
62,320, (,116,-0.0037801042199134827
63,50889,modern,117,-0.015421183779835701
64,11477,-day,118,-0.008596697822213173
65,77935, Tunisia,119,-0.017741555348038673
66,323, and,120,-0.01126282848417759
67,5596, parts,121,-0.007921713404357433
68,315, of,122,-0.026534005999565125
69,81341, Algeria,123,-0.012862215749919415
70,8,),124,-0.017858263105154037
71,505, from,125,0.017200106754899025
72,220, ,126,-0.019400669261813164
73,21251,940,127,0.0017217567656189203
74,311, to,128,0.0016066574025899172
75,220, ,129,-0.010487064719200134
76,26511,947,130,0.0033654221333563328
77,13,.,131,-0.006808871868997812
78,15636, Therefore,132,0.016297368332743645
79,11,",",133,0.0071324072778224945
80,568, he,134,0.04250238463282585
81,574, was,135,0.07229285687208176
82,9405, born,136,0.04719521105289459
83,1603, before,137,-0.003865254810079932
84,220, ,138,-0.022258609533309937
85,21251,940,139,-0.046943143010139465
86,323, and,140,0.011146696284413338
87,8636, died,141,0.02442961186170578
88,1306, after,142,0.0023276207502931356
89,220, ,143,-0.01979171112179756
90,21251,940,144,-0.03324428200721741
91,11,",",145,0.0013886250089854002
92,719, but,146,0.0076411571353673935
93,279, the,147,0.014330033212900162
94,4839, exact,148,0.053962886333465576
95,13003, dates,149,0.07533228397369385
96,315, of,150,0.009913216345012188
97,813, his,151,0.037384528666734695
98,7342, birth,152,0.057146716862916946
99,323, and,153,0.01534140296280384
100,4648, death,154,0.04122477024793625
101,527, are,155,-0.010931887663900852
102,539, not,156,-0.02583344280719757
103,3984, provided,157,-0.010192157700657845
104,304, in,158,-0.011857755482196808
105,420, this,159,-0.01147494651377201
106,2038, information,160,-0.022614574059844017
107,382,".

",161,-0.016677018254995346
108,45736,高,162,-0.01987890526652336
109,111587,済,163,-0.02813415229320526
110,320, (,164,0.007846076041460037
111,38,G,165,-0.010884644463658333
112,3524,ao,166,-0.013980112969875336
113,1901, Z,167,7.029040716588497e-05
114,647,ong,168,-0.009536038152873516
115,315, of,169,-0.00921386107802391
116,19508, Song,170,0.009955554269254208
117,8,),171,0.010505376383662224
118,19813, refers,172,0.03398492932319641
119,311, to,173,0.00040131574496626854
120,35414, Emperor,174,-0.00497498270124197
121,480, G,175,0.0001666408497840166
122,3524,ao,176,0.015099640004336834
123,89,z,177,0.009471345692873001
124,647,ong,178,0.005139769054949284
125,315, of,179,0.019366007298231125
126,19508, Song,180,0.01089678518474102
127,11,",",181,0.018323106691241264
128,889, who,182,0.03439537435770035
129,21989, ruled,183,0.06521239876747131
130,5734, China,184,0.01570149138569832
131,505, from,185,0.002127067418769002
132,220, ,186,-0.02059640735387802
133,7261,112,187,0.004684317857027054
134,22,7,188,0.02197330817580223
135,311, to,189,0.014706323854625225
136,220, ,190,-0.006983499974012375
137,8027,116,191,0.004921888932585716
138,17,2,192,0.006619986146688461
139,13,.,193,0.016451101750135422
140,1283, He,194,0.02748650126159191
141,574, was,195,0.043070029467344284
142,9405, born,196,0.009250332601368427
143,304, in,197,-0.015506391413509846
144,220, ,198,-0.0221162810921669
145,5120,110,199,-0.010443389415740967
146,22,7,200,0.00031327689066529274
147,323, and,201,0.010934503749012947
148,8636, died,202,0.036638043820858
149,304, in,203,0.0011590698268264532
150,220, ,204,-0.00917909573763609
151,8899,118,205,0.011482003144919872
152,22,7,206,0.012533527798950672
153,382,".

",207,0.005383004434406757
154,22818,Given,208,-0.010252438485622406
155,1521, these,209,0.004870527423918247
156,13003, dates,210,0.058201298117637634
157,512,":
",211,-0.0003765723668038845
158,12,-,212,0.005297181196510792
159,30738, Abd,213,0.014418987557291985
160,77578,allah,214,-0.027728624641895294
161,19185, ib,215,-0.000653835479170084
162,77,n,216,0.08420669287443161
163,55417, Ahmad,217,0.009030011482536793
164,8105, II,218,0.0019509021658450365
165,574, was,219,0.05527012050151825
166,13989, alive,220,0.03360532969236374
167,520, at,221,-0.0017644595354795456
168,3325, least,222,-0.025646507740020752
169,3156, until,223,-0.005827574525028467
170,220, ,224,-0.025702951475977898
171,26511,947,225,-0.021210944280028343
172,627,".
",226,0.0018006153404712677
173,12,-,227,-0.010733354836702347
174,103372, 高,228,0.0008488368475809693
175,111587,済,229,-0.033424124121665955
176,320, (,230,0.041884951293468475
177,38,G,231,-0.017290499061346054
178,3524,ao,232,-0.037179913371801376
179,1901, Z,233,0.05564151704311371
180,647,ong,234,-0.024066336452960968
181,315, of,235,-0.013825448229908943
182,19508, Song,236,-0.018391698598861694
183,8,),237,0.017136821523308754
184,574, was,238,0.11174698919057846
185,9405, born,239,0.07708839327096939
186,304, in,240,-0.0007513603195548058
187,220, ,241,-0.015179414302110672
188,5120,110,242,-0.03091229312121868
189,22,7,243,-0.021715402603149414
190,323, and,244,0.010840730741620064
191,8636, died,245,0.07130791246891022
192,304, in,246,0.02871939353644848
193,220, ,247,0.00625276193022728
194,8899,118,248,0.019466690719127655
195,22,7,249,-0.0007875609444454312
196,382,".

",250,0.020554447546601295
197,12834,Since,251,-0.01770843006670475
198,30738, Abd,252,0.00432781595736742
199,77578,allah,253,-0.028970137238502502
200,19185, ib,254,0.011939496733248234
201,77,n,255,-0.02484363317489624
202,55417, Ahmad,256,0.006679004058241844
203,8105, II,257,0.01648969016969204
204,8636, died,258,0.04932478442788124
205,1603, before,259,0.0023002070374786854
206,220, ,260,-0.016007177531719208
207,5120,110,261,-0.02274547889828682
208,22,7,262,-0.015372020192444324
209,320, (,263,0.004024014808237553
210,1820,the,264,-0.001714645535685122
211,7342, birth,265,0.020715603604912758
212,1060, year,266,0.010696389712393284
213,315, of,267,-0.013607125729322433
214,103372, 高,268,-0.0256362184882164
215,111587,済,269,-0.03703203424811363
216,705,"),",270,-0.021251605823636055
217,433, it,271,0.0006789481267333031
218,374, is,272,-0.0031335200183093548
219,2867, clear,273,-0.0036063101142644882
220,430, that,274,0.0015693155582994223
221,30738, Abd,275,0.01303317304700613
222,77578,allah,276,-0.025197507813572884
223,19185, ib,277,0.025846049189567566
224,77,n,278,-0.028525477275252342
225,55417, Ahmad,279,0.021505622193217278
226,8105, II,280,-0.016768191009759903
227,8636, died,281,0.08993865549564362
228,14992, younger,282,0.03591945767402649
229,1109, than,283,0.0656401515007019
230,103372, 高,284,-0.0086479801684618
231,111587,済,285,-0.030843421816825867
232,382,".

",286,0.02365911193192005
233,791,The,287,-0.030851619318127632
234,1620, final,288,-0.01787760481238365
235,4320, answer,289,-0.015791233628988266
236,374, is,290,-0.007709910627454519
237,25,:,291,-0.019706018269062042
238,59060, $\,292,-0.0184098482131958
239,80175,boxed,293,-0.009575012139976025
240,90,{,294,0.00040617980994284153
241,14331,YES,295,0.004570497199892998
242,32816,}$,296,-0.005900296848267317
243,128009,<|eot_id|>,297,-0.012140780687332153
