generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,58,-0.008112559095025063
1,4320, answer,59,-0.005528551060706377
2,420, this,60,-0.008080770261585712
3,3488, question,61,-0.005735877901315689
4,11,",",62,-0.01715046539902687
5,584, we,63,-0.003928382880985737
6,1205, need,64,-0.00594091322273016
7,311, to,65,0.012044034898281097
8,1440, know,66,0.03510471060872078
9,279, the,67,0.06063615903258324
10,7342, birth,68,0.12428388744592667
11,323, and,69,0.0020768223330378532
12,4648, death,70,0.04721150919795036
13,13003, dates,71,0.005774017423391342
14,315, of,72,-0.0028258056845515966
15,2225, both,73,-0.012571169063448906
16,40796, Nicholas,74,0.003226228291168809
17,14767, III,75,-0.020016642287373543
18,315, of,76,-0.014856485649943352
19,14539, Saint,77,-0.003483794629573822
20,507, O,78,-0.009163545444607735
21,1195,mer,79,-0.020824195817112923
22,323, and,80,-0.006785191595554352
23,432, R,81,-0.008755818009376526
24,455,up,82,-0.009121609851717949
25,268,en,83,-0.0031555176246911287
26,315, of,84,-0.002986239967867732
27,9995, Mont,85,0.00890515185892582
28,4057,fort,86,0.10448790341615677
29,382,".

",87,-0.004728002939373255
30,86279,Nich,88,0.0010859612375497818
31,19736,olas,89,-0.02719827927649021
32,14767, III,90,-0.016911987215280533
33,315, of,91,0.015124308876693249
34,14539, Saint,92,-0.0024275886826217175
35,507, O,93,-0.006890560034662485
36,1195,mer,94,-0.016300706192851067
37,574, was,95,0.055124055594205856
38,9405, born,96,0.02918410673737526
39,2212, around,97,0.0039836447685956955
40,220, ,98,-0.01456870511174202
41,8546,117,99,-0.0007758552674204111
42,15,0,100,0.0005406546406447887
43,323, and,101,0.0037308456376194954
44,8636, died,102,0.04038572683930397
45,304, in,103,-0.002891258802264929
46,220, ,104,-0.005025862250477076
47,7994,121,105,0.012134573422372341
48,22,7,106,0.011731467209756374
49,13,.,107,0.005393597763031721
50,4815," 

",108,-0.0037902810145169497
51,49,R,109,-0.020596105605363846
52,455,up,110,-0.026185812428593636
53,268,en,111,-0.0033072035294026136
54,315, of,112,-0.008329988457262516
55,9995, Mont,113,0.0007242606952786446
56,4057,fort,114,-0.00732033234089613
57,574, was,115,0.040014587342739105
58,9405, born,116,0.01272168755531311
59,2212, around,117,-0.0010782990138977766
60,220, ,118,-0.015605821274220943
61,8027,116,119,0.005410870537161827
62,20,5,120,0.005609342362731695
63,323, and,121,0.005178302526473999
64,8636, died,122,0.03624267131090164
65,304, in,123,-0.007572644855827093
66,220, ,124,-0.015092713758349419
67,4364,120,125,0.011006388813257217
68,19,4,126,0.001271439017727971
69,382,".

",127,-0.008593395352363586
70,7184,Now,128,0.01264127902686596
71,11,",",129,-0.005474434234201908
72,1095, let,130,0.03411882370710373
73,596,'s,131,-0.007161885034292936
74,9616, compare,132,0.041009992361068726
75,872, their,133,0.08823668956756592
76,10345, lif,134,0.19742724299430847
77,25632,esp,135,0.22420723736286163
78,598,ans,136,0.021871643140912056
79,512,":
",137,0.07363138347864151
80,86279,Nich,138,0.06105010211467743
81,19736,olas,139,-0.01958189532160759
82,14767, III,140,0.10900265723466873
83,315, of,141,0.12901896238327026
84,14539, Saint,142,0.012302285991609097
85,507, O,143,-0.0107004065066576
86,1195,mer,144,-0.029478924348950386
87,12439, lived,145,0.14554452896118164
88,369, for,146,0.12322916835546494
89,13489, approximately,147,0.06407874822616577
90,220, ,148,0.03587843477725983
91,2618,47,149,0.021538229659199715
92,1667, years,150,0.0413786955177784
93,320, (,151,0.059293586760759354
94,7994,121,152,0.047433555126190186
95,22,7,153,-0.00096915103495121
96,482, -,154,0.004266779404133558
97,220, ,155,-0.004033355042338371
98,8546,117,156,-0.008914735168218613
99,15,0,157,-0.007773550692945719
100,4390,").
",158,0.0016612592153251171
101,49,R,159,-0.010683441534638405
102,455,up,160,-0.018547002226114273
103,268,en,161,0.03776312246918678
104,315, of,162,-0.009625686332583427
105,9995, Mont,163,0.05269579589366913
106,4057,fort,164,-0.021331194788217545
107,12439, lived,165,0.13337337970733643
108,369, for,166,0.10343310236930847
109,13489, approximately,167,0.05005371570587158
110,220, ,168,0.027951236814260483
111,2137,39,169,0.004515917506068945
112,1667, years,170,0.01694483682513237
113,320, (,171,0.054603155702352524
114,4364,120,172,0.013658427633345127
