generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,62,-0.005587839521467686
1,4320, answer,63,-9.635230526328087e-05
2,420, this,64,-0.007215518970042467
3,3488, question,65,-0.011534709483385086
4,11,",",66,-0.014416510239243507
5,584, we,67,0.005694861523807049
6,1205, need,68,-0.0075010028667747974
7,311, to,69,0.01176286768168211
8,1440, know,70,0.03870685398578644
9,279, the,71,0.050883300602436066
10,17051, ages,72,0.10612383484840393
11,315, of,73,0.04517832770943642
12,55600, Bella,74,0.0019316605757921934
13,47669, degli,75,-0.015048695728182793
14,3765, Ab,76,-0.028882162645459175
15,9491,ati,77,-0.024852823466062546
16,323, and,78,-0.005853538401424885
17,26757, Aaron,79,-0.026510970667004585
18,315, of,80,-0.014292086474597454
19,25379, Lincoln,81,-0.00790153443813324
20,520, at,82,0.047759659588336945
21,279, the,83,0.031025901436805725
22,892, time,84,0.04032917320728302
23,315, of,85,0.017786193639039993
24,872, their,86,0.0159411933273077
25,16779, deaths,87,0.021849028766155243
26,382,".

",88,-0.0031173638999462128
27,33,B,89,0.0026396880857646465
28,6985,ella,90,-0.02921532839536667
29,47669, degli,91,0.006358327344059944
30,3765, Ab,92,-0.01691039651632309
31,9491,ati,93,-0.02755667455494404
32,574, was,94,0.045365601778030396
33,459, an,95,0.025373786687850952
34,15155, Italian,96,0.012059669941663742
35,35482, noble,97,0.010018963366746902
36,22803,woman,98,0.0007396736182272434
37,889, who,99,0.03418991342186928
38,12439, lived,100,0.05619041621685028
39,304, in,101,0.07128018885850906
40,279, the,102,-0.0014320611953735352
41,220, ,103,0.008218700997531414
42,1032,13,104,-0.00539358239620924
43,339,th,105,-0.023076744750142097
44,9478, century,106,0.0022891233675181866
45,13,.,107,0.003782893531024456
46,19173, Unfortunately,108,0.011685414239764214
47,11,",",109,-0.006421840749680996
48,358, I,110,0.028619393706321716
49,7846, couldn,111,-0.007764754816889763
50,956,'t,112,-0.009537538513541222
51,1505, find,113,0.019328787922859192
52,904, any,114,0.014870553277432919
53,15062, reliable,115,0.013819932006299496
54,8336, sources,116,0.014054570347070694
55,50096, confirming,117,0.023097150027751923
56,1077, her,118,0.03240388631820679
57,4839, exact,119,0.09417625516653061
58,2457, date,120,0.08455003052949905
59,315, of,121,0.022541198879480362
60,7342, birth,122,0.02155102975666523
61,477, or,123,0.0012996746227145195
62,4648, death,124,0.059358060359954834
63,13,.,125,0.00886855274438858
64,4452, However,126,-0.01944963075220585
