generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,61,-0.014371995814144611
1,4320, answer,62,-0.007450530305504799
2,420, this,63,-0.012312036007642746
3,3488, question,64,-0.015380270779132843
4,11,",",65,-0.02079671621322632
5,584, we,66,-0.012297025881707668
6,1205, need,67,-0.004115910269320011
7,311, to,68,0.004384610336273909
8,1440, know,69,0.011347530409693718
9,279, the,70,0.02111264318227768
10,7342, birth,71,0.05243483930826187
11,13003, dates,72,-0.004290841054171324
12,315, of,73,-0.008413041941821575
13,2225, both,74,-0.013961088843643665
14,64782, Hein,75,-0.009342625737190247
15,14172,rich,76,-0.024891655892133713
16,358, I,77,-0.012799610383808613
17,6675, von,78,-0.011299184523522854
18,800, St,79,0.009187005460262299
19,337,ol,80,0.014231881126761436
20,7881,berg,81,0.00681693572551012
21,323, and,82,-0.0007069329731166363
22,30505, Alice,83,-0.004130214918404818
23,315, of,84,-0.02082608826458454
24,13149, Chat,85,0.0020606364123523235
25,43588,illon,86,-0.004471404943615198
26,382,".

",87,-0.019119061529636383
27,1548,He,88,-0.003836638294160366
28,258,in,89,-0.029571598395705223
29,14172,rich,90,0.0016597104258835316
30,358, I,91,-0.0163734033703804
31,6675, von,92,-0.01383525412529707
32,800, St,93,-0.007360130548477173
33,337,ol,94,-0.030973654240369797
34,7881,berg,95,-0.02838759869337082
35,574, was,96,0.023840852081775665
36,9405, born,97,0.009701719507575035
37,2212, around,98,-0.005419135559350252
38,220, ,99,-0.020141545683145523
39,7743,109,100,0.006067921407520771
40,20,5,101,0.002796535613015294
41,627,".
",102,-0.003327712882310152
42,62786,Alice,103,-0.022768070921301842
43,315, of,104,-0.020112935453653336
44,13149, Chat,105,0.009058735333383083
45,43588,illon,106,0.0002646294888108969
46,574, was,107,0.015420357696712017
47,9405, born,108,-0.0036444361321628094
48,2212, around,109,-0.003118470311164856
49,220, ,110,-0.01769503578543663
50,5037,111,111,0.006094744428992271
51,20,5,112,0.018524935469031334
52,382,".

",113,-0.01327440980821848
53,12834,Since,114,-0.015121259726583958
54,220, ,115,-0.0012016945984214544
55,7743,109,116,-0.02431829273700714
56,20,5,117,-0.02302585169672966
57,374, is,118,-0.003515748307108879
58,6931, earlier,119,0.002116396091878414
59,1109, than,120,0.003603606717661023
60,220, ,121,-0.00647312356159091
61,5037,111,122,-0.0027765100821852684
62,20,5,123,-0.02135949209332466
63,11,",",124,-0.009834116324782372
64,64782, Hein,125,-0.018420610576868057
65,14172,rich,126,-0.04249135032296181
66,358, I,127,-0.016434386372566223
67,6675, von,128,-0.028599271550774574
68,800, St,129,-0.029542330652475357
69,337,ol,130,-0.02458840049803257
70,7881,berg,131,0.011194235645234585
71,574, was,132,0.0046462612226605415
72,9405, born,133,0.008693522773683071
73,6931, earlier,134,0.009361080825328827
74,1109, than,135,0.011036264710128307
75,30505, Alice,136,-0.012629523873329163
76,315, of,137,-0.037925343960523605
77,13149, Chat,138,-0.03338625654578209
78,43588,illon,139,-0.017024967819452286
79,382,".

",140,-0.02732449769973755
80,791,The,141,-0.031086312606930733
81,4320, answer,142,-0.02633216418325901
82,374, is,143,-0.009987810626626015
83,25,:,144,-0.0067817941308021545
84,5782, NO,145,-0.010974999517202377
85,13,.,146,-0.0016421852633357048
86,128009,<|eot_id|>,147,-0.015137549489736557
