generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,8468,Step,54,-0.012433834373950958
1,220, ,55,-0.010143374092876911
2,16,1,56,-0.009404183365404606
3,25,:,57,-0.023440225049853325
4,7531, Find,58,0.02551797404885292
5,704, out,59,0.04639434814453125
6,889, who,60,0.08844926208257675
7,12656, William,61,0.01845283806324005
8,8105, II,62,-0.03203371912240982
9,409, de,63,-0.018051883205771446
10,42931, Cant,64,-0.02410738915205002
11,321,il,65,-0.018727058544754982
12,86577,upe,66,-0.026928558945655823
13,574, was,67,0.002301095984876156
14,627,".
",68,0.036957040429115295
15,8468,Step,69,-0.027123568579554558
16,220, ,70,-0.017120428383350372
17,17,2,71,-0.006079843267798424
18,25,:,72,-0.02636273205280304
19,7531, Find,73,0.04063616320490837
20,704, out,74,0.015822824090719223
21,889, who,75,0.0836123526096344
22,80474, Friedrich,76,-0.017000839114189148
23,39224, Gren,77,-0.017111431807279587
24,574, was,78,-0.0180779080837965
25,627,".
",79,-0.001348236226476729
26,8468,Step,80,-0.01644321344792843
27,220, ,81,0.08640953153371811
28,18,3,82,-0.026596013456583023
29,25,:,83,-0.019639521837234497
30,24702, Compare,84,0.05496827885508537
31,872, their,85,0.10146826505661011
32,10345, lif,86,0.200535848736763
33,25632,esp,87,0.18511249125003815
34,598,ans,88,0.19189579784870148
35,382,".

",89,0.0625176727771759
36,8468,Step,90,-0.000680762343108654
37,220, ,91,-0.011211191304028034
38,16,1,92,-0.020354142412543297
39,25,:,93,-0.02414611726999283
40,12656, William,94,-0.0163285993039608
41,8105, II,95,-0.02441474236547947
42,409, de,96,-0.015592989511787891
43,42931, Cant,97,-0.013420199044048786
44,321,il,98,-0.011653993278741837
45,86577,upe,99,-0.018765296787023544
46,574, was,100,0.011361658573150635
47,459, an,101,-0.0008710762485861778
48,6498, English,102,-0.009963897988200188
49,35482, noble,103,-0.005130099132657051
50,1543,man,104,0.006702953949570656
51,889, who,105,0.021069128066301346
52,12439, lived,106,0.04907479137182236
53,304, in,107,0.04555613547563553
54,279, the,108,-0.0001735081896185875
55,220, ,109,-0.001038939692080021
56,1032,13,110,-0.017584411427378654
57,339,th,111,-0.02059347927570343
58,9478, century,112,0.007109580561518669
59,13,.,113,0.0053876303136348724
60,720," 
",114,0.006615565158426762
61,8468,Step,115,-0.03333194553852081
62,220, ,116,-0.025860557332634926
63,17,2,117,0.029069043695926666
64,25,:,118,-0.03297114372253418
65,80474, Friedrich,119,-0.013228150084614754
66,39224, Gren,120,-0.007706606760621071
67,574, was,121,0.003934708423912525
68,264, a,122,0.00272426288574934
69,6063, German,123,-0.01131110917776823
70,37038, politician,124,-0.0005611043889075518
71,889, who,125,0.027481015771627426
72,12439, lived,126,0.07344032824039459
73,304, in,127,0.04598322510719299
74,279, the,128,0.008519654162228107
75,220, ,129,0.009709456004202366
76,508,20,130,0.0002929519396275282
77,339,th,131,-0.011721964925527573
78,9478, century,132,0.004887714982032776
79,627,".
",133,-0.0020520202815532684
80,8468,Step,134,-0.02435985393822193
81,220, ,135,-0.020792720839381218
82,18,3,136,-0.025350090116262436
83,25,:,137,-0.01256022322922945
84,8876, Since,138,0.03843793272972107
85,12656, William,139,0.03610330820083618
86,8105, II,140,0.024529526010155678
87,409, de,141,0.04094235226511955
88,42931, Cant,142,-0.026268720626831055
89,321,il,143,0.051211532205343246
90,86577,upe,144,0.01460411585867405
91,12439, lived,145,0.05807170271873474
92,304, in,146,0.057598814368247986
93,279, the,147,0.007878758013248444
94,220, ,148,-0.0023483901750296354
95,1032,13,149,-0.016370471566915512
96,339,th,150,-0.02623698115348816
97,9478, century,151,0.005269021727144718
98,323, and,152,0.03028136119246483
99,80474, Friedrich,153,0.07829700410366058
100,39224, Gren,154,0.004577327985316515
101,12439, lived,155,0.04376421868801117
102,304, in,156,0.029254114255309105
103,279, the,157,0.004454584792256355
104,220, ,158,0.03341963142156601
105,508,20,159,0.06513644009828568
106,339,th,160,-0.019193438813090324
107,9478, century,161,0.006089773029088974
108,11,",",162,-0.0014003547839820385
109,433, it,163,0.027973266318440437
110,374, is,164,0.014499995857477188
111,2867, clear,165,0.013250808231532574
112,430, that,166,0.0024316166527569294
113,12656, William,167,0.025821421295404434
114,8105, II,168,0.05094127729535103
115,409, de,169,0.04854714870452881
116,42931, Cant,170,-0.01639711856842041
117,321,il,171,-0.014683254994452
118,86577,upe,172,-0.007136799860745668
119,8636, died,173,0.09336381405591965
120,1603, before,174,0.013368581421673298
121,80474, Friedrich,175,0.010801171883940697
122,39224, Gren,176,0.025472968816757202
123,574, was,177,0.051885511726140976
124,9405, born,178,0.03198104724287987
125,382,".

",179,0.001787734217941761
126,791,The,180,-0.022463016211986542
127,1620, final,181,0.0028054234571754932
128,4320, answer,182,-0.011474384926259518
129,374, is,183,-0.005963027942925692
130,25,:,184,-0.0055590164847671986
131,59060, $\,185,-0.013342932797968388
132,80175,boxed,186,-0.0060455468483269215
133,90,{,187,0.008148979395627975
134,9173,NO,188,0.00968354381620884
135,32816,}$,189,0.005372588522732258
136,128009,<|eot_id|>,190,-0.011045551858842373
