generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,54,-0.008455801755189896
1,4320, answer,55,-0.009632840752601624
2,420, this,56,-0.007963872514665127
3,3488, question,57,-0.007826919667422771
4,11,",",58,-0.021979400888085365
5,584, we,59,-0.0020035505294799805
6,1205, need,60,-0.0088074104860425
7,311, to,61,0.011225666850805283
8,1440, know,62,0.040292128920555115
9,279, the,63,0.0603916235268116
10,7342, birth,64,0.11663363128900528
11,323, and,65,-0.0012500006705522537
12,4648, death,66,0.04931626468896866
13,13003, dates,67,0.008127935230731964
14,315, of,68,-0.001525813597254455
15,2225, both,69,-0.010911177843809128
16,362, A,70,0.002778941299766302
17,425,age,71,-0.034597139805555344
18,622, J,72,-0.0029973238706588745
19,2439,ons,73,-0.017961682751774788
20,268,en,74,-0.010101919993758202
21,323, and,75,-0.014120505191385746
22,106213, 심,76,-0.019955473020672798
23,102735,�,77,-0.029910631477832794
24,254,�,78,-0.01558365672826767
25,320, (,79,-0.01894642971456051
26,19171,also,80,-0.02046426385641098
27,3967, known,81,0.0027879951521754265
28,439, as,82,-0.02915915846824646
29,4567, Sim,83,-0.01198507659137249
30,14834, Hun,84,0.0016883560456335545
31,3677,").

",85,0.008770301938056946
32,8468,Step,86,0.004269549623131752
33,220, ,87,-0.012482093647122383
34,16,1,88,0.13980883359909058
35,25,:,89,-0.023161590099334717
36,7531, Find,90,0.004901569336652756
37,279, the,91,0.012900346890091896
38,7342, birth,92,0.06515630334615707
39,323, and,93,-0.0008758628973737359
40,4648, death,94,0.03338922560214996
41,13003, dates,95,-0.0007642130367457867
42,315, of,96,-0.011148183606564999
43,362, A,97,-0.013265926390886307
44,425,age,98,0.046944450587034225
45,622, J,99,-0.025602150708436966
46,2439,ons,100,-0.02755378559231758
47,268,en,101,-0.018913809210062027
48,627,".
",102,-0.016952961683273315
49,32,A,103,-0.007866334170103073
50,425,age,104,-0.028698310256004333
51,622, J,105,0.016830123960971832
52,2439,ons,106,0.0033035429660230875
53,268,en,107,-0.00824015587568283
54,574, was,108,0.030609242618083954
55,264, a,109,0.02569991908967495
56,44780, Danish,110,0.008196653798222542
57,9141, football,111,0.007433846592903137
58,261,er,112,-0.012397167272865772
59,11,",",113,0.026673758402466774
60,323, and,114,0.004594430327415466
61,4184, according,115,0.019760634750127792
62,311, to,116,-0.03782379627227783
63,856, my,117,-0.0025200406089425087
64,6677, knowledge,118,-0.013262690044939518
65,11,",",119,0.0013492032885551453
66,568, he,120,0.01260313205420971
67,574, was,121,0.04958772659301758
68,9405, born,122,0.03255174681544304
69,389, on,123,-0.002607581438496709
70,3297, May,124,-0.005508480593562126
71,220, ,125,-0.024296695366501808
72,972,18,126,-0.004569614306092262
73,11,",",127,-0.011682971380650997
74,220, ,128,-0.02461741305887699
75,7285,193,129,-0.0013920665951445699
76,16,1,130,-0.0019400042947381735
77,11,",",131,0.019831251353025436
78,323, and,132,0.022745788097381592
79,8636, died,133,0.035081543028354645
80,389, on,134,0.004821876995265484
81,5887, July,135,0.0003037513233721256
82,220, ,136,-0.02952701412141323
