generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,10267,Let,63,-0.01636127196252346
1,596,'s,64,0.0010236870730295777
2,1464, break,65,0.0053485725075006485
3,433, it,66,-0.00653606653213501
4,1523, down,67,0.0035569211468100548
5,1473,":

",68,-0.0161345973610878
6,16,1,69,-0.016213906928896904
7,13,.,70,-0.016993356868624687
8,1226, We,71,0.026601141318678856
9,1205, need,72,0.005818776786327362
10,311, to,73,0.012080681510269642
11,8417, determine,74,0.02428603172302246
12,279, the,75,0.11921915411949158
13,10687, locations,76,0.13338881731033325
14,315, of,77,0.03170536458492279
15,622, J,78,0.0007454082369804382
16,12228,HS,79,0.008553257212042809
17,220, ,80,-0.00101410411298275
18,4513,123,81,0.002793119754642248
19,622, J,82,0.005321500822901726
20,15981,AMES,83,0.020067553967237473
21,386, M,84,0.017994366586208344
22,735, K,85,-0.00024545483756810427
23,16688,IER,86,0.18491299450397491
24,1111,AN,87,0.03163595497608185
25,323, and,88,0.0037841687444597483
26,75221, TIFF,89,0.01483383309096098
27,17742,ANY,90,0.017382759600877762
28,43088, PLAY,91,0.013926640152931213
29,32787,GROUND,92,0.013359257951378822
30,304, in,93,0.0017706401413306594
31,279, the,94,0.044085271656513214
32,66236, Bronx,95,0.03598518669605255
33,627,".
",96,0.005707372911274433
34,17,2,97,-0.003594493493437767
35,13,.,98,-0.006615428254008293
36,2057, To,99,0.024734016507864
37,656, do,100,0.055423539131879807
38,420, this,101,-0.0007178392261266708
39,11,",",102,-0.01477706991136074
40,584, we,103,0.003156531834974885
41,649, can,104,-0.008288650773465633
42,1427, look,105,0.009045894257724285
43,709, up,106,0.00974959135055542
44,872, their,107,0.03654884546995163
45,14564, addresses,108,0.06059812381863594
46,477, or,109,0.01022966019809246
47,54001, geographical,110,0.06513482332229614
48,14259, coordinates,111,0.06059814989566803
49,627,".
",112,0.02102745696902275
50,18,3,113,-0.011425928212702274
51,13,.,114,-0.022017236799001694
52,9843, Once,115,0.02254871279001236
53,584, we,116,0.006267943419516087
54,617, have,117,-0.00563447130843997
55,420, this,118,0.010173451155424118
56,2038, information,119,0.008602706715464592
57,11,",",120,-0.009297885932028294
58,584, we,121,0.020027615129947662
59,649, can,122,0.02765871025621891
60,9616, compare,123,0.0578252412378788
61,872, their,124,0.08061020076274872
62,10687, locations,125,0.14939071238040924
63,311, to,126,0.11038472503423691
64,8417, determine,127,0.04996743053197861
65,902, which,128,0.10839329659938812
66,832, one,129,0.17232908308506012
67,374, is,130,0.19787228107452393
68,10007, south,131,0.3202269971370697
69,315, of,132,0.13933509588241577
70,279, the,133,0.06434015929698944
71,1023, other,134,0.055133603513240814
72,382,".

",135,0.05029749870300293
73,6153,After,136,-0.01356731727719307
74,45243, researching,137,-0.007973971776664257
75,11,",",138,-0.006955414079129696
76,358, I,139,-0.023656019940972328
77,1766, found,140,-0.02314642444252968
78,430, that,141,-0.014962642453610897
79,512,":
",142,-0.004671687260270119
80,12,-,143,-0.014837018214166164
81,622, J,144,0.0095664756372571
82,12228,HS,145,0.0039076777175068855
83,220, ,146,-0.004934581462293863
84,4513,123,147,0.012257114052772522
85,622, J,148,-0.008565586060285568
86,15981,AMES,149,0.004824395291507244
87,386, M,150,0.008317933417856693
88,735, K,151,0.008128702640533447
89,16688,IER,152,-0.002189172897487879
90,1111,AN,153,-0.010565631091594696
91,374, is,154,0.0004646056331694126
92,7559, located,155,0.07205236703157425
93,520, at,156,0.08614587783813477
94,220, ,157,0.04858546331524849
95,4278,102,158,0.013633262366056442
