generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,56,-0.01166977547109127
1,4320, answer,57,-0.010034848004579544
2,420, this,58,-0.014119327068328857
3,3488, question,59,-0.01035651657730341
4,11,",",60,-0.02558080106973648
5,584, we,61,-0.008059618063271046
6,1205, need,62,-0.005316050257533789
7,311, to,63,0.005157732870429754
8,1440, know,64,0.03580745682120323
9,279, the,65,0.06742317974567413
10,10345, lif,66,0.1280357986688614
11,25632,esp,67,0.17517562210559845
12,598,ans,68,-0.0006114109419286251
13,315, of,69,0.06440352648496628
14,2225, both,70,-0.00368844298645854
15,71245, Abbas,71,0.005207339767366648
16,8105, II,72,-0.01523134671151638
17,315, of,73,-0.005099089816212654
18,21097, Pers,74,-0.016795018687844276
19,689,ia,75,0.008272194303572178
20,323, and,76,0.0014641452580690384
21,9085, �,77,-0.014824926853179932
22,243,�,78,-0.01819850690662861
23,255,�,79,-0.020283512771129608
24,118219,討,80,-0.03282424062490463
25,102491,古,81,-0.027521420270204544
26,320, (,82,-0.012870795093476772
27,55,X,83,-0.012475531548261642
28,23332,iao,84,-0.0012126141227781773
29,423, D,85,-0.010662608779966831
30,30885,ugu,86,0.008696140721440315
31,3677,").

",87,-0.0011009713634848595
32,16,1,88,0.0027461061254143715
33,13,.,89,-0.025777364149689674
34,3146, **,90,0.03401484340429306
35,5953,Ab,91,0.03460729122161865
36,18275,bas,92,-0.008305579423904419
37,8105, II,93,-0.00871181208640337
38,315, of,94,0.008188546635210514
39,21097, Pers,95,-0.0009566600201651454
40,689,ia,96,-0.006745469756424427
41,96618,**:,97,0.044651538133621216
42,71245, Abbas,98,0.015796855092048645
43,8105, II,99,0.00019571767188608646
44,574, was,100,0.023978084325790405
45,264, a,101,0.019685233011841774
46,12867, Saf,102,0.008853252045810223
47,15567,avid,103,0.008098078891634941
48,11734, king,104,0.009402872063219547
49,315, of,105,0.007452468853443861
50,10471, Iran,106,0.00795702263712883
51,889, who,107,0.020459886640310287
52,21989, ruled,108,0.07704415917396545
53,505, from,109,0.024065973237156868
54,220, ,110,-0.007788544520735741
55,10513,164,111,0.014345147646963596
56,17,2,112,-0.001167053123936057
57,311, to,113,0.009851056151092052
58,220, ,114,0.0028278615791350603
59,11247,166,115,0.015198461711406708
60,21,6,116,0.017120342701673508
61,13,.,117,0.0137243727222085
62,1283, He,118,0.020299484953284264
63,574, was,119,0.023879293352365494
64,9405, born,120,0.004184165969491005
65,304, in,121,-0.01910112425684929
66,220, ,122,-0.013531879521906376
67,9892,163,123,-0.0006529756356030703
68,18,3,124,0.009349167346954346
69,323, and,125,0.012748133391141891
70,8636, died,126,0.03888433799147606
71,304, in,127,0.006944519001990557
72,220, ,128,0.006260688416659832
73,11247,166,129,0.013911711052060127
74,21,6,130,0.014047238975763321
75,520, at,131,0.019553134217858315
76,279, the,132,0.03439630568027496
77,4325, age,133,0.046343524008989334
78,315, of,134,-0.03443685546517372
79,220, ,135,0.017648424953222275
80,1644,33,136,0.0015340528916567564
