generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,67,-0.017850395292043686
1,8417, determine,68,0.0282954890280962
2,422, if,69,0.08436121046543121
3,69359, BEL,70,0.03360072523355484
4,51,T,71,0.01712428592145443
5,6570, SH,72,0.02836349606513977
6,6005,ORE,73,0.016447821632027626
7,25864, PK,74,0.02465319260954857
8,54,W,75,0.04233304411172867
9,19333, BR,76,0.05614685267210007
10,75402, OV,77,0.046283625066280365
11,507, O,78,0.035081084817647934
12,2152,CE,79,0.02086237072944641
13,1111,AN,80,0.027576621621847153
14,25864, PK,81,0.022943921387195587
15,54,W,82,0.0441364161670208
16,56,Y,83,0.0267841424793005
17,11,",",84,0.04486207664012909
18,26832, Brooklyn,85,0.03150689974427223
19,374, is,86,0.051406774669885635
20,10007, south,87,0.17742304503917694
21,315, of,88,0.12083745747804642
22,426, B,89,0.025889473035931587
23,3097,AY,90,0.020794032141566277
24,88569, FAMILY,91,0.0075810691341757774
25,67092, CENTER,92,0.018307916820049286
26,11,",",93,0.008428312838077545
27,26832, Brooklyn,94,0.07106438279151917
28,11,",",95,0.008622901514172554
29,584, we,96,0.008263611234724522
30,1205, need,97,0.00536212045699358
31,311, to,98,0.006011290475726128
32,5813, establish,99,0.04070078954100609
33,872, their,100,0.1140865832567215
34,10687, locations,101,0.11253789067268372
35,323, and,102,0.044594213366508484
36,9616, compare,103,0.09850431233644485
37,1124, them,104,0.10377755761146545
38,382,".

",105,0.05629868060350418
39,16,1,106,0.0050766137428581715
40,13,.,107,-0.014676561579108238
41,3146, **,108,0.03657722845673561
42,29401,Ident,109,0.04520140215754509
43,1463,ify,110,0.002202433068305254
44,42569, Locations,111,0.05607586354017258
45,96618,**:,112,0.013671179302036762
46,720," 
",113,0.01412747148424387
47,256,  ,114,-0.007301792502403259
48,482, -,115,0.005605113226920366
49,69359, BEL,116,0.024681158363819122
50,51,T,117,0.008632785640656948
51,6570, SH,118,0.012803355231881142
52,6005,ORE,119,0.0029170196503400803
53,25864, PK,120,0.01454435009509325
54,54,W,121,0.02471630647778511
55,19333, BR,122,0.03042703866958618
56,75402, OV,123,0.030123837292194366
57,507, O,124,0.026423528790473938
58,2152,CE,125,-0.017148397862911224
59,1111,AN,126,-0.0009231290314346552
60,25864, PK,127,0.024395639076828957
61,54,W,128,0.08527618646621704
62,56,Y,129,0.02592775598168373
63,374, is,130,0.0234017763286829
64,264, a,131,0.07739052176475525
65,14497, bridge,132,0.05514482408761978
66,927, over,133,0.06604818999767303
67,22302, Ocean,134,0.034660760313272476
68,68253, Parkway,135,0.03063502348959446
69,304, in,136,0.05850546807050705
70,26832, Brooklyn,137,0.04159234091639519
71,13,.,138,0.021614737808704376
72,22302, Ocean,139,0.05450795218348503
73,68253, Parkway,140,0.04775041341781616
74,374, is,141,0.11073622852563858
75,264, a,142,0.17631955444812775
76,3682, major,143,0.095854252576828
77,8761, street,144,0.08345919847488403
78,430, that,145,0.11434366554021835
79,8640, runs,146,0.1626669466495514
80,10411, north,147,0.2149723321199417
81,1355,-s,148,0.1696511059999466
82,2969,outh,149,0.15283846855163574
83,304, in,150,0.10451781749725342
84,26832, Brooklyn,151,0.07165072113275528
85,11,",",152,0.028517335653305054
86,323, and,153,0.09571696817874908
87,40073, bridges,154,0.04339701309800148
88,927, over,155,0.04306488484144211
89,433, it,156,0.024610714986920357
90,527, are,157,0.03129742667078972
91,961, part,158,0.05167235806584358
92,315, of,159,0.002859021071344614
93,279, the,160,0.05093475803732872
94,33993, Belt,161,0.03235476464033127
95,68253, Parkway,162,0.02165406569838524
96,1887, system,163,0.05423075705766678
97,11,",",164,0.045541033148765564
98,902, which,165,0.07393350452184677
99,3289, enc,166,0.08098779618740082
100,75363,ircles,167,0.05518319457769394
101,26832, Brooklyn,168,0.04192374646663666
102,13,.,169,0.03532005846500397
103,1115, This,170,0.0430627316236496
104,13533, suggests,171,0.03399002179503441
105,430, that,172,0.06335194408893585
106,279, the,173,0.028490524739027023
107,14497, bridge,174,0.048874083906412125
108,374, is,175,0.034754399210214615
109,7559, located,176,0.15155887603759766
110,304, in,177,0.17283718287944794
111,279, the,178,0.14192186295986176
112,18561, southern,179,0.15449923276901245
113,961, part,180,0.08125784248113632
114,315, of,181,0.04098021239042282
115,26832, Brooklyn,182,0.04881113022565842
116,627,".
",183,0.029994744807481766
117,256,  ,184,0.016661543399095535
118,482, -,185,-0.005125201307237148
119,426, B,186,0.01216525211930275
120,3097,AY,187,0.0323556624352932
121,88569, FAMILY,188,-0.0021935878321528435
122,67092, CENTER,189,0.007934088818728924
123,11,",",190,0.013980807736515999
124,26832, Brooklyn,191,0.02052175998687744
125,11,",",192,0.028067756444215775
126,3250, doesn,193,0.036386407911777496
127,956,'t,194,0.023866768926382065
128,3493, provide,195,0.018152965232729912
129,459, an,196,0.03268291428685188
130,14247, immediate,197,0.036219801753759384
131,54001, geographical,198,0.041937582194805145
132,3813, location,199,0.051072292029857635
133,2085, without,200,0.0089946910738945
134,4726, further,201,0.012827804312109947
135,2317, context,202,0.015385402366518974
136,13,.,203,0.0070541538298130035
137,4452, However,204,0.009564376436173916
138,11,",",205,0.012699790298938751
139,13126, considering,206,0.028527192771434784
140,4279, common,207,0.01828044280409813
141,36048, naming,208,0.030816931277513504
142,45593, conventions,209,0.023855678737163544
143,11,",",210,0.016050007194280624
144,433, it,211,0.02166951820254326
145,1436, could,212,0.03308449313044548
146,387, be,213,0.0669003278017044
147,5938, associated,214,0.08898650109767914
148,449, with,215,0.05234307423233986
149,264, a,216,0.036217100918293
150,6246, park,217,0.07131952047348022
151,477, or,218,0.039854735136032104
152,37100, recreational,219,0.03857669606804848
153,3158, area,220,0.02283080667257309
154,11,",",221,0.07454801350831985
155,11000, possibly,222,0.022661332041025162
156,3221, near,223,0.091040700674057
157,264, a,224,0.0512356162071228
158,23542, bay,225,0.06835038959980011
159,382,".

",226,0.042976126074790955
160,17,2,227,0.00388403981924057
161,13,.,228,-0.002552381018176675
162,3146, **,229,0.04259626194834709
163,9688,Ge,230,0.07371428608894348
164,32277,ographical,231,0.07055962085723877
165,9805, Context,232,0.07644738256931305
166,334,**,233,0.031672291457653046
167,512,":
",234,0.016769949346780777
168,256,  ,235,0.013469554483890533
169,482, -,236,0.030674777925014496
170,26832, Brooklyn,237,0.0881492868065834
171,596,'s,238,0.09665323048830032
172,54242, geography,239,0.1408809870481491
173,5764, includes,240,0.09415382146835327
174,3892, several,241,0.09858947992324829
175,293, b,242,0.08597589284181595
176,954,ays,243,0.05456468462944031
177,323, and,244,0.1376565843820572
178,70027, waterfront,245,0.07220035046339035
179,5789, areas,246,0.04977351427078247
180,11,",",247,0.1985657513141632
181,449, with,248,0.09936180710792542
182,279, the,249,0.0995042473077774
183,18561, southern,250,0.12097170948982239
184,961, part,251,0.07382728159427643
185,315, of,252,0.06313265115022659
186,279, the,253,0.04070122539997101
187,66841, borough,254,0.05357907712459564
188,1694, being,255,0.08088158816099167
189,12401, closer,256,0.10349324345588684
190,311, to,257,0.06283828616142273
191,279, the,258,0.04868048429489136
192,23179, Atlantic,259,0.06582584977149963
193,22302, Ocean,260,0.06599009782075882
194,323, and,261,0.06951268017292023
195,3515, having,262,0.07597357779741287
196,810, more,263,0.0595451220870018
197,2167, direct,264,0.09095203876495361
198,2680, access,265,0.12166371941566467
199,311, to,266,0.07323256134986877
200,293, b,267,0.07407105714082718
201,954,ays,268,0.05706601217389107
202,323, and,269,0.08754881471395493
203,35909, beaches,270,0.05604703351855278
204,627,".
",271,0.07089389860630035
205,256,  ,272,0.010099043138325214
206,482, -,273,-0.00016628013690933585
207,578, The,274,0.06307966262102127
208,33993, Belt,275,0.08170071244239807
209,68253, Parkway,276,0.017965082079172134
210,11,",",277,0.0682918131351471
211,902, which,278,0.03884030878543854
212,5764, includes,279,0.0312981903553009
213,40073, bridges,280,0.033216360956430435
214,1093, like,281,0.04507114365696907
215,69359, BEL,282,0.039133068174123764
216,51,T,283,0.015612408518791199
217,6570, SH,284,0.016615169122815132
218,6005,ORE,285,0.13894136250019073
219,25864, PK,286,0.0292800460010767
220,54,W,287,0.10103021562099457
221,19333, BR,288,0.023267019540071487
222,75402, OV,289,0.021741997450590134
223,507, O,290,0.03114175610244274
224,2152,CE,291,0.19393514096736908
225,1111,AN,292,0.018792111426591873
226,25864, PK,293,0.030675850808620453
227,54,W,294,0.003110907506197691
228,56,Y,295,0.038017574697732925
229,11,",",296,0.011817336082458496
230,8640, runs,297,0.0825914815068245
231,3235, along,298,0.15284015238285065
232,279, the,299,0.08588957786560059
233,18561, southern,300,0.11264503002166748
234,6964, edge,301,0.05825042724609375
235,315, of,302,0.04190584272146225
236,26832, Brooklyn,303,0.02315525710582733
237,11,",",304,0.02854614518582821
238,3345, close,305,0.07624225318431854
239,311, to,306,0.0367552675306797
240,279, the,307,0.032210275530815125
241,18435, ocean,308,0.049517855048179626
242,323, and,309,0.07200414687395096
243,293, b,310,0.05803145095705986
244,954,ays,311,0.047188468277454376
245,382,".

",312,0.08250458538532257
246,18,3,313,-0.0007698549889028072
247,13,.,314,0.0005843604449182749
248,3146, **,315,0.013563853688538074
249,34587,Comparison,316,0.08332112431526184
250,334,**,317,0.03563512861728668
