generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,8468,Step,69,0.0289045050740242
1,220, ,70,0.028747817501425743
2,16,1,71,0.04943598061800003
3,25,:,72,0.04012943059206009
4,7531, Find,73,0.05936943739652634
5,704, out,74,0.09587421268224716
6,279, the,75,0.055767450481653214
7,4839, exact,76,0.057218924164772034
8,10687, locations,77,0.09509162604808807
9,315, of,78,0.40308111906051636
10,9440, SP,79,0.088188536465168
11,643,ER,80,0.06793943047523499
12,1111,AN,81,0.009213026612997055
13,1170,DE,82,0.04591444879770279
14,46,O,83,0.03766080364584923
15,426, B,84,0.06066266447305679
16,60318,ROT,85,0.0863003209233284
17,3087,HER,86,-0.0005115391686558723
18,50,S,87,0.023159068077802658
19,43088, PLAY,88,0.04452492296695709
20,32787,GROUND,89,0.024893930181860924
21,323, and,90,0.056610334664583206
22,31371, LIB,91,0.0873488113284111
23,3481,ERT,92,0.07760950177907944
24,56,Y,93,0.05592381954193115
25,12431, AV,94,0.04831637069582939
26,965,EN,95,0.062036968767642975
27,2279,UE,96,0.047317638993263245
28,386, M,97,0.04186074435710907
29,49275,IDDLE,98,0.06469179689884186
30,71501, SCHOOL,99,0.03434666991233826
31,304, in,100,0.0755513608455658
32,26832, Brooklyn,101,0.07897830009460449
33,627,".
",102,0.09035424143075943
34,8468,Step,103,0.061429403722286224
35,220, ,104,0.03617742285132408
36,17,2,105,0.008991306647658348
37,25,:,106,0.04850587248802185
38,31001, Determine,107,0.08069722354412079
39,279, the,108,0.0981537401676178
40,5216, direction,109,0.0714612603187561
41,505, from,110,0.17125478386878967
42,31371, LIB,111,0.09608031809329987
43,3481,ERT,112,0.08641046285629272
44,56,Y,113,0.033295031636953354
45,12431, AV,114,0.08259022980928421
46,965,EN,115,0.0310178454965353
47,2279,UE,116,0.04542405903339386
48,386, M,117,0.04901326447725296
49,49275,IDDLE,118,0.030398262664675713
50,71501, SCHOOL,119,0.018909437581896782
51,311, to,120,0.06132137030363083
52,9440, SP,121,0.07394511252641678
53,643,ER,122,0.06980814039707184
54,1111,AN,123,0.07319964468479156
55,1170,DE,124,0.04123642295598984
56,46,O,125,0.050963159650564194
57,426, B,126,0.05963149666786194
58,60318,ROT,127,-0.007481712847948074
59,3087,HER,128,-0.003385680727660656
60,50,S,129,0.045508839190006256
61,43088, PLAY,130,0.03327434882521629
62,32787,GROUND,131,0.09438127279281616
63,627,".
",132,0.07780590653419495
64,8468,Step,133,0.04116341844201088
65,220, ,134,0.014109943062067032
66,18,3,135,-0.0036870611365884542
67,25,:,136,0.04074200615286827
68,31001, Determine,137,0.06579878181219101
69,422, if,138,0.06843892484903336
70,10007, south,139,0.03863087296485901
71,374, is,140,0.04725208505988121
72,279, the,141,0.020695438608527184
73,4495, correct,142,0.034495193511247635
74,5216, direction,143,0.07355263084173203
75,505, from,144,0.14812858402729034
76,31371, LIB,145,0.0842607393860817
77,3481,ERT,146,0.07032430917024612
78,56,Y,147,0.055726684629917145
79,12431, AV,148,0.08045583963394165
80,965,EN,149,0.052326180040836334
81,2279,UE,150,0.09195705503225327
82,386, M,151,0.06657558679580688
83,49275,IDDLE,152,0.049726955592632294
84,71501, SCHOOL,153,0.07779185473918915
85,311, to,154,0.07540480047464371
86,9440, SP,155,0.07610735297203064
87,643,ER,156,0.060836028307676315
88,1111,AN,157,0.023080645129084587
89,1170,DE,158,0.0027560493908822536
90,46,O,159,0.02748667076230049
91,426, B,160,0.051946692168712616
92,60318,ROT,161,0.013338698074221611
93,3087,HER,162,-0.017739374190568924
94,50,S,163,0.057409774512052536
95,43088, PLAY,164,0.03798234462738037
96,32787,GROUND,165,0.042477332055568695
97,2055,".



",166,0.0480244942009449
98,567,##,167,0.019023839384317398
99,15166, Step,168,0.029745951294898987
100,220, ,169,0.02175881713628769
101,16,1,170,0.05264563113451004
102,25,:,171,0.030841410160064697
103,7531, Find,172,0.060710616409778595
104,704, out,173,0.08508819341659546
105,279, the,174,0.06893197447061539
106,4839, exact,175,0.0956794023513794
107,10687, locations,176,0.11985057592391968
108,315, of,177,0.3596685528755188
109,9440, SP,178,0.09252233803272247
110,643,ER,179,0.049857400357723236
111,1111,AN,180,0.030109558254480362
112,1170,DE,181,0.0475696362555027
113,46,O,182,0.07665691524744034
114,426, B,183,0.05819263681769371
115,60318,ROT,184,-0.0028894462157040834
116,3087,HER,185,0.038539208471775055
117,50,S,186,0.04171905666589737
118,43088, PLAY,187,0.037327345460653305
119,32787,GROUND,188,0.06741989403963089
120,323, and,189,0.03968330845236778
121,31371, LIB,190,0.08472061157226562
122,3481,ERT,191,0.06664831936359406
123,56,Y,192,0.060673605650663376
124,12431, AV,193,0.08547377586364746
125,965,EN,194,0.015245495364069939
126,2279,UE,195,0.053214650601148605
127,386, M,196,0.052524302154779434
128,49275,IDDLE,197,0.0407869927585125
129,71501, SCHOOL,198,0.023802943527698517
130,304, in,199,0.04448030889034271
131,26832, Brooklyn,200,0.08181612193584442
132,627,".
",201,0.03697534650564194
133,1271,To,202,0.04262737184762955
134,8417, determine,203,0.05626247823238373
135,279, the,204,0.07133366912603378
136,4839, exact,205,0.058134160935878754
137,10687, locations,206,0.07522975653409958
138,11,",",207,0.3520045280456543
139,584, we,208,0.06306671351194382
140,1205, need,209,0.046678829938173294
141,311, to,210,0.07004270702600479
142,1505, find,211,0.08729800581932068
143,279, the,212,0.10938005149364471
144,14564, addresses,213,0.10457716882228851
145,477, or,214,0.15466254949569702
146,46139, geographic,215,0.10393257439136505
147,14259, coordinates,216,0.1825370192527771
148,315, of,217,0.16439184546470642
149,2225, both,218,0.08620372414588928
150,9440, SP,219,0.06458262354135513
151,643,ER,220,0.0612531341612339
152,1111,AN,221,0.0458158478140831
153,1170,DE,222,0.08749408274888992
154,46,O,223,0.06373608857393265
155,426, B,224,0.0628671944141388
156,60318,ROT,225,0.028673233464360237
157,3087,HER,226,0.06441813707351685
158,50,S,227,0.08089601248502731
159,43088, PLAY,228,0.0364500992000103
160,32787,GROUND,229,0.03842976689338684
161,323, and,230,0.05072638764977455
162,31371, LIB,231,0.0831979364156723
163,3481,ERT,232,0.08380485326051712
164,56,Y,233,0.014077565632760525
165,12431, AV,234,0.07030828297138214
166,965,EN,235,0.025328708812594414
167,2279,UE,236,0.04693806543946266
168,386, M,237,0.05438314378261566
169,49275,IDDLE,238,0.028400005772709846
170,71501, SCHOOL,239,0.024822456762194633
171,13,.,240,0.04926901310682297
172,1115, This,241,0.040653105825185776
173,3094, step,242,0.03536997735500336
174,18065, involves,243,0.020880941301584244
175,3411, looking,244,0.06196848675608635
176,709, up,245,0.08342266827821732
177,279, the,246,0.07057294249534607
178,14564, addresses,247,0.09417963773012161
179,477, or,248,0.13467606902122498
180,14259, coordinates,249,0.08846976608037949
181,389, on,250,0.13495048880577087
182,264, a,251,0.05410238355398178
183,2472, map,252,0.040827564895153046
184,477, or,253,0.0829724594950676
185,1555, through,254,0.031205885112285614
186,264, a,255,0.029464885592460632
187,46139, geographic,256,0.018279246985912323
188,2038, information,257,0.13475152850151062
189,1887, system,258,0.0809621661901474
190,382,".

",259,0.06946615129709244
191,567,##,260,0.030482027679681778
192,15166, Step,261,0.02254990115761757
193,220, ,262,0.09138268977403641
194,17,2,263,0.057336729019880295
195,25,:,264,0.030316848307847977
196,31001, Determine,265,0.05494242534041405
197,279, the,266,0.09968074411153793
198,5216, direction,267,0.09628330171108246
199,505, from,268,0.17636525630950928
200,31371, LIB,269,0.08157743513584137
201,3481,ERT,270,0.06976894289255142
202,56,Y,271,0.009193457663059235
203,12431, AV,272,0.08976352959871292
204,965,EN,273,0.026864612475037575
205,2279,UE,274,0.04360823333263397
206,386, M,275,0.059594638645648956
207,49275,IDDLE,276,0.043705057352781296
208,71501, SCHOOL,277,0.028680061921477318
209,311, to,278,0.0750541165471077
210,9440, SP,279,0.09417244046926498
211,643,ER,280,0.06413393467664719
212,1111,AN,281,0.05477651581168175
213,1170,DE,282,0.0634477436542511
214,46,O,283,0.03890642523765564
215,426, B,284,0.052404992282390594
216,60318,ROT,285,-0.004249888937920332
217,3087,HER,286,-0.0027066092006862164
218,50,S,287,0.05400668457150459
219,43088, PLAY,288,0.03551223501563072
220,32787,GROUND,289,0.04573814198374748
221,627,".
",290,0.031322237104177475
222,12805,Once,291,0.06089773029088974
223,584, we,292,0.06451199948787689
224,617, have,293,0.080560602247715
225,279, the,294,0.08430248498916626
226,10687, locations,295,0.10779938846826553
227,11,",",296,0.39187145233154297
228,584, we,297,0.070749431848526
229,649, can,298,0.06652796268463135
230,1005, use,299,0.07191342115402222
231,264, a,300,0.05832688510417938
232,13021, mapping,301,0.04418649896979332
233,5507, tool,302,0.10063434392213821
234,477, or,303,0.050773680210113525
235,24653, compass,304,0.027215488255023956
236,18445, directions,305,0.02208823896944523
237,311, to,306,0.11192017793655396
238,8417, determine,307,0.07059367746114731
239,279, the,308,0.05226480960845947
240,5216, direction,309,0.06398832052946091
241,505, from,310,0.12648336589336395
242,31371, LIB,311,0.08125948160886765
243,3481,ERT,312,0.07460496574640274
244,56,Y,313,0.08100950717926025
245,12431, AV,314,0.07889878749847412
246,965,EN,315,0.01612856239080429
247,2279,UE,316,0.050210122019052505
248,386, M,317,0.051512546837329865
249,49275,IDDLE,318,0.03664906322956085
250,71501, SCHOOL,319,0.06482403725385666
251,311, to,320,0.05734036862850189
252,9440, SP,321,0.0808304026722908
253,643,ER,322,0.03848825767636299
254,1111,AN,323,0.06135428324341774
255,1170,DE,324,-0.002645644126459956
256,46,O,325,0.029183432459831238
257,426, B,326,0.06401368230581284
258,60318,ROT,327,0.009063622914254665
259,3087,HER,328,0.015816235914826393
260,50,S,329,0.0325891450047493
261,43088, PLAY,330,0.03997005522251129
262,32787,GROUND,331,0.04944189265370369
263,13,.,332,0.07339762151241302
264,1115, This,333,0.050279051065444946
265,690, will,334,0.0450218990445137
266,3371, tell,335,0.042221784591674805
267,603, us,336,0.03574025630950928
268,422, if,337,0.03289097547531128
269,832, one,338,0.026665523648262024
270,3813, location,339,0.06650247424840927
271,374, is,340,0.30034583806991577
272,10411, north,341,0.05983680859208107
273,11,",",342,0.053655680269002914
274,10007, south,343,0.039723265916109085
275,11,",",344,0.039682816714048386
276,11226, east,345,0.044753871858119965
277,11,",",346,0.04383081570267677
278,477, or,347,0.04823077842593193
279,9909, west,348,0.039635151624679565
280,315, of,349,0.05847970396280289
281,279, the,350,0.07912379503250122
282,1023, other,351,0.07493014633655548
283,382,".

",352,0.07004889845848083
284,567,##,353,0.02295229770243168
285,15166, Step,354,0.008239686489105225
286,220, ,355,0.08598171919584274
287,18,3,356,0.0401674285531044
288,25,:,357,0.026223652064800262
289,31001, Determine,358,0.057120028883218765
290,422, if,359,0.07642637193202972
291,10007, south,360,0.05855140835046768
292,374, is,361,0.08052986115217209
293,279, the,362,0.041566550731658936
294,4495, correct,363,0.039334580302238464
295,5216, direction,364,0.09196095913648605
296,505, from,365,0.14181537926197052
297,31371, LIB,366,0.07449034601449966
298,3481,ERT,367,0.04286545515060425
