generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,55,-0.005878231022506952
1,4320, answer,56,0.00133877107873559
2,420, this,57,-3.972509875893593e-05
3,3488, question,58,-0.01518026553094387
4,11,",",59,-0.017822209745645523
5,584, we,60,0.005815185606479645
6,1205, need,61,0.0011336114257574081
7,311, to,62,0.02076026238501072
8,1440, know,63,0.06118972972035408
9,279, the,64,0.10618145018815994
10,10345, lif,65,0.19481699168682098
11,25632,esp,66,0.16961611807346344
12,598,ans,67,-0.011737236753106117
13,315, of,68,0.06785139441490173
14,2225, both,69,-0.005026362370699644
15,7931, individuals,70,0.0020600436255335808
16,13,.,71,-0.003419223939999938
17,4815," 

",72,-0.003937232308089733
18,70892,�,73,-0.0018604365177452564
19,112,�,74,-0.028437647968530655
20,109639,仁,75,-0.03109743632376194
21,75146,基,76,-0.010441727936267853
22,11,",",77,0.051752954721450806
23,1101, also,78,0.0063866619020700455
24,3967, known,79,-0.0043141962960362434
25,439, as,80,-0.03253759443759918
26,86008, Bai,81,-0.00512693589553237
27,14094, Ren,82,-0.014754464849829674
28,7910,ji,83,0.0052164532244205475
29,11,",",84,0.0019692936912178993
30,574, was,85,0.07928921282291412
31,264, a,86,0.03377645090222359
32,8620, Chinese,87,-0.0005196272395551205
33,4689, general,88,-0.0021654751617461443
34,323, and,89,0.031288716942071915
35,37038, politician,90,0.004550015553832054
36,315, of,91,0.03792842850089073
37,279, the,92,0.013894757255911827
38,41462, Tang,93,0.007973849773406982
39,74495, Dynasty,94,0.019306309521198273
40,11,",",95,0.03311119228601456
41,719, but,96,0.06485495716333389
42,358, I,97,0.0021782051771879196
43,7846, couldn,98,-0.004936696030199528
44,956,'t,99,-0.03126579523086548
45,1505, find,100,0.013800831511616707
46,904, any,101,0.023489244282245636
47,2038, information,102,0.019363006576895714
48,389, on,103,0.007447107695043087
49,813, his,104,0.08985154330730438
50,7342, birth,105,0.16577939689159393
51,323, and,106,0.025342151522636414
52,4648, death,107,0.0650782436132431
53,13003, dates,108,0.019533224403858185
54,382,".

",109,-0.009712250903248787
55,5953,Ab,110,-0.005930139683187008
56,67,d,111,-0.004923051688820124
57,360,ul,112,0.01623271405696869
58,386, M,113,0.005659217480570078
59,21493,utt,114,0.018772294744849205
60,278,al,115,0.008234345354139805
61,581,ib,116,0.013621783815324306
62,11,",",117,0.02761305496096611
63,389, on,118,0.01704748533666134
64,279, the,119,0.014515988528728485
65,1023, other,120,-0.00645974138751626
66,1450, hand,121,-0.02425125055015087
67,11,",",122,0.01107393391430378
68,574, was,123,0.07479185611009598
69,279, the,124,0.013608069159090519
70,38950, grandfather,125,0.012258272618055344
71,315, of,126,0.03420642390847206
72,279, the,127,0.01956995762884617
73,15558, Islamic,128,0.026474999263882637
74,53604, prophet,129,0.016192417591810226
75,36831, Muhammad,130,0.01792309060692787
76,13,.,131,0.03262920305132866
77,1283, He,132,0.034338682889938354
78,574, was,133,0.04798151180148125
79,9405, born,134,0.007519871927797794
80,304, in,135,0.00630753580480814
81,220, ,136,-0.002869752701371908
82,22640,497,137,0.001703581539914012
83,9827, AD,138,-0.0028587367851287127
84,323, and,139,0.003695450956001878
85,8636, died,140,0.057221055030822754
86,304, in,141,0.01721682958304882
87,220, ,142,0.0030325469560921192
88,22915,578,143,0.02447817288339138
89,9827, AD,144,-0.012210967019200325
90,382,".

",145,0.07202240824699402
91,27131,Without,146,-0.006757006049156189
92,279, the,147,0.01973589137196541
93,7342, birth,148,0.05214477702975273
94,323, and,149,0.009484721347689629
95,4648, death,150,0.039049070328474045
96,13003, dates,151,0.008211251348257065
97,315, of,152,-0.0086386539041996
98,115189, �,153,-0.015277273021638393
99,112,�,154,-0.025505894795060158
100,109639,仁,155,-0.033396437764167786
101,75146,基,156,0.1969197392463684
102,11,",",157,-0.014181447215378284
103,433, it,158,-0.006607972551137209
104,596,'s,159,-0.008639357052743435
105,12266, impossible,160,-0.012690676376223564
106,311, to,161,-0.0178016796708107
107,9616, compare,162,0.033399127423763275
108,279, the,163,0.21233148872852325
109,10345, lif,164,0.2681422829627991
110,25632,esp,165,0.21719926595687866
111,598,ans,166,-0.02103658951818943
112,315, of,167,0.05538790673017502
113,279, the,168,0.0026758569292724133
114,1403, two,169,0.01032567024230957
115,7931, individuals,170,0.020612796768546104
116,13,.,171,-0.009314523078501225
117,4452, However,172,-0.021385863423347473
118,11,",",173,-0.03549214452505112
119,358, I,174,-0.01341878343373537
120,2011, must,175,-0.014194686897099018
121,3493, provide,176,-0.01410165149718523
122,264, a,177,-0.013045416213572025
123,14410, YES,178,-0.014667024835944176
124,477, or,179,-0.01462375558912754
125,5782, NO,180,-0.00581769272685051
126,4320, answer,181,-0.012671947479248047
127,11,",",182,-0.015806447714567184
128,779, so,183,-0.022278310731053352
129,358, I,184,-0.025231560692191124
130,690, will,185,-0.015525556169450283
131,656, do,186,-0.012057092972099781
132,779, so,187,-0.011785678565502167
133,3196, based,188,-0.005007005296647549
134,389, on,189,-0.015632927417755127
135,279, the,190,-0.005408774130046368
136,2561, available,191,-0.010276848450303078
137,2038, information,192,1.140916720032692e-05
138,382,".

",193,-0.019572583958506584
139,791,The,194,-0.016243308782577515
140,1620, final,195,0.047716185450553894
141,4320, answer,196,-0.009409071877598763
142,374, is,197,-0.011951669119298458
143,25,:,198,-0.006678016856312752
144,59060, $\,199,-0.005207785405218601
145,80175,boxed,200,-0.001448851078748703
146,90,{,201,0.0011479915119707584
147,9173,NO,202,0.008540181443095207
148,32816,}$,203,0.0027208279352635145
149,128009,<|eot_id|>,204,-0.00923718512058258
