generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,567,##,62,-0.007706469856202602
1,15166, Step,63,-0.010542609728872776
2,220, ,64,-0.009995542466640472
3,16,1,65,0.044492289423942566
4,25,:,66,-0.012129150331020355
5,31001, Determine,67,0.03266041725873947
6,279, the,68,0.06375686079263687
7,61961, lifespan,69,0.10118961334228516
8,315, of,70,0.0834861770272255
9,12140, Louis,71,-0.0016836655559018254
10,358, I,72,-0.02141452208161354
11,409, de,73,-0.021402185782790184
12,42087, Roh,74,-0.030803676694631577
13,276,an,75,0.006284327246248722
14,12279,-G,76,-0.018807895481586456
15,84,u,77,-0.03090880811214447
16,17060,ém,78,-0.01960202306509018
17,32453,éné,79,-0.022711336612701416
18,198,"
",80,0.012573040090501308
19,1271,To,81,0.013343988917768002
20,4320, answer,82,0.015055074356496334
21,420, this,83,0.00534035824239254
22,3488, question,84,-0.007758033461868763
23,11,",",85,-0.004827274940907955
24,584, we,86,0.016697421669960022
25,1176, first,87,0.013478422537446022
26,1205, need,88,0.017217174172401428
27,311, to,89,0.004949222318828106
28,1505, find,90,0.051538869738578796
29,704, out,91,0.034882690757513046
30,994, when,92,0.09531915932893753
31,12140, Louis,93,0.03365413099527359
32,358, I,94,-0.016400113701820374
33,409, de,95,-0.014630728401243687
34,42087, Roh,96,-0.012075832113623619
35,276,an,97,-0.0019802027381956577
36,12279,-G,98,-0.02003243751823902
37,84,u,99,-0.037108201533555984
38,17060,ém,100,-0.011994589120149612
39,32453,éné,101,-0.0002623980399221182
40,574, was,102,0.07050487399101257
41,9405, born,103,0.06926548480987549
42,323, and,104,0.03833823651075363
43,994, when,105,0.03797270357608795
44,568, he,106,0.025040538981556892
45,8636, died,107,0.020439788699150085
46,13,.,108,0.01403570082038641
47,19173, Unfortunately,109,0.00041189929470419884
48,11,",",110,-0.003154180245473981
49,2085, without,111,-0.0013112598098814487
50,2680, access,112,-0.010111771523952484
51,311, to,113,-0.013768578879535198
52,3230, specific,114,0.006811835337430239
53,13970, historical,115,0.016602640971541405
54,7576, records,116,-0.005969317629933357
55,477, or,117,-0.025674011558294296
56,32906, databases,118,0.0012896140106022358
57,520, at,119,-0.017079517245292664
58,420, this,120,0.0008654166013002396
59,4545, moment,121,-0.006209234241396189
60,11,",",122,-0.024526052176952362
61,358, I,123,-0.009401688352227211
62,3358,'ll,124,-0.00881947297602892
63,617, have,125,-0.013994859531521797
64,311, to,126,-0.02223801799118519
65,10570, proceed,127,-0.01808733120560646
66,449, with,128,-0.009926598519086838
67,264, a,129,-0.01890183798968792
68,4689, general,130,-0.017209643498063087
69,5603, approach,131,-0.01250765286386013
70,311, to,132,-0.01761254295706749
71,1268, how,133,0.0009166272357106209
72,832, one,134,0.02526642568409443
73,1053, would,135,4.152115434408188e-05
74,1505, find,136,0.004070810042321682
75,420, this,137,0.010290694423019886
76,2038, information,138,-0.012948778457939625
77,382,".

",139,-0.008186226710677147
78,567,##,140,0.0011032138718292117
79,15166, Step,141,-0.021553922444581985
80,220, ,142,-0.03574852645397186
