generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,51,-0.014511695131659508
1,4320, answer,52,-0.007417697459459305
2,420, this,53,-0.015238894149661064
3,3488, question,54,-0.01625075191259384
4,11,",",55,-0.023421013727784157
5,584, we,56,-0.01431061141192913
6,1205, need,57,-0.006653377786278725
7,311, to,58,-0.003685852512717247
8,1440, know,59,0.005459753796458244
9,279, the,60,0.018775641918182373
10,7342, birth,61,0.0580308772623539
11,13003, dates,62,-0.0037154611200094223
12,315, of,63,-0.009059658274054527
13,68844, Zhu,64,-0.01564830169081688
14,51958, Ling,65,-0.019538376480340958
15,323, and,66,-0.017230834811925888
16,4567, Sim,67,-0.034288063645362854
17,64,a,68,-0.03072960488498211
18,23272, Lang,69,-0.012363300658762455
19,13,.,70,-0.015037087723612785
20,4740, After,71,-0.01597568206489086
21,45243, researching,72,-0.015614410862326622
22,11,",",73,-0.003012052271515131
23,358, I,74,-0.015408243983983994
24,1766, found,75,0.00021090684458613396
25,430, that,76,-0.024300098419189453
26,512,":
",77,0.003176489844918251
27,12,-,78,-0.014442399144172668
28,68844, Zhu,79,-0.009656818583607674
29,51958, Ling,80,-0.024185147136449814
30,574, was,81,0.025663742795586586
31,9405, born,82,0.013056295923888683
32,304, in,83,-0.002813903847709298
33,220, ,84,-0.007398247718811035
34,6280,195,85,0.003451261203736067
35,16,1,86,3.7266756407916546e-05
36,627,".
",87,-0.022466931492090225
37,12,-,88,-0.0253133587539196
38,4567, Sim,89,-0.009255243465304375
39,64,a,90,-0.0170380137860775
40,23272, Lang,91,-0.003204081207513809
41,574, was,92,0.0030977940186858177
42,9405, born,93,-0.0011420161463320255
43,304, in,94,-0.00808975100517273
44,220, ,95,-0.031045733019709587
45,7285,193,96,-0.02783336117863655
46,17,2,97,-0.0071533010341227055
47,382,".

",98,-0.021308880299329758
48,7184,Now,99,-0.009225375019013882
49,11,",",100,-0.00858689658343792
50,1095, let,101,-0.00844409316778183
51,596,'s,102,-0.012866569682955742
52,9616, compare,103,0.003057274501770735
53,872, their,104,0.001467731548473239
54,7342, birth,105,0.022662527859210968
55,1667, years,106,-0.0009199631167575717
56,512,":
",107,-0.006710618734359741
57,12,-,108,-0.011874275282025337
58,220, ,109,-0.007287734653800726
59,6280,195,110,-0.025725077837705612
60,16,1,111,-0.01967199146747589
61,320, (,112,0.005130168981850147
62,57,Z,113,-0.009939726442098618
63,17156,hu,114,-0.027463549748063087
64,51958, Ling,115,-0.016647683456540108
65,8,),116,0.005358210764825344
66,374, is,117,0.007886444218456745
67,7191, greater,118,0.014988123439252377
68,1109, than,119,-0.0017216848209500313
69,220, ,120,-0.019487058743834496
70,7285,193,121,-0.015416271984577179
71,17,2,122,-0.0366317480802536
72,320, (,123,-0.02927374094724655
73,50,S,124,-0.038451820611953735
74,7675,ima,125,-0.022667216137051582
75,23272, Lang,126,0.0009094434790313244
76,3677,").

",127,-0.029962316155433655
77,12834,Since,128,-0.014458971098065376
78,220, ,129,-0.004685078747570515
79,6280,195,130,-0.01845993474125862
80,16,1,131,-0.00439290190115571
81,374, is,132,0.006135307252407074
82,3010, later,133,0.016554731875658035
83,1109, than,134,0.012332875281572342
84,220, ,135,-0.010503353551030159
85,7285,193,136,-0.0282937940210104
86,17,2,137,-0.02612099051475525
87,11,",",138,0.0014371818397194147
88,584, we,139,-0.011301123537123203
89,649, can,140,-0.007497495040297508
90,32194, conclude,141,0.005759821739047766
91,430, that,142,-0.011646869592368603
92,1473,":

",143,-0.010530463419854641
93,791,The,144,-0.02297736518085003
94,1620, final,145,-0.01226302795112133
95,4320, answer,146,-0.013137507252395153
96,374, is,147,-0.008472220040857792
97,25,:,148,-0.015077546238899231
98,59060, $\,149,-0.01934855803847313
99,80175,boxed,150,-0.010827254503965378
100,90,{,151,-0.0047135865315794945
101,14331,YES,152,0.004215450491756201
102,32816,}$,153,-0.009007149375975132
103,128009,<|eot_id|>,154,-0.016499824821949005
