generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,70,0.03091508336365223
1,4320, answer,71,0.05022267997264862
2,420, this,72,0.01945812627673149
3,3488, question,73,0.032225437462329865
4,11,",",74,0.05536528304219246
5,1095, let,75,0.03898821398615837
6,596,'s,76,0.029563942924141884
7,1464, break,77,0.06923886388540268
8,433, it,78,0.03804164379835129
9,1523, down,79,0.05327031761407852
10,1139, into,80,0.024944394826889038
11,7504, steps,81,0.04203282669186592
12,1473,":

",82,0.031251925975084305
13,567,##,83,0.036184825003147125
14,15166, Step,84,0.030516628175973892
15,220, ,85,0.0234743133187294
16,16,1,86,0.055781763046979904
17,25,:,87,0.029605502262711525
18,65647, Identify,88,0.07760806381702423
19,279, the,89,0.10339241474866867
20,10687, locations,90,0.058804161846637726
21,198,"
",91,0.37222519516944885
22,1687,We,92,0.056923750787973404
23,1205, need,93,0.05791376903653145
24,311, to,94,0.047132737934589386
25,10765, identify,95,0.0710659921169281
26,279, the,96,0.12509439885616302
27,10687, locations,97,0.07972580939531326
28,315, of,98,0.3583675026893616
29,63063, CENT,99,0.14907656610012054
30,52831,RAL,100,0.07903849333524704
31,67384, PARK,101,0.06077452376484871
32,356, C,102,0.0411648154258728
33,1507,ED,103,0.060849711298942566
34,946,AR,104,0.03208816796541214
35,473, H,105,0.03180157393217087
36,9410,ILL,106,0.08097637444734573
37,323, and,107,0.05682294815778732
38,15116, GR,108,0.09730558097362518
39,5693,ACE,109,0.06834425777196884
40,4015, ST,110,0.028243429958820343
41,13174, PA,111,0.05396762862801552
42,1112,UL,112,0.07778774946928024
43,50,S,113,0.017859432846307755
44,445, L,114,0.06059309095144272
45,1406,UT,115,0.04730614647269249
46,3087,HER,116,0.021001046523451805
47,1111,AN,117,0.02056504599750042
48,6969, CH,118,0.05413622781634331
49,1539,UR,119,0.05481044203042984
50,2198,CH,120,-0.01744293048977852
51,304, in,121,0.07202248275279999
52,29890, Manhattan,122,0.09229123592376709
53,382,".

",123,0.0856357291340828
54,567,##,124,0.050556428730487823
55,15166, Step,125,0.01638360135257244
56,220, ,126,0.0661201998591423
57,17,2,127,0.039221640676259995
58,25,:,128,0.04948807507753372
59,31001, Determine,129,0.0963144600391388
60,279, the,130,0.10474097728729248
61,3813, location,131,0.08571422845125198
62,315, of,132,0.4552970826625824
63,63063, CENT,133,0.13790592551231384
64,52831,RAL,134,0.07508308440446854
65,67384, PARK,135,0.05477219074964523
66,356, C,136,0.04837902635335922
67,1507,ED,137,0.02062295563519001
68,946,AR,138,0.022181019186973572
69,473, H,139,0.007824481464922428
70,9410,ILL,140,0.0424731969833374
71,198,"
",141,0.0645933449268341
72,37438,CENT,142,0.08168037980794907
73,52831,RAL,143,0.050710681825876236
74,67384, PARK,144,0.042580198496580124
75,356, C,145,0.04676734656095505
76,1507,ED,146,0.05139321833848953
77,946,AR,147,0.012864893302321434
78,473, H,148,0.01146217156201601
79,9410,ILL,149,0.0477377250790596
80,374, is,150,0.050334032624959946
81,7559, located,151,0.059018369764089584
82,2949, within,152,0.2726897597312927
83,10913, Central,153,0.06468904763460159
84,5657, Park,154,0.079074427485466
85,11,",",155,0.0555441714823246
86,902, which,156,0.05056360736489296
87,374, is,157,0.04933936521410942
88,264, a,158,0.02309894934296608
89,3544, large,159,0.012778164818882942
90,586, public,160,0.029206376522779465
91,6246, park,161,0.0018925081240013242
92,304, in,162,0.019625447690486908
93,29890, Manhattan,163,0.0038677335251122713
94,11,",",164,0.03389919549226761
95,1561, New,165,0.02720416896045208
96,4356, York,166,0.06661684811115265
97,4409, City,167,0.021322038024663925
98,13,.,168,0.08875763416290283
99,10913, Central,169,0.09027475118637085
100,5657, Park,170,0.07651257514953613
101,374, is,171,0.038674887269735336
102,31183, situated,172,0.014474734663963318
103,1990, between,173,0.08040931820869446
104,279, the,174,0.01915169507265091
105,31714, Upper,175,0.0035512042231857777
106,4410, West,176,0.008092465810477734
107,17072, Side,177,0.0265034269541502
108,323, and,178,0.020833628252148628
109,279, the,179,0.009161688387393951
110,31714, Upper,180,-0.002979500452056527
111,6460, East,181,0.01916317455470562
112,17072, Side,182,0.03494428098201752
113,11,",",183,0.01914241537451744
114,42949, stretching,184,0.021024467423558235
