generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,791,The,58,0.030749203637242317
1,7504, steps,59,0.059571124613285065
2,527, are,60,0.022776763886213303
3,512,":
",61,0.023444563150405884
4,16,1,62,0.0408039316534996
5,13,.,63,0.04004552960395813
6,3146, **,64,0.07918277382850647
7,29401,Ident,65,0.07468281686306
8,1463,ify,66,0.11710384488105774
9,279, the,67,0.12076026946306229
10,10687, locations,68,0.06628046929836273
11,334,**,69,0.417175829410553
12,6532, involved,70,0.09390025585889816
13,25,:,71,0.09345918148756027
14,53412, GENERAL,72,0.08302412927150726
15,73577, ELECT,73,0.0764973908662796
16,37078,RIC,74,0.08146481215953827
17,48797, BUILD,75,0.040407437831163406
18,1753,ING,76,0.08379624038934708
19,304, in,77,0.08422284573316574
20,29890, Manhattan,78,0.08923264592885971
21,323, and,79,0.08393266052007675
22,12076, RO,80,0.08844777941703796
23,76734,OSE,81,0.07237976044416428
24,12073,VEL,82,0.0714736208319664
25,51,T,83,0.005589006002992392
26,304, in,84,0.025137368589639664
27,28162, Queens,85,0.08429601043462753
28,627,".
",86,0.052467428147792816
29,17,2,87,0.05808093771338463
30,13,.,88,0.04257436469197273
31,3146, **,89,0.05951306223869324
32,16648,Under,90,0.09656897187232971
33,2752,stand,91,0.016246076673269272
34,279, the,92,0.06887079030275345
35,54242, geography,93,0.060382626950740814
36,334,**,94,0.14682209491729736
37,315, of,95,0.0858415737748146
38,29890, Manhattan,96,0.06742344051599503
39,323, and,97,0.07490787655115128
40,28162, Queens,98,0.0848957747220993
41,304, in,99,0.05399644374847412
42,12976, relation,100,0.06858764588832855
43,311, to,101,0.13691289722919464
44,1855, each,102,0.07431173324584961
45,1023, other,103,0.04614677652716637
46,627,".
",104,0.06663331389427185
47,18,3,105,0.031107358634471893
48,13,.,106,0.027258558198809624
49,3146, **,107,0.06028306484222412
50,35,D,108,0.09259426593780518
51,25296,etermine,109,0.08368945866823196
52,279, the,110,0.10680516809225082
53,8844, relative,111,0.09360761195421219
54,10093, positions,112,0.11223362386226654
55,334,**,113,0.24729272723197937
56,315, of,114,0.16230636835098267
57,1521, these,115,0.10524764657020569
58,10687, locations,116,0.09526490420103073
59,627,".
",117,0.3200037479400635
60,19,4,118,0.03340834006667137
61,13,.,119,0.04420675337314606
62,3146, **,120,0.05692349746823311
63,1128,Con,121,0.07452099025249481
64,866,clude,122,0.04894483834505081
65,334,**,123,0.06930910050868988
66,3508, whether,124,0.03269641101360321
67,53412, GENERAL,125,0.07253507524728775
68,73577, ELECT,126,0.07163462787866592
69,37078,RIC,127,0.0806240439414978
70,48797, BUILD,128,0.07672248035669327
71,1753,ING,129,0.05606752634048462
72,374, is,130,0.08264927566051483
73,10007, south,131,0.07612563669681549
74,315, of,132,0.08462151139974594
75,12076, RO,133,0.0924997478723526
76,76734,OSE,134,0.07824824005365372
77,12073,VEL,135,0.06920772790908813
78,51,T,136,0.019692324101924896
79,3196, based,137,0.04672493413090706
80,389, on,138,0.060510847717523575
81,872, their,139,0.06691615283489227
82,10093, positions,140,0.1075139045715332
83,382,".

",141,0.23088684678077698
84,10267,Let,142,0.031020859256386757
85,596,'s,143,0.030923984944820404
86,10570, proceed,144,0.056729648262262344
87,3094, step,145,0.04096350073814392
88,555, by,146,0.012484904378652573
89,3094, step,147,0.08058863133192062
90,1473,":

",148,0.003960695583373308
91,16,1,149,0.025102702900767326
92,13,.,150,0.010559198446571827
93,3146, **,151,0.07220781594514847
94,29401,Ident,152,0.06267477571964264
95,1463,ify,153,0.0658050999045372
96,279, the,154,0.09414026141166687
