generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,64,-0.017728757113218307
1,8417, determine,65,0.027150295674800873
2,422, if,66,0.08327198028564453
3,36418, FD,67,0.027384061366319656
4,23923,NY,68,0.012395665049552917
5,432, R,69,0.002369547262787819
6,1741,AC,70,-0.0037761053536087275
7,39302, UNIT,71,0.004760064650326967
8,220, ,72,0.010102546773850918
9,17,2,73,0.05134594440460205
10,11,",",74,0.03005826100707054
11,26832, Brooklyn,75,0.04457266256213188
12,374, is,76,0.05099646747112274
13,7559, located,77,0.17809754610061646
14,9909, west,78,0.20441018044948578
15,315, of,79,0.16235001385211945
16,31371, LIB,80,0.020191963762044907
17,3481,ERT,81,0.01800359971821308
18,1846,AD,82,0.13427533209323883
19,549, U,83,0.014847091399133205
20,30359,RB,84,0.0018165414221584797
21,1111,AN,85,0.11564788967370987
22,435, F,86,0.00493068341165781
23,18394,ARM,87,-0.02137707732617855
24,11,",",88,0.017010821029543877
25,66236, Bronx,89,0.01666085422039032
26,11,",",90,0.008357006125152111
27,1095, let,91,0.01961459033191204
28,596,'s,92,-0.002557495143264532
29,1464, break,93,0.030792158097028732
30,1523, down,94,0.00472905021160841
31,279, the,95,0.00525852432474494
32,2038, information,96,0.03538200631737709
33,1473,":

",97,-0.0067428587935864925
34,16,1,98,0.001457522390410304
35,13,.,99,-0.01050962321460247
36,3146, **,100,0.06317088007926941
37,29401,Ident,101,0.09473511576652527
38,1463,ify,102,0.017806891351938248
39,42569, Locations,103,0.1063949465751648
40,96618,**:,104,0.033333707600831985
41,720," 
",105,0.015316473320126534
42,256,  ,106,-0.0020215727854520082
43,482, -,107,0.006396476645022631
44,36418, FD,108,0.025192447006702423
45,23923,NY,109,0.0068095410242676735
46,432, R,110,-0.004854816012084484
47,1741,AC,111,-0.026499062776565552
48,39302, UNIT,112,0.006728080101311207
49,220, ,113,0.004127544816583395
50,17,2,114,0.002049978356808424
51,374, is,115,0.01877448707818985
52,304, in,116,0.04220697283744812
53,26832, Brooklyn,117,0.05796252563595772
54,627,".
",118,0.05872996896505356
55,256,  ,119,0.012798795476555824
56,482, -,120,0.0046274904161691666
57,31371, LIB,121,0.0030528393108397722
58,3481,ERT,122,0.014871649444103241
59,1846,AD,123,0.009117558598518372
60,549, U,124,0.011565379798412323
61,30359,RB,125,0.15359166264533997
62,1111,AN,126,0.10877712815999985
63,435, F,127,0.0008803072851151228
64,18394,ARM,128,-0.0126766636967659
65,374, is,129,0.012273967266082764
66,304, in,130,0.05754709988832474
67,279, the,131,0.055976543575525284
68,66236, Bronx,132,0.06250935047864914
69,382,".

",133,0.02849172055721283
70,17,2,134,0.01643446646630764
71,13,.,135,-0.004710947163403034
72,3146, **,136,0.10839144140481949
73,16648,Under,137,0.12079107016324997
74,2752,stand,138,0.035608142614364624
75,66542, Geographic,139,0.151389479637146
76,76483, Positions,140,0.11852680146694183
77,334,**,141,0.07141567021608353
78,512,":
",142,0.03280423581600189
79,256,  ,143,0.03224422037601471
80,482, -,144,0.08244392275810242
81,26832, Brooklyn,145,0.17356163263320923
82,374, is,146,0.17321595549583435
83,8965, generally,147,0.23210160434246063
84,10007, south,148,0.34128767251968384
85,323, and,149,0.17932234704494476
86,10284, slightly,150,0.2775060534477234
87,11226, east,151,0.3346911072731018
88,315, of,152,0.13835561275482178
89,279, the,153,0.09043480455875397
90,66236, Bronx,154,0.08258763700723648
91,304, in,155,0.060976944863796234
92,1561, New,156,0.060279302299022675
93,4356, York,157,0.08914327621459961
94,4409, City,158,0.015282932668924332
95,627,".
",159,0.048248689621686935
96,256,  ,160,0.013097756542265415
97,482, -,161,0.19424042105674744
98,578, The,162,0.19710078835487366
99,3488, question,163,0.17097251117229462
100,17501, asks,164,0.033708177506923676
101,422, if,165,0.05832225829362869
102,279, the,166,0.04914562776684761
103,3813, location,167,0.056306205689907074
104,304, in,168,0.06368965655565262
105,26832, Brooklyn,169,0.05846540257334709
106,374, is,170,0.10454829782247543
107,9909, west,171,0.30489227175712585
108,315, of,172,0.13090373575687408
109,279, the,173,0.03862514719367027
110,3813, location,174,0.03438391536474228
111,304, in,175,0.04399380087852478
112,279, the,176,0.05837059020996094
113,66236, Bronx,177,0.1653038114309311
114,382,".

",178,0.014084276743233204
115,18,3,179,0.012475763447582722
116,13,.,180,-0.000319561455398798
117,3146, **,181,0.1819286346435547
118,35,D,182,0.09542936086654663
119,25296,etermine,183,0.09518193453550339
120,19438, Direction,184,0.1980840563774109
121,334,**,185,0.10994303971529007
122,512,":
",186,0.02180623635649681
123,256,  ,187,0.029522210359573364
124,482, -,188,0.12904182076454163
125,1789, For,189,0.23034949600696564
126,264, a,190,0.07377231866121292
127,3813, location,191,0.09707900136709213
128,304, in,192,0.1270913928747177
129,26832, Brooklyn,193,0.11802401393651962
130,311, to,194,0.061551086604595184
131,387, be,195,0.19284938275814056
132,9909, west,196,0.24509243667125702
133,315, of,197,0.14212566614151
134,264, a,198,0.04400346428155899
135,3813, location,199,0.06171276420354843
136,304, in,200,0.06865231692790985
137,279, the,201,0.07632313668727875
138,66236, Bronx,202,0.057371243834495544
139,11,",",203,0.027612902224063873
140,13126, considering,204,0.0754188746213913
141,872, their,205,0.1249324381351471
142,4689, general,206,0.12434813380241394
143,10093, positions,207,0.14257106184959412
144,11,",",208,0.07642366737127304
145,433, it,209,0.0553833544254303
146,1053, would,210,0.02543959580361843
147,11383, typically,211,0.03332024812698364
148,3152, mean,212,0.04727698117494583
149,279, the,213,0.09810679405927658
150,26832, Brooklyn,214,0.05641862004995346
151,3813, location,215,0.0499298982322216
152,2011, must,216,0.10906179249286652
153,387, be,217,0.17796774208545685
154,810, more,218,0.24938349425792694
155,7119, towards,219,0.2702946066856384
156,279, the,220,0.2438635230064392
157,9909, west,221,0.2623583972454071
158,3185, side,222,0.13414894044399261
159,315, of,223,0.07176263630390167
160,1561, New,224,0.08790997415781021
161,4356, York,225,0.049190789461135864
162,4409, City,226,0.032313279807567596
163,1109, than,227,0.04531887546181679
164,279, the,228,0.08115670830011368
165,66236, Bronx,229,0.08077175915241241
166,3813, location,230,0.03973820433020592
167,382,".

",231,0.07480347901582718
168,19,4,232,0.0035288326907902956
169,13,.,233,-0.0035343391355127096
170,3146, **,234,0.07214012742042542
171,44534,Conclusion,235,0.03324320912361145
172,334,**,236,0.0010506310500204563
173,512,":
",237,-0.003211878938600421
174,256,  ,238,-0.0021540666930377483
175,482, -,239,0.003371862694621086
176,16644, Given,240,0.06386744976043701
177,279, the,241,0.0625140368938446
178,4689, general,242,0.11541424691677094
179,46139, geographic,243,0.15710791945457458
180,6932, layout,244,0.07878795266151428
181,315, of,245,0.03266606479883194
182,1561, New,246,0.03799399361014366
183,4356, York,247,0.026632772758603096
184,4409, City,248,0.006527065299451351
185,11,",",249,0.03359859436750412
186,1405, where,250,0.07625734061002731
187,26832, Brooklyn,251,0.1699824035167694
188,374, is,252,0.20585931837558746
189,311, to,253,0.2740207314491272
190,279, the,254,0.280445396900177
191,10007, south,255,0.22963576018810272
192,323, and,256,0.19615213572978973
193,10284, slightly,257,0.2215060293674469
194,11226, east,258,0.30076852440834045
195,315, of,259,0.12300369143486023
196,279, the,260,0.09595771878957748
197,66236, Bronx,261,0.1141258254647255
198,11,",",262,0.036683715879917145
199,433, it,263,0.03783566132187843
200,596,'s,264,0.03079281747341156
201,17821, unlikely,265,0.03641650080680847
202,369, for,266,0.03710813820362091
203,264, a,267,0.07168865948915482
204,3813, location,268,0.0742679089307785
205,304, in,269,0.07833147794008255
206,26832, Brooklyn,270,0.08433101326227188
207,311, to,271,0.06647378951311111
208,387, be,272,0.2090369611978531
209,9909, west,273,0.301372766494751
210,315, of,274,0.12399247288703918
211,264, a,275,0.049006372690200806
212,3813, location,276,0.08780202269554138
213,304, in,277,0.07520828396081924
214,279, the,278,0.08482210338115692
215,66236, Bronx,279,0.06794246286153793
216,11,",",280,0.039733096957206726
217,439, as,281,0.026530828326940536
218,279, the,282,0.1023859903216362
219,66236, Bronx,283,0.13592292368412018
220,374, is,284,0.18584167957305908
221,8965, generally,285,0.2315523773431778
222,10411, north,286,0.3051968216896057
223,323, and,287,0.19340768456459045
224,10284, slightly,288,0.23195654153823853
225,9909, west,289,0.2644668519496918
226,315, of,290,0.10345444828271866
227,26832, Brooklyn,291,0.07014856487512589
228,382,".

",292,0.039686113595962524
229,55915,Therefore,293,0.0007600546814501286
230,11,",",294,-0.0014303876087069511
231,3196, based,295,0.020250000059604645
232,389, on,296,-0.0034346510656177998
233,4689, general,297,0.04903880134224892
234,46139, geographic,298,0.06241836026310921
235,6677, knowledge,299,0.045351359993219376
236,315, of,300,-0.004625986330211163
237,1561, New,301,0.04091387987136841
238,4356, York,302,-0.010902343317866325
239,4409, City,303,0.0018856606911867857
240,596,'s,304,0.024009421467781067
241,66841, borough,305,0.04567433148622513
242,82,s,306,0.06502654403448105
243,11,",",307,0.04341296851634979
244,279, the,308,0.020907048135995865
245,4320, answer,309,0.022568229585886
246,311, to,310,-0.0011966805905103683
247,3508, whether,311,0.005833659786731005
248,36418, FD,312,0.018376510590314865
249,23923,NY,313,-0.005196296609938145
250,432, R,314,-0.0006322918925434351
251,1741,AC,315,-0.012909315526485443
252,39302, UNIT,316,0.001923220232129097
253,220, ,317,0.01743432693183422
254,17,2,318,-0.025431742891669273
255,11,",",319,0.0418427437543869
256,26832, Brooklyn,320,0.044293344020843506
257,374, is,321,0.05867716670036316
258,7559, located,322,0.16657596826553345
259,9909, west,323,0.20934543013572693
260,315, of,324,0.10064446926116943
261,31371, LIB,325,0.01400819793343544
262,3481,ERT,326,0.011587054468691349
263,1846,AD,327,0.03768898919224739
264,549, U,328,0.0083735641092062
265,30359,RB,329,0.03570050373673439
266,1111,AN,330,0.04943201318383217
267,435, F,331,0.004920260980725288
268,18394,ARM,332,-0.026290787383913994
269,11,",",333,0.03151281177997589
270,66236, Bronx,334,0.032471612095832825
271,374, is,335,0.01516297273337841
272,3146, **,336,0.034288160502910614
273,9173,NO,337,0.037071578204631805
274,334,**,338,0.008941533975303173
275,13,.,339,-0.017236804589629173
276,128009,<|eot_id|>,340,-0.020211834460496902
