generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,16,1,66,0.029822062700986862
1,13,.,67,0.03723245859146118
2,3146, **,68,0.06695619225502014
3,29401,Ident,69,0.06702765077352524
4,1463,ify,70,0.09277796000242233
5,279, the,71,0.11294390261173248
6,10687, locations,72,0.0699540376663208
7,96618,**:,73,0.39151906967163086
8,1226, We,74,0.05790051817893982
9,1205, need,75,0.05610223487019539
10,311, to,76,0.05597655102610588
11,3619, understand,77,0.07517334073781967
12,1405, where,78,0.06713439524173737
13,2225, both,79,0.15140359103679657
14,80715, SOUTH,80,0.07575473189353943
15,356, C,81,0.07044848799705505
16,1623,LO,82,0.08517562597990036
17,4592,VE,83,0.03874669224023819
18,83293, ROAD,84,0.04926116764545441
19,356, C,85,0.061238110065460205
20,2783,EM,86,0.06459341198205948
21,1372,ET,87,0.03129364922642708
22,13977,ERY,88,0.03951200470328331
23,323, and,89,0.0832294151186943
24,32074, LAB,90,0.0935814157128334
25,1372,ET,91,0.10454440861940384
26,27712,TI,92,0.044718772172927856
27,13165, POST,93,0.06595543771982193
28,650, V,94,0.0708894208073616
29,18723,FW,95,0.07312984019517899
30,527, are,96,0.05348478630185127
31,7559, located,97,0.11401920020580292
32,389, on,98,0.3276664912700653
33,96406, Staten,99,0.07523089647293091
34,10951, Island,100,0.04538904130458832
35,13,.,101,0.08885432779788971
36,1115, This,102,0.06884703785181046
37,7612, requires,103,0.04830656200647354
38,3060, either,104,0.07760462909936905
39,264, a,105,0.054722145199775696
40,2472, map,106,0.054386891424655914
41,477, or,107,0.09834504872560501
42,3230, specific,108,0.04529019072651863
43,6677, knowledge,109,0.08666078746318817
44,315, of,110,0.07333257794380188
45,96406, Staten,111,0.057674601674079895
46,10951, Island,112,0.0717553198337555
47,596,'s,113,0.06784031540155411
48,54242, geography,114,0.06798623502254486
49,627,".
",115,0.1577211171388626
50,17,2,116,0.0326993502676487
51,13,.,117,0.020432379096746445
52,3146, **,118,0.09090287238359451
53,35,D,119,0.09082886576652527
54,25296,etermine,120,0.07729235291481018
55,279, the,121,0.09020961821079254
56,29079, spatial,122,0.08619242161512375
57,5133, relationship,123,0.176780566573143
58,96618,**:,124,0.14627578854560852
59,9843, Once,125,0.060834065079689026
60,279, the,126,0.07421114295721054
61,10687, locations,127,0.10618648678064346
62,527, are,128,0.43320339918136597
63,11054, identified,129,0.17737452685832977
64,11,",",130,0.14420466125011444
65,584, we,131,0.06685283035039902
66,1205, need,132,0.05882975459098816
67,311, to,133,0.04778566211462021
68,8417, determine,134,0.08646715432405472
69,422, if,135,0.08314193785190582
70,80715, SOUTH,136,0.07662377506494522
71,356, C,137,0.07146444916725159
72,1623,LO,138,0.08469208329916
73,4592,VE,139,0.08132993429899216
74,83293, ROAD,140,0.029176391661167145
75,356, C,141,0.05476197227835655
76,2783,EM,142,-0.00967179611325264
77,1372,ET,143,0.052655141800642014
78,13977,ERY,144,0.056936152279376984
79,374, is,145,0.0718635618686676
80,13118, indeed,146,0.0677281990647316
81,10007, south,147,0.060762569308280945
82,315, of,148,0.08511620759963989
83,32074, LAB,149,0.09300089627504349
84,1372,ET,150,0.11484026163816452
85,27712,TI,151,0.02056880295276642
86,13165, POST,152,0.08568687736988068
87,650, V,153,0.05592557042837143
88,18723,FW,154,0.05849025025963783
89,13,.,155,0.05267000198364258
90,1115, This,156,0.053678132593631744
91,18065, involves,157,0.05287861078977585
92,8830, understanding,158,0.08346041291952133
93,279, the,159,0.06576567143201828
94,6932, layout,160,0.08423104137182236
95,315, of,161,0.14716337621212006
96,96406, Staten,162,0.0624418705701828
97,10951, Island,163,0.07971280068159103
98,323, and,164,0.06940358132123947
99,279, the,165,0.08345461636781693
100,8844, relative,166,0.0840097963809967
101,10093, positions,167,0.11745639890432358
102,315, of,168,0.2560306787490845
103,1521, these,169,0.09248700737953186
104,10687, locations,170,0.10332982987165451
105,627,".
",171,0.3314315378665924
106,18,3,172,0.026324620470404625
107,13,.,173,0.023942304775118828
108,3146, **,174,0.025874605402350426
109,38275,Consider,175,0.07247085869312286
110,54001, geographical,176,0.07870108634233475
111,4519, features,177,0.14391812682151794
112,96618,**:,178,0.10731910914182663
113,96406, Staten,179,0.06408670544624329
114,10951, Island,180,0.06892959028482437
115,374, is,181,0.0689370185136795
116,264, a,182,0.020280830562114716
117,66841, borough,183,0.017715830355882645
118,315, of,184,0.0390300415456295
119,1561, New,185,0.016470784321427345
120,4356, York,186,0.04167569801211357
121,4409, City,187,0.04485158622264862
122,11,",",188,0.03479515761137009
123,323, and,189,0.03748480603098869
