generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,8468,Step,65,-0.00034620147198438644
1,220, ,66,-0.009654885157942772
2,16,1,67,-0.013684135861694813
3,25,:,68,-0.02418632060289383
4,31001, Determine,69,0.04132772982120514
5,279, the,70,0.04432515427470207
6,4325, age,71,0.07899874448776245
7,315, of,72,0.026493094861507416
8,386, M,73,0.0008824807591736317
9,18382,år,74,-0.029860127717256546
10,2002,ten,75,-0.022837061434984207
11,12639, Tri,76,0.0013965999241918325
12,365,ew,77,-0.017678797245025635
13,4852,ald,78,-0.022381139919161797
14,520, at,79,0.028800273314118385
15,872, their,80,0.020148178562521935
16,892, time,81,0.017457490786910057
17,315, of,82,0.0063848355785012245
18,4648, death,83,0.008215973153710365
19,627,".
",84,0.00017821032088249922
20,44,M,85,-0.01152427215129137
21,18382,år,86,-0.03326740488409996
22,2002,ten,87,0.005478535778820515
23,12639, Tri,88,0.008875410072505474
24,365,ew,89,-0.0020849956199526787
25,4852,ald,90,-0.014429976232349873
26,8636, died,91,0.041922055184841156
27,304, in,92,-0.0112200528383255
28,220, ,93,-0.019589200615882874
29,11771,174,94,0.016323065385222435
30,22,7,95,0.014870870858430862
31,520, at,96,-0.009094377048313618
32,279, the,97,0.030284840613603592
33,4325, age,98,0.041372448205947876
34,315, of,99,-0.021608488634228706
35,220, ,100,0.01655261591076851
36,2131,55,101,0.017985284328460693
37,627,".
",102,0.0062682004645466805
38,8468,Step,103,-0.017426734790205956
39,220, ,104,-0.01492429431527853
40,17,2,105,0.031307898461818695
41,25,:,106,-0.02338499389588833
42,31001, Determine,107,-0.00024257716722786427
43,279, the,108,0.008599009364843369
44,4325, age,109,0.06045292317867279
45,315, of,110,0.02877642586827278
46,15274, Charles,111,-0.017168911173939705
47,14767, III,112,-0.0197914931923151
48,315, of,113,-0.007054582238197327
49,83721, Naples,114,-0.0028198661748319864
50,520, at,115,0.008485723286867142
51,872, their,116,-0.00037308549508452415
52,892, time,117,0.013494876213371754
53,315, of,118,0.01829531602561474
54,4648, death,119,0.022582726553082466
55,627,".
",120,0.0005103510338813066
56,54567,Charles,121,0.014025836251676083
57,14767, III,122,-0.00026848167181015015
58,315, of,123,0.01516702026128769
59,83721, Naples,124,0.00452451454475522
60,8636, died,125,0.04127884656190872
61,304, in,126,-0.0031114278826862574
62,220, ,127,0.012031745165586472
63,11256,178,128,0.020736495032906532
64,23,8,129,0.010927368886768818
65,520, at,130,0.006457183044403791
66,279, the,131,0.04444155842065811
67,4325, age,132,0.012410125695168972
68,315, of,133,-0.01931813918054104
69,220, ,134,0.022491302341222763
70,5332,72,135,0.03420315682888031
71,627,".
",136,0.011281965300440788
72,8468,Step,137,-0.009466283023357391
73,220, ,138,-0.014264483004808426
74,18,3,139,-0.01421594899147749
75,25,:,140,-0.015098671428859234
76,24702, Compare,141,-0.008280105888843536
77,279, the,142,0.014075330458581448
78,17051, ages,143,0.040594980120658875
79,315, of,144,0.02744203619658947
80,279, the,145,0.0016401768662035465
81,1403, two,146,0.015915174037218094
82,13970, historical,147,0.013253404758870602
83,12678, figures,148,-0.017500802874565125
84,520, at,149,0.033069025725126266
85,872, their,150,0.018089812248945236
86,892, time,151,0.024469217285513878
87,315, of,152,0.007347352337092161
88,4648, death,153,0.015826473012566566
89,627,".
",154,-0.009157433174550533
90,12834,Since,155,-0.009276343509554863
91,220, ,156,-0.010667848400771618
92,2131,55,157,-0.0188828743994236
93,374, is,158,0.0072576128877699375
94,2753, less,159,-0.0007654465734958649
95,1109, than,160,-0.008755824528634548
96,220, ,161,-0.010613348335027695
97,5332,72,162,-0.01344333030283451
98,11,",",163,-0.01088298112154007
99,386, M,164,-0.015507180243730545
100,18382,år,165,-0.02959304302930832
101,2002,ten,166,0.011778490617871284
102,12639, Tri,167,-0.013221150264143944
103,365,ew,168,-0.02811942622065544
104,4852,ald,169,-0.02664586901664734
105,574, was,170,0.029378265142440796
106,13118, indeed,171,0.01024239044636488
107,14992, younger,172,0.008992303162813187
108,520, at,173,0.021344488486647606
109,872, their,174,0.008679674938321114
110,892, time,175,0.022765161469578743
111,315, of,176,0.002997706877067685
112,4648, death,177,0.010602067224681377
113,1109, than,178,-0.010499903932213783
114,15274, Charles,179,-0.0031646054703742266
115,14767, III,180,-0.03117835335433483
116,315, of,181,-0.019144393503665924
117,83721, Naples,182,-0.009199807420372963
118,520, at,183,-0.01322464644908905
119,872, their,184,0.00021129241213202477
120,892, time,185,0.023219197988510132
121,315, of,186,0.01320060808211565
122,4648, death,187,-0.016168151050806046
123,382,".

",188,-0.031132332980632782
124,791,The,189,-0.027756763622164726
125,1620, final,190,-0.014297661371529102
126,4320, answer,191,-0.01513739489018917
127,374, is,192,-0.004227159544825554
128,25,:,193,-0.01692943647503853
129,59060, $\,194,-0.015452262945473194
130,80175,boxed,195,-0.008202318102121353
131,90,{,196,-0.0036346199922263622
132,14331,YES,197,0.0018433933146297932
133,32816,}$,198,-0.010790265165269375
134,128009,<|eot_id|>,199,-0.013746587559580803
