generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,72,0.010883362032473087
1,4320, answer,73,0.006605890579521656
2,420, this,74,-0.013276982121169567
3,3488, question,75,0.023492589592933655
4,11,",",76,0.004109106492251158
5,584, we,77,0.007086435332894325
6,1205, need,78,0.00880761444568634
7,311, to,79,0.01749049499630928
8,1440, know,80,0.058105915784835815
9,279, the,81,0.1437421292066574
10,1396, number,82,0.3086200952529907
11,315, of,83,0.16862519085407257
12,6959, pages,84,0.2574661672115326
13,315, of,85,0.19447407126426697
14,1855, each,86,0.08003385365009308
15,2363, book,87,0.11314281076192856
16,382,".

",88,0.08243374526500702
17,567,##,89,0.048231061547994614
18,15166, Step,90,0.011753466911613941
19,220, ,91,-0.02593177743256092
20,16,1,92,0.14450816810131073
21,25,:,93,0.001797766424715519
22,31001, Determine,94,0.06919662654399872
23,279, the,95,0.09207814931869507
24,2199, page,96,0.1871344894170761
25,1797, count,97,0.182747483253479
26,315, of,98,0.07912249863147736
27,25961, Say,99,0.03560059145092964
28,12334, Nothing,100,-0.00540900370106101
29,25,:,101,0.05031522363424301
30,362, A,102,0.015379517339169979
31,3082, True,103,0.04834365099668503
32,15457, Story,104,0.009788494557142258
33,315, of,105,-0.023728514090180397
34,52483, Murder,106,0.1721874475479126
35,323, and,107,-0.027269553393125534
36,14171, Memory,108,-0.03659173473715782
37,304, in,109,-0.007464845199137926
38,17355, Northern,110,0.11902233213186264
39,14990, Ireland,111,-0.03069452941417694
40,555, by,112,0.06656476855278015
41,20199, Patrick,113,0.038854654878377914
42,432, R,114,-0.013095113448798656
43,71195,adden,115,-0.03647053614258766
44,6706, Ke,116,-0.01421160064637661
45,46053,efe,117,-0.019886014983057976
46,627,".
",118,0.07479552179574966
47,791,The,119,0.08662371337413788
48,2199, page,120,0.15001320838928223
49,1797, count,121,0.1609797477722168
50,369, for,122,0.09947521984577179
51,25961, Say,123,0.11768385022878647
52,12334, Nothing,124,-0.0010215167421847582
53,25,:,125,0.09722190350294113
54,362, A,126,0.018048081547021866
55,3082, True,127,0.09847486019134521
56,15457, Story,128,0.07440295070409775
57,315, of,129,-0.02273775264620781
58,52483, Murder,130,-0.020880945026874542
59,323, and,131,0.08711379766464233
60,14171, Memory,132,-0.03706488385796547
61,304, in,133,0.0009289395529776812
62,17355, Northern,134,0.0826123058795929
63,14990, Ireland,135,-0.005942440126091242
64,555, by,136,0.10553712397813797
65,20199, Patrick,137,0.027234770357608795
66,432, R,138,0.01495719701051712
67,71195,adden,139,0.060285136103630066
68,6706, Ke,140,-0.020244350656867027
69,46053,efe,141,0.0014323894865810871
70,374, is,142,0.11718492209911346
71,220, ,143,0.10996121168136597
72,19956,448,144,0.08083008229732513
73,6959, pages,145,0.1379704475402832
74,382,".

",146,0.13793981075286865
75,567,##,147,-0.01845642738044262
76,15166, Step,148,-0.007012791000306606
77,220, ,149,-0.039863549172878265
78,17,2,150,0.10286445915699005
79,25,:,151,-0.0056253960356116295
80,31001, Determine,152,0.017605293542146683
81,279, the,153,0.023878978565335274
82,2199, page,154,0.1268911212682724
83,1797, count,155,0.13643142580986023
84,315, of,156,0.05648328363895416
85,578, The,157,-0.002530383411794901
86,8681, Great,158,-0.02133391797542572
87,41960, Zoo,159,-0.015226580202579498
88,315, of,160,-0.00028483360074460506
89,5734, China,161,-0.002074366668239236
90,555, by,162,0.013510143384337425
91,19475, Matthew,163,0.004829174838960171
92,1050, Re,164,-0.01054538507014513
93,14722,illy,165,-0.006497710943222046
94,627,".
",166,0.011686693876981735
95,791,The,167,0.04606859013438225
96,2199, page,168,0.114535391330719
97,1797, count,169,0.17779460549354553
98,369, for,170,0.07624180614948273
99,578, The,171,0.036272432655096054
100,8681, Great,172,0.0390373058617115
101,41960, Zoo,173,-0.009011090733110905
102,315, of,174,-0.02259460836648941
103,5734, China,175,0.038558684289455414
104,555, by,176,0.06601884961128235
105,19475, Matthew,177,0.013591110706329346
106,1050, Re,178,0.09140214323997498
107,14722,illy,179,0.0004533084575086832
108,374, is,180,0.09957537800073624
109,220, ,181,0.11410284042358398
110,17763,416,182,0.10600797832012177
111,6959, pages,183,0.0945182666182518
112,382,".

",184,0.05459216982126236
113,567,##,185,0.002997997682541609
114,15166, Step,186,0.05237516015768051
115,220, ,187,-0.012801224365830421
116,18,3,188,0.07615596801042557
117,25,:,189,0.0014005471020936966
118,24702, Compare,190,0.024574393406510353
119,279, the,191,0.04808077961206436
120,2199, page,192,0.13012509047985077
121,14921, counts,193,0.11205224692821503
122,311, to,194,0.03571489453315735
123,8417, determine,195,0.005498714745044708
124,902, which,196,0.0715521052479744
125,2363, book,197,0.12143665552139282
126,374, is,198,0.17288649082183838
127,5129, longer,199,0.18452495336532593
128,627,".
",200,0.1007978543639183
129,1383,By,201,0.027549024671316147
130,27393, comparing,202,0.02097940444946289
131,279, the,203,0.03785061091184616
132,2199, page,204,0.09254539012908936
133,14921, counts,205,0.09148750454187393
134,11,",",206,0.03275611251592636
135,584, we,207,0.02015180140733719
136,649, can,208,0.005615490488708019
137,1518, see,209,0.010766229592263699
138,430, that,210,0.017168723046779633
139,25961, Say,211,0.07583755254745483
140,12334, Nothing,212,0.004446940030902624
141,706, has,213,0.11691109836101532
142,220, ,214,0.15615779161453247
143,19956,448,215,0.0013154837070032954
144,6959, pages,216,0.10041991621255875
145,323, and,217,0.06732550263404846
146,578, The,218,0.040994323790073395
147,8681, Great,219,0.000902402913197875
148,41960, Zoo,220,-0.02892760932445526
149,315, of,221,0.01581226848065853
150,5734, China,222,-0.02841317467391491
151,706, has,223,0.09585163742303848
152,220, ,224,0.05089791119098663
153,17763,416,225,-0.017185820266604424
154,6959, pages,226,0.04637501388788223
155,382,".

",227,0.008929825387895107
156,567,##,228,-0.009292783215641975
157,15166, Step,229,0.002260335721075535
158,220, ,230,-0.01966315507888794
159,19,4,231,0.05559326335787773
160,25,:,232,-0.008766625076532364
161,74977, Conclusion,233,0.002703685313463211
162,3196, based,234,-0.011953428387641907
163,389, on,235,-0.01329244114458561
164,12593, comparison,236,0.04471009969711304
165,627,".
",237,-0.011751869693398476
166,12834,Since,238,0.009733371436595917
167,220, ,239,0.04813435673713684
168,19956,448,240,0.009778192266821861
169,6959, pages,241,0.05999507009983063
170,374, is,242,0.0865488201379776
171,7191, greater,243,0.06843046098947525
172,1109, than,244,0.031178103759884834
173,220, ,245,0.027624094858765602
174,17763,416,246,-0.023545898497104645
175,6959, pages,247,0.052448123693466187
176,11,",",248,0.02292793244123459
177,25961, Say,249,0.024577273055911064
178,12334, Nothing,250,-0.006898632273077965
179,25,:,251,0.08957303315401077
180,362, A,252,-0.001268536550924182
181,3082, True,253,-0.015234692022204399
182,15457, Story,254,0.04275962710380554
183,315, of,255,-0.021146733313798904
184,52483, Murder,256,-0.004798779264092445
185,323, and,257,-0.007245996035635471
186,14171, Memory,258,-0.04614720121026039
187,304, in,259,-0.004975102376192808
188,17355, Northern,260,0.01971435733139515
189,14990, Ireland,261,-0.030990950763225555
190,374, is,262,0.1165197417140007
191,5129, longer,263,0.11945226788520813
192,1109, than,264,0.09708496928215027
193,578, The,265,0.017382614314556122
194,8681, Great,266,-0.010145289823412895
195,41960, Zoo,267,-0.022471683099865913
196,315, of,268,-0.013282639905810356
197,5734, China,269,-0.019896771758794785
198,382,".

",270,0.04265335574746132
199,791,The,271,-0.010373231023550034
200,1620, final,272,-0.006873908452689648
201,4320, answer,273,-0.00554615817964077
202,374, is,274,0.01159580983221531
203,25,:,275,0.006256794556975365
204,59060, $\,276,0.008072884753346443
205,80175,boxed,277,0.016608262434601784
206,90,{,278,0.04954409599304199
207,14331,YES,279,0.026629533618688583
208,32816,}$,280,0.026336487382650375
209,128009,<|eot_id|>,281,-0.0010165818966925144
