generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,54,-0.006874689366668463
1,4320, answer,55,0.004610385280102491
2,420, this,56,0.001509395893663168
3,3488, question,57,-0.011142566800117493
4,11,",",58,-0.016293704509735107
5,584, we,59,0.002534795319661498
6,1205, need,60,-0.00048380508087575436
7,311, to,61,0.016385866329073906
8,1440, know,62,0.0641828328371048
9,279, the,63,0.09985616058111191
10,10345, lif,64,0.170674130320549
11,25632,esp,65,0.18576675653457642
12,598,ans,66,-0.006953899748623371
13,315, of,67,0.06901606917381287
14,2225, both,68,-0.0036826333962380886
15,9085, �,69,0.003992327023297548
16,243,�,70,-0.015789736062288284
17,255,�,71,-0.02134273760020733
18,24273,方,72,-0.03398294001817703
19,50667,等,73,-0.02521727979183197
20,320, (,74,0.00490938313305378
21,55,X,75,-0.0037613604217767715
22,23332,iao,76,0.0012357989326119423
23,59027, Fang,77,-0.021875223144888878
24,7113,ding,78,0.003408930730074644
25,8,),79,-0.0031589437276124954
26,323, and,80,-0.0014573842054232955
27,362, A,81,-0.010581757873296738
28,8115,ali,82,-0.021837767213582993
29,95780,yah,83,-0.004362340085208416
30,382,".

",84,0.0018349739257246256
31,109304,�,85,0.012467052787542343
32,255,�,86,-0.025462035089731216
33,24273,方,87,-0.03310445323586464
34,50667,等,88,-0.0029699616134166718
35,320, (,89,0.06589126586914062
36,55,X,90,0.002193000167608261
37,23332,iao,91,-0.02692960947751999
38,59027, Fang,92,-0.026048963889479637
39,7113,ding,93,-0.032348357141017914
40,8,),94,0.00956836435943842
41,574, was,95,0.06995516270399094
42,264, a,96,0.02957262471318245
43,8620, Chinese,97,0.0003582397475838661
44,37038, politician,98,0.0008937390521168709
45,889, who,99,0.031966909766197205
46,12439, lived,100,0.08133536577224731
47,2391, during,101,0.0618305467069149
48,279, the,102,0.022637106478214264
49,41462, Tang,103,0.023758986964821815
50,74495, Dynasty,104,0.019258789718151093
51,13,.,105,0.012284715659916401
52,10771, According,106,0.01543112751096487
53,311, to,107,-0.04395323991775513
54,13970, historical,108,0.0068406593054533005
55,7576, records,109,0.002818525303155184
56,11,",",110,-0.015232053585350513
57,568, he,111,0.011348561383783817
58,574, was,112,0.07321345806121826
59,9405, born,113,0.03289493918418884
60,304, in,114,0.0077186147682368755
61,220, ,115,-0.012099985964596272
62,24847,579,116,-0.003168256487697363
63,9827, AD,117,-0.005329380743205547
64,323, and,118,0.014447475783526897
65,8636, died,119,0.0536939837038517
66,304, in,120,0.0025117723271250725
67,220, ,121,0.0017494481289759278
68,23802,648,122,0.012383835390210152
69,9827, AD,123,-0.005034950561821461
70,11,",",124,0.05730637535452843
