generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,67,-0.018557023257017136
1,8417, determine,68,0.025104478001594543
2,422, if,69,0.07487113773822784
3,3680, RE,70,0.025962546467781067
4,11052,FORM,71,0.006077902391552925
5,1507,ED,72,0.0037061278708279133
6,6969, CH,73,0.010023415088653564
7,1539,UR,74,-0.00028419122099876404
8,2198,CH,75,0.021268032491207123
9,31648, SI,76,0.022125212475657463
10,11,",",77,0.041168272495269775
11,96406, Staten,78,0.02733105607330799
12,10951, Island,79,0.015373524278402328
13,374, is,80,0.053790438920259476
14,7559, located,81,0.1790166199207306
15,10007, south,82,0.17804840207099915
16,315, of,83,0.13521328568458557
17,18505, MARK,84,0.021563639864325523
18,74593,HAM,85,0.011619273573160172
19,480, G,86,0.015479383058845997
20,7527,ARD,87,0.0011517599923536181
21,20982,ENS,88,0.06862375885248184
22,48797, BUILD,89,0.025826916098594666
23,1753,ING,90,0.0004130374873057008
24,220, ,91,0.029227806255221367
25,605,10,92,0.07106722146272659
26,11,",",93,0.009207965806126595
27,96406, Staten,94,-0.0005313390865921974
28,10951, Island,95,0.028918582946062088
29,11,",",96,0.007011068984866142
30,584, we,97,0.0134256761521101
31,1205, need,98,0.0033395905047655106
32,311, to,99,0.010896364226937294
33,2980, consider,100,0.039201974868774414
34,872, their,101,0.09188428521156311
35,54001, geographical,102,0.08781630545854568
36,10687, locations,103,0.0568581260740757
37,382,".

",104,0.02376575395464897
38,16,1,105,0.009907776489853859
39,13,.,106,-0.011633707210421562
40,3146, **,107,0.049806345254182816
41,29401,Ident,108,0.07098028063774109
42,1463,ify,109,0.0020966054871678352
43,42569, Locations,110,0.07322588562965393
44,96618,**:,111,0.015665655955672264
45,5629, First,112,0.01623506471514702
46,11,",",113,-0.01914345659315586
47,584, we,114,0.019080711528658867
48,1205, need,115,0.005442956928163767
49,311, to,116,-0.008187253959476948
50,10765, identify,117,0.03576388210058212
51,279, the,118,0.057412613183259964
52,4839, exact,119,0.09224989265203476
53,10687, locations,120,0.05127747729420662
54,315, of,121,0.00327437580563128
55,2225, both,122,0.011234466917812824
56,3680, RE,123,0.013873239979147911
57,11052,FORM,124,0.0003635929897427559
58,1507,ED,125,-0.004938015714287758
59,6969, CH,126,0.0016964464448392391
60,1539,UR,127,0.0005604614270851016
61,2198,CH,128,0.0029104086570441723
62,31648, SI,129,0.018560035154223442
63,323, and,130,0.02431309223175049
64,18505, MARK,131,0.015131679363548756
65,74593,HAM,132,0.015619569458067417
66,480, G,133,0.008320344612002373
67,7527,ARD,134,0.3146996796131134
68,20982,ENS,135,0.14377820491790771
69,48797, BUILD,136,0.018447190523147583
70,1753,ING,137,0.01593409664928913
71,220, ,138,0.027946945279836655
72,605,10,139,-0.018636927008628845
73,389, on,140,0.022143615409731865
74,96406, Staten,141,0.026147931814193726
75,10951, Island,142,0.0383872427046299
76,13,.,143,0.016286684200167656
77,1115, This,144,0.021349770948290825
78,18065, involves,145,-0.0002422933466732502
79,9455, finding,146,0.03298499435186386
80,872, their,147,0.06953251361846924
81,14564, addresses,148,0.08611135184764862
82,477, or,149,0.018941812217235565
83,54001, geographical,150,0.05621077120304108
84,14259, coordinates,151,0.054219283163547516
85,382,".

",152,0.04606445133686066
86,17,2,153,-0.010205667465925217
87,13,.,154,-0.014796463772654533
88,3146, **,155,0.0884781926870346
89,28474,Compare,156,0.09456820785999298
90,76483, Positions,157,0.1552705317735672
91,96618,**:,158,0.14348582923412323
92,9843, Once,159,0.039416246116161346
93,584, we,160,0.01758149266242981
94,617, have,161,0.0020437072962522507
95,279, the,162,0.018597882241010666
96,10687, locations,163,0.05047603324055672
97,11,",",164,-0.002189306076616049
98,584, we,165,0.03081022948026657
99,9616, compare,166,0.025332283228635788
100,872, their,167,0.09200337529182434
101,10093, positions,168,0.17440994083881378
102,8844, relative,169,0.1581178605556488
103,311, to,170,0.07560594379901886
104,1855, each,171,0.22028690576553345
105,1023, other,172,0.005618723575025797
106,11,",",173,0.18339034914970398
107,11951, specifically,174,0.11363428831100464
108,21760, focusing,175,0.12586668133735657
109,389, on,176,0.057985853403806686
110,872, their,177,0.23789335787296295
111,6987, lat,178,0.25332924723625183
112,21237,itudes,179,0.11319611221551895
113,311, to,180,0.11212548613548279
114,8417, determine,181,0.11342599987983704
115,902, which,182,0.20166237652301788
116,832, one,183,0.17879679799079895
117,374, is,184,0.24320559203624725
118,10007, south,185,0.3359617590904236
119,315, of,186,0.14882278442382812
120,279, the,187,0.07139697670936584
121,1023, other,188,0.0724925771355629
122,13,.,189,0.06450310349464417
123,763, In,190,0.10986378788948059
124,4689, general,191,0.11884480714797974
125,11,",",192,0.05913427472114563
126,279, the,193,0.11683209240436554
127,43726, farther,194,0.1120755597949028
128,10007, south,195,0.1970963180065155
129,264, a,196,0.09003248810768127
130,3813, location,197,0.06670264154672623
131,374, is,198,0.05188465118408203
132,11,",",199,0.05829549953341484
