generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,56,-0.0049777282401919365
1,4320, answer,57,0.0017017479985952377
2,420, this,58,-0.002614980563521385
3,3488, question,59,-0.013021783903241158
4,11,",",60,-0.017172057181596756
5,584, we,61,0.00926286168396473
6,1205, need,62,-0.001934373052790761
7,311, to,63,0.016856178641319275
8,1440, know,64,0.05977987125515938
9,279, the,65,0.11184419691562653
10,10345, lif,66,0.19504281878471375
11,25632,esp,67,0.1893438845872879
12,598,ans,68,-0.017641756683588028
13,315, of,69,0.06707088649272919
14,101003, 유,70,-0.0009236910264007747
15,60861,개,71,-0.01861543208360672
16,80732,명,72,-0.013852731324732304
17,323, and,73,-0.001959738787263632
18,364, ',74,-0.027859533205628395
19,1453,Im,75,-0.0250651016831398
20,329,ad,76,-0.019397974014282227
21,453, al,77,-0.0184114258736372
22,9607,-D,78,0.010896326042711735
23,675,aw,79,-0.026341501623392105
24,4355,la,80,0.1746242493391037
25,13,.,81,0.0038652278017252684
26,4815," 

",82,-0.004211336374282837
27,101314,유,83,0.00149567611515522
28,60861,개,84,-0.022780554369091988
29,80732,명,85,-0.019577333703637123
30,320, (,86,0.08184955269098282
31,19171,also,87,0.006218442227691412
32,3967, known,88,-0.004123162943869829
33,439, as,89,-0.02223787270486355
34,28372, Yu,90,-0.0022393986582756042
35,480, G,91,-0.0034744413569569588
36,6043,ae,92,0.012256203219294548
37,1474,-m,93,-0.005274634808301926
38,9188,ye,94,-0.005549473222345114
39,647,ong,95,0.0023285257630050182
40,477, or,96,0.012203417718410492
41,28372, Yu,97,-0.003028945531696081
42,23109, Ka,98,-0.009496272541582584
43,1474,-m,99,-0.002214668784290552
44,9188,ye,100,0.010767481289803982
45,647,ong,101,0.0080162538215518
46,8,),102,0.006424564402550459
47,574, was,103,0.0709809884428978
48,264, a,104,0.024316200986504555
49,16526, Korean,105,-0.0014351308345794678
50,4689, general,106,0.008105204440653324
51,2391, during,107,0.016807308420538902
52,279, the,108,0.011498020961880684
53,480, G,109,0.025396309792995453
54,540,og,110,0.013433323241770267
55,3431,ury,111,0.010349320247769356
56,25634,eo,112,0.01681152917444706
57,11639, era,113,0.02579992450773716
58,11,",",114,0.013352847658097744
59,323, and,115,0.04225684329867363
60,364, ',116,0.02750125154852867
61,1453,Im,117,-0.02947867289185524
62,329,ad,118,-0.021599438041448593
63,453, al,119,-0.005256790202111006
64,9607,-D,120,-0.006856691557914019
65,675,aw,121,-0.032098062336444855
66,4355,la,122,0.0029630628414452076
67,574, was,123,0.01158191729336977
68,264, a,124,0.0035544075071811676
69,11544, Buy,125,0.0031361805740743876
70,307,id,126,0.005904652178287506
71,991, em,127,-0.009181438013911247
72,404,ir,128,0.0024445366580039263
73,13,.,129,0.011785309761762619
74,4815," 

",130,0.004661666229367256
75,791,The,131,0.007749083451926708
76,61961, lifespan,132,0.11315712332725525
77,315, of,133,0.07100336253643036
78,101003, 유,134,-0.013321478851139545
79,60861,개,135,-0.024537529796361923
80,80732,명,136,-0.018512826412916183
81,374, is,137,0.03428736329078674
82,539, not,138,0.011422403156757355
83,1664, well,139,0.0034272889606654644
84,1773,-d,140,0.006316356360912323
85,37784,ocumented,141,-0.020746856927871704
86,304, in,142,-0.012946552596986294
87,13970, historical,143,-0.003922407515347004
88,7576, records,144,-0.010490944609045982
89,11,",",145,-0.037479378283023834
90,719, but,146,-0.02170644700527191
91,433, it,147,0.009647652506828308
92,374, is,148,0.0113977724686265
93,3967, known,149,0.003651013597846031
94,430, that,150,0.022484030574560165
95,568, he,151,0.017701542004942894
96,12439, lived,152,0.07062935829162598
97,2391, during,153,0.039010073989629745
98,279, the,154,0.011128576472401619
99,220, ,155,0.031057914718985558
100,22,7,156,-0.0026306190993636847
101,339,th,157,-0.0016286864411085844
102,9478, century,158,0.00499693863093853
103,13,.,159,-0.00011660135351121426
104,4815," 

",160,-0.009138274006545544
105,6,',161,-0.0003514362615533173
106,1453,Im,162,-0.018933719024062157
107,329,ad,163,-0.0054962001740932465
108,453, al,164,9.149982361122966e-05
109,9607,-D,165,-0.00708464439958334
110,675,aw,166,0.15751075744628906
111,4355,la,167,-0.015271021053195
112,11,",",168,0.07021791487932205
113,389, on,169,-0.0015978829469531775
114,279, the,170,0.008528079837560654
115,1023, other,171,-0.010091778822243214
116,1450, hand,172,-0.02774766832590103
117,11,",",173,0.003562272759154439
118,12439, lived,174,0.10311766713857651
119,505, from,175,0.09429392963647842
120,220, ,176,-0.008144120685756207
121,24962,891,177,-0.001309688901528716
122,311, to,178,-0.002478282433003187
123,220, ,179,-0.0022065420635044575
124,24680,949,180,0.005690768361091614
125,27809, CE,181,0.01425187662243843
126,13,.,182,0.003740768413990736
127,4815," 

",183,0.006894306279718876
128,22818,Given,184,-0.013601930812001228
129,279, the,185,0.006753760855644941
130,6996, lack,186,0.05565235763788223
131,315, of,187,-0.007764753885567188
132,3230, specific,188,0.014070672914385796
133,2038, information,189,0.052962303161621094
134,389, on,190,0.02437029592692852
135,101003, 유,191,0.08729057013988495
136,60861,개,192,-0.018105363473296165
137,80732,명,193,0.03679154813289642
138,596,'s,194,0.0649876520037651
139,7342, birth,195,0.16592544317245483
140,323, and,196,0.03464105352759361
141,4648, death,197,0.07375411689281464
142,13003, dates,198,0.020092055201530457
143,11,",",199,-0.013938279822468758
144,433, it,200,-0.007287492044270039
145,596,'s,201,-0.011856459081172943
146,17436, challenging,202,-0.018579047173261642
147,311, to,203,-0.020014645531773567
148,1304, make,204,0.029037276282906532
149,264, a,205,0.008931338787078857
150,2167, direct,206,0.008636707440018654
151,12593, comparison,207,0.05462487041950226
152,13,.,208,0.06516685336828232
153,4452, However,209,-0.022069783881306648
154,11,",",210,-0.037422917783260345
155,13126, considering,211,0.0035506580024957657
156,430, that,212,0.027542633935809135
157,101003, 유,213,0.013565710745751858
