generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,75,-0.017196334898471832
1,4320, answer,76,0.02341899648308754
2,420, this,77,0.008498944342136383
3,3488, question,78,-0.0034162120427936316
4,11,",",79,-0.008455751463770866
5,358, I,80,-0.006042660214006901
6,1053, would,81,-0.0038063442334532738
7,1205, need,82,0.0026541799306869507
8,311, to,83,0.0018876087851822376
9,1833, follow,84,0.03459623083472252
10,1521, these,85,0.004440313205122948
11,7504, steps,86,0.005674051586538553
12,1473,":

",87,-0.011355959810316563
13,16,1,88,-0.016453467309474945
14,13,.,89,-0.014177192002534866
15,3146, **,90,0.024129163473844528
16,29401,Ident,91,0.0254228338599205
17,1463,ify,92,0.00241693202406168
18,279, the,93,0.04766753315925598
19,10687, locations,94,0.058933909982442856
20,96618,**:,95,0.012326693162322044
21,578, The,96,0.000690203276462853
22,1176, first,97,0.004918181803077459
23,3094, step,98,-0.01733696088194847
24,374, is,99,-0.01692427136003971
25,311, to,100,-0.011341632343828678
26,10765, identify,101,0.017500534653663635
27,279, the,102,0.015671463683247566
28,1403, two,103,0.029587743803858757
29,10687, locations,104,0.007174969185143709
30,9932, mentioned,105,-0.008463256061077118
31,304, in,106,-0.001570266205817461
32,279, the,107,0.006089430768042803
33,3488, question,108,0.002950637601315975
34,25,:,109,-0.008066896349191666
35,32740, POL,110,0.01113099604845047
36,5604,ICE,111,0.0027714623138308525
37,88189, ATH,112,0.0029635541141033173
38,21419,LET,113,0.0035618015099316835
39,1341,IC,114,0.04893696308135986
40,11396, LE,115,0.004060356877744198
41,1929,AG,116,-0.008162997663021088
42,2279,UE,117,0.009741841815412045
43,468, W,118,0.008196279406547546
44,56,Y,119,0.022916898131370544
45,9944,NN,120,0.01345010008662939
46,67092, CENTER,121,0.008854900486767292
47,323, and,122,0.01309625618159771
48,98738, SIX,123,0.023223958909511566
49,2505,TE,124,0.022355247288942337
50,965,EN,125,0.2570692002773285
51,16466, SY,126,0.030627869069576263
52,49413,CAM,127,0.023400118574500084
53,6005,ORE,128,-0.012023808434605598
54,50,S,129,0.01859467290341854
55,43088, PLAY,130,0.012718630954623222
56,32787,GROUND,131,0.009379364550113678
