generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,64,0.03194674849510193
1,8417, determine,65,0.04671454802155495
2,422, if,66,0.06104038655757904
3,2006, IN,67,0.06668552756309509
4,96778,DEPEND,68,0.0917675644159317
5,10360,ENCE,69,0.05333048105239868
6,67384, PARK,70,0.04297783970832825
7,11,",",71,0.09113439917564392
8,96406, Staten,72,0.08371759206056595
9,10951, Island,73,0.03758695349097252
10,374, is,74,0.06669311225414276
11,7559, located,75,0.0754164308309555
12,10007, south,76,0.3057291507720947
13,315, of,77,0.0963892936706543
14,11659, PS,78,0.08482783287763596
15,220, ,79,0.07024551182985306
16,806,11,80,0.07670945674180984
17,4534, TH,81,0.05307774618268013
18,1937,OM,82,0.06292525678873062
19,1950,AS,83,0.0605771541595459
20,423, D,84,0.05563277751207352
21,7691,ONG,85,0.03496744856238365
22,1111,AN,86,0.056204475462436676
23,11,",",87,0.0491967648267746
24,96406, Staten,88,0.04826826602220535
25,10951, Island,89,0.10149488598108292
26,11,",",90,0.05521290749311447
27,584, we,91,0.04394753649830818
28,1205, need,92,0.03283718228340149
29,311, to,93,0.05215130001306534
30,5813, establish,94,0.07109207659959793
31,279, the,95,0.08979690819978714
32,54001, geographical,96,0.08353394269943237
33,10093, positions,97,0.17029434442520142
34,315, of,98,0.25552934408187866
35,2225, both,99,0.12316706031560898
36,10687, locations,100,0.08488205075263977
37,382,".

",101,0.35957035422325134
38,16,1,102,0.03935669735074043
39,13,.,103,0.015981601551175117
40,3146, **,104,0.08220426738262177
41,29401,Ident,105,0.0808371752500534
42,1463,ify,106,0.08573022484779358
43,42569, Locations,107,0.11238066852092743
44,96618,**:,108,0.3562125265598297
45,720," 
",109,0.05423040688037872
46,256,  ,110,0.01435374841094017
47,482, -,111,0.01625562272965908
48,3146, **,112,0.07862074673175812
49,691,IN,113,0.07677170634269714
50,96778,DEPEND,114,0.07210950553417206
51,10360,ENCE,115,0.07194571942090988
52,67384, PARK,116,0.03251080960035324
53,11,",",117,0.0762016624212265
54,96406, Staten,118,0.07813307642936707
55,10951, Island,119,0.05204673483967781
56,96618,**:,120,0.07069685310125351
57,1115, This,121,0.06067609041929245
58,374, is,122,0.05690346285700798
59,264, a,123,0.05978226289153099
60,6246, park,124,0.04979131370782852
61,7559, located,125,0.06653761118650436
62,304, in,126,0.28530317544937134
63,96406, Staten,127,0.054547276347875595
64,10951, Island,128,0.045426513999700546
65,11,",",129,0.060511697083711624
66,832, one,130,0.03952446207404137
67,315, of,131,0.038655851036310196
68,279, the,132,0.023446612060070038
69,66841, borough,133,0.014926171861588955
70,82,s,134,0.1024036779999733
71,315, of,135,0.0437685027718544
72,1561, New,136,0.029925186187028885
73,4356, York,137,0.07737241685390472
74,4409, City,138,0.0767480656504631
75,627,".
",139,0.0909983441233635
76,256,  ,140,0.023528069257736206
77,482, -,141,0.012872462160885334
78,3146, **,142,0.053627826273441315
79,5119,PS,143,0.07719164341688156
80,220, ,144,0.05726572498679161
81,806,11,145,0.004513402469456196
82,4534, TH,146,0.042901210486888885
83,1937,OM,147,0.03669389709830284
84,1950,AS,148,0.024867486208677292
85,423, D,149,0.041337985545396805
86,7691,ONG,150,0.08016584068536758
87,1111,AN,151,0.02455836534500122
88,11,",",152,0.05129978060722351
89,96406, Staten,153,0.06295721232891083
90,10951, Island,154,0.03442152962088585
91,96618,**:,155,0.05409557744860649
92,1115, This,156,0.042357105761766434
93,19813, refers,157,0.043828051537275314
94,311, to,158,0.04280497506260872
95,264, a,159,0.02279800921678543
96,586, public,160,0.03841135650873184
97,2978, school,161,0.041210904717445374
98,320, (,162,0.05020079016685486
99,16352,Primary,163,0.04590608552098274
100,6150, School,164,0.011847724206745625
101,220, ,165,0.036563146859407425
102,806,11,166,0.03590760380029678
103,8,),167,0.03199423477053642
104,7086, named,168,0.03722585737705231
105,1306, after,169,0.04780595749616623
106,11355, Thomas,170,0.05082143098115921
107,53483, Dong,171,0.004229777492582798
108,276,an,172,-0.0015327980509027839
109,11,",",173,0.03962850570678711
110,7559, located,174,0.04542143642902374
111,304, in,175,0.24029654264450073
112,96406, Staten,176,0.07295885682106018
113,10951, Island,177,0.07971931993961334
114,382,".

",178,0.05386585369706154
115,17,2,179,0.03140178695321083
116,13,.,180,0.03739311546087265
117,3146, **,181,0.10272952169179916
118,9688,Ge,182,0.09980275481939316
119,32277,ographical,183,0.12194278091192245
120,55234, Orientation,184,0.15787044167518616
121,334,**,185,0.18188048899173737
122,512,":
",186,0.07847235351800919
123,256,  ,187,0.02727106586098671
124,482, -,188,0.023662444204092026
125,17586, Without,189,0.05180802941322327
126,3230, specific,190,0.07895009219646454
127,14564, addresses,191,0.1129271537065506
128,11,",",192,0.13981826603412628
129,584, we,193,0.05374997481703758
130,2011, must,194,0.05236408859491348
131,17631, rely,195,0.07356014847755432
132,389, on,196,0.05913633108139038
133,4689, general,197,0.0844084694981575
134,6677, knowledge,198,0.07409407943487167
135,922, about,199,0.06905577331781387
136,96406, Staten,200,0.07196343690156937
137,10951, Island,201,0.05446451157331467
138,596,'s,202,0.06558496505022049
139,6932, layout,203,0.06604068726301193
140,323, and,204,0.13786707818508148
141,279, the,205,0.07086893171072006
142,8844, relative,206,0.07765813171863556
143,10093, positions,207,0.10579320043325424
144,315, of,208,0.2528158724308014
145,27943, parks,209,0.07795611768960953
146,323, and,210,0.0809524655342102
147,8853, schools,211,0.06309622526168823
148,13,.,212,0.07919789850711823
149,720," 
",213,0.0703972652554512
150,256,  ,214,0.010775606147944927
151,482, -,215,0.08653611689805984
152,96406, Staten,216,0.07215194404125214
153,10951, Island,217,0.05655702203512192
154,374, is,218,0.04207439720630646
155,279, the,219,0.017915550619363785
156,18561, southern,220,0.016502881422638893
157,3646,most,221,0.02505042776465416
158,66841, borough,222,0.0037331385537981987
159,315, of,223,0.06485878676176071
160,1561, New,224,-0.0031072553247213364
161,4356, York,225,0.06587953120470047
162,4409, City,226,0.041376348584890366
163,11,",",227,0.071394182741642
164,719, but,228,0.031119873747229576
165,2949, within,229,0.050589967519044876
166,279, the,230,0.0803610235452652
167,66841, borough,231,0.06680302321910858
168,11,",",232,0.03792420029640198
169,10687, locations,233,0.04330182075500488
170,649, can,234,0.30817610025405884
171,13592, vary,235,0.11022117733955383
172,12207, significantly,236,0.08485202491283417
173,505, from,237,0.08322711288928986
174,10411, north,238,0.07426059246063232
175,311, to,239,0.06885305047035217
176,10007, south,240,0.06583018600940704
177,323, and,241,0.06187291443347931
178,11226, east,242,0.061060525476932526
179,311, to,243,0.05294567346572876
180,9909, west,244,0.08169446140527725
181,382,".

",245,0.06486238539218903
182,18,3,246,0.039426978677511215
183,13,.,247,0.03159073367714882
184,3146, **,248,0.07745159417390823
185,28528,Research,249,0.0875818282365799
186,287,ing,250,0.05053173378109932
187,29362, Specific,251,0.07736412435770035
188,42569, Locations,252,0.10821706056594849
189,334,**,253,0.32269495725631714
190,512,":
",254,0.03943498805165291
191,256,  ,255,0.020204486325383186
192,482, -,256,0.057745616883039474
193,3146, **,257,0.05441528558731079
194,691,IN,258,0.07182543724775314
195,96778,DEPEND,259,0.06819340586662292
196,10360,ENCE,260,0.05056994408369064
197,67384, PARK,261,0.03312819451093674
198,96618,**:,262,0.08008381724357605
199,362, A,263,0.05647633597254753
200,4062, quick,264,0.04501791670918465
201,2778, search,265,0.0712374895811081
202,477, or,266,0.055031150579452515
203,6677, knowledge,267,0.05073585733771324
204,922, about,268,0.03598025441169739
205,96406, Staten,269,0.05610579624772072
206,10951, Island,270,0.05925052985548973
207,596,'s,271,0.04879510775208473
208,27943, parks,272,0.052605465054512024
209,1053, would,273,0.04936595633625984
210,13519, indicate,274,0.05509892478585243
211,1202, its,275,0.11805351823568344
212,3813, location,276,0.11585460603237152
213,13,.,277,0.38789603114128113
214,1789, For,278,0.06410765647888184
215,279, the,279,0.03164274990558624
216,7580, purpose,280,0.04066751152276993
217,315, of,281,0.024190878495573997
218,420, this,282,0.030584711581468582
219,10368, exercise,283,0.04527297616004944
220,11,",",284,0.033034905791282654
221,1095, let,285,0.03770869970321655
222,596,'s,286,0.038564473390579224
223,9855, assume,287,0.06062665954232216
224,433, it,288,0.04850682243704796
225,596,'s,289,0.08516915887594223
226,304, in,290,0.08300267159938812
227,264, a,291,0.07085423916578293
228,12309, relatively,292,0.07701024413108826
229,8792, central,293,0.09778031706809998
230,477, or,294,0.0975257009267807
231,18561, southern,295,0.07107340544462204
232,961, part,296,0.0941019132733345
233,315, of,297,0.07907723635435104
234,279, the,298,0.06554426997900009
235,13218, island,299,0.055359166115522385
236,11,",",300,0.09557674080133438
237,719, but,301,0.06987696141004562
238,2085, without,302,0.05038386210799217
239,264, a,303,0.08815739303827286
240,24473, precise,304,0.08733928948640823
241,2686, address,305,0.09884289652109146
242,11,",",306,0.1214020773768425
243,584, we,307,0.04602663591504097
244,649, can,308,0.03300652280449867
245,956,'t,309,0.04739685729146004
246,387, be,310,0.05544572323560715
247,2771, sure,311,0.04853811487555504
248,627,".
",312,0.05210372805595398
249,256,  ,313,0.02675444819033146
250,482, -,314,0.0757855698466301
251,3146, **,315,0.05397271737456322
252,5119,PS,316,0.08682189881801605
253,220, ,317,0.05971651151776314
254,806,11,318,0.0382409542798996
255,4534, TH,319,0.05111301690340042
256,1937,OM,320,0.05071428045630455
257,1950,AS,321,0.08104903250932693
258,423, D,322,0.04598478227853775
259,7691,ONG,323,-0.004895240534096956
260,1111,AN,324,0.04056119546294212
261,96618,**:,325,0.05613537132740021
262,35339, Similarly,326,0.05553281307220459
263,11,",",327,0.03394942358136177
264,420, this,328,0.06297354400157928
265,2978, school,329,0.054579224437475204
266,596,'s,330,0.06792405247688293
267,3813, location,331,0.07888620346784592
268,1053, would,332,0.324381560087204
269,1205, need,333,0.0881660133600235
270,311, to,334,0.07748499512672424
271,387, be,335,0.0944741889834404
272,1766, found,336,0.12650109827518463
273,13,.,337,0.10797259211540222
274,31483, Schools,338,0.04847688972949982
275,527, are,339,0.05324423685669899
276,3629, often,340,0.05600929260253906
277,85413, centrally,341,0.05032173916697502
278,7559, located,342,0.08446020632982254
279,2949, within,343,0.24964049458503723
280,20658, residential,344,0.055861905217170715
281,5789, areas,345,0.0957355797290802
282,11,",",346,0.13271090388298035
283,719, but,347,0.06925901025533676
284,1578, again,348,0.045233286917209625
285,11,",",349,0.04628750681877136
286,2085, without,350,0.06705646961927414
287,264, a,351,0.08455658704042435
288,3230, specific,352,0.10330261290073395
289,2686, address,353,0.10796374082565308
