generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,16,1,67,0.03010576404631138
1,13,.,68,0.03947680816054344
2,423, D,69,0.07582204788923264
3,28643,UCK,70,0.07984711974859238
4,356, C,71,0.056747861206531525
5,6731,REE,72,0.09013836830854416
6,42,K,73,0.05192718282341957
7,374, is,74,0.03888222575187683
8,304, in,75,0.06490806490182877
9,28162, Queens,76,0.07909642159938812
10,11,",",77,0.07389513403177261
11,2794, OR,78,0.06944210082292557
12,2198,CH,79,0.08864390850067139
13,7527,ARD,80,0.05152738839387894
14,7354, BE,81,0.07132779061794281
15,12137,ACH,82,0.04828989505767822
16,75859, NORTH,83,0.06360647082328796
17,386, M,84,0.0706091821193695
18,20982,ENS,85,0.04441707208752632
19,7837, COM,86,0.041228972375392914
20,37,F,87,0.04759341478347778
21,2938,ORT,88,0.05059387534856796
22,4015, ST,89,0.04194879159331322
23,3579,ATION,90,0.0386633463203907
24,374, is,91,0.1052328571677208
25,304, in,92,0.08667335659265518
26,279, the,93,0.08028323203325272
27,66236, Bronx,94,0.07196597754955292
28,627,".
",95,0.053645066916942596
29,17,2,96,0.04161635413765907
30,13,.,97,0.04736043140292168
31,578, The,98,0.06288443505764008
32,66236, Bronx,99,0.05411076173186302
33,374, is,100,0.04164046794176102
34,10411, north,101,0.01592528447508812
35,315, of,102,0.05193880945444107
36,28162, Queens,103,0.044849567115306854
37,627,".
",104,0.05518531799316406
38,18,3,105,0.03719349950551987
39,13,.,106,0.018025944009423256
40,15636, Therefore,107,0.04412785544991493
41,11,",",108,0.07706049829721451
42,28162, Queens,109,0.06891782581806183
43,374, is,110,0.05673496425151825
44,10007, south,111,0.06348320096731186
45,315, of,112,0.09112271666526794
46,279, the,113,0.07833828032016754
47,66236, Bronx,114,0.0749315395951271
48,627,".
",115,0.04879215359687805
49,19,4,116,0.020450560376048088
50,13,.,117,0.04221192002296448
51,8876, Since,118,0.0391819141805172
52,423, D,119,0.06813731789588928
53,28643,UCK,120,0.08418945968151093
54,356, C,121,0.05685412511229515
55,6731,REE,122,0.023835720494389534
56,42,K,123,0.024869823828339577
57,374, is,124,0.07680393010377884
58,304, in,125,0.07154463976621628
59,28162, Queens,126,0.08582495152950287
60,11,",",127,0.056590884923934937
61,433, it,128,0.05304953455924988
62,374, is,129,0.07385597378015518
63,10007, south,130,0.05672338977456093
64,315, of,131,0.07880232483148575
65,279, the,132,0.07311022281646729
66,66236, Bronx,133,0.07187189161777496
67,627,".
",134,0.0361570306122303
68,20,5,135,0.03675719350576401
69,13,.,136,0.03788631036877632
70,8876, Since,137,0.04485905542969704
71,2794, OR,138,0.0710996761918068
72,2198,CH,139,0.09195493161678314
73,7527,ARD,140,0.05534985661506653
74,7354, BE,141,0.0681217759847641
75,12137,ACH,142,0.0451417975127697
76,75859, NORTH,143,0.05288437753915787
77,386, M,144,0.06333788484334946
78,20982,ENS,145,0.1486092507839203
79,7837, COM,146,0.0323612317442894
