generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,10267,Let,69,0.03025074489414692
1,596,'s,70,0.0340162068605423
2,1464, break,71,0.03971925377845764
3,433, it,72,0.03461972251534462
4,1523, down,73,0.0716891661286354
5,1473,":

",74,0.023251667618751526
6,567,##,75,0.049039676785469055
7,15166, Step,76,0.02916664071381092
8,220, ,77,0.02533881738781929
9,16,1,78,0.06226519122719765
10,25,:,79,0.030794374644756317
11,31001, Determine,80,0.07772178202867508
12,279, the,81,0.08447733521461487
13,3813, location,82,0.057199884206056595
14,315, of,83,0.45947688817977905
15,473, H,84,0.1261419951915741
16,965,EN,85,0.07019475102424622
17,11492,RY,86,0.04830695316195488
18,85661, STREET,87,0.029762040823698044
19,9196, SET,88,0.031527966260910034
20,51,T,89,0.04747198894619942
21,18315,LEMENT,90,0.024053551256656647
22,92574, CCC,91,0.06317585706710815
23,386, M,92,0.039609555155038834
24,10443,ONT,93,0.08803138881921768
25,38,G,94,0.03384726867079735
26,1937,OM,95,0.047388575971126556
27,13977,ERY,96,0.03863265737891197
28,4015, ST,97,0.03821404650807381
29,11,",",98,0.06834188103675842
30,29890, Manhattan,99,0.08112440258264542
31,627,".
",100,0.0920897126197815
32,1271,To,101,0.08376523852348328
33,8417, determine,102,0.057302799075841904
34,422, if,103,0.06652659177780151
35,473, H,104,0.0536329410970211
36,965,EN,105,0.06518828868865967
37,11492,RY,106,0.03773718327283859
38,85661, STREET,107,0.03360479697585106
39,9196, SET,108,0.03197665512561798
40,51,T,109,0.03873027116060257
41,18315,LEMENT,110,0.060131706297397614
42,92574, CCC,111,0.056885916739702225
43,386, M,112,0.03416536748409271
44,10443,ONT,113,0.08328008651733398
45,38,G,114,0.06548597663640976
46,1937,OM,115,0.06195798143744469
47,13977,ERY,116,0.04114098101854324
48,4015, ST,117,0.0503479540348053
49,11,",",118,0.03747178241610527
50,29890, Manhattan,119,0.05076790601015091
51,374, is,120,0.06190209835767746
52,10007, south,121,0.06334732472896576
53,315, of,122,0.07924051582813263
54,8927, AL,123,0.0642896443605423
55,386, M,124,0.08623054623603821
56,1428,AM,125,0.06186637282371521
57,46,O,126,0.050921425223350525
58,878,OR,127,0.05797962471842766
59,71501, SCHOOL,128,0.02521245740354061
60,11,",",129,0.06683801859617233
61,28162, Queens,130,0.058243900537490845
62,11,",",131,0.05111686885356903
63,584, we,132,0.060086168348789215
64,1176, first,133,0.058251842856407166
65,1205, need,134,0.065016008913517
66,311, to,135,0.07437531650066376
67,5813, establish,136,0.1029554158449173
68,279, the,137,0.11117198318243027
69,3813, location,138,0.0880008116364479
70,315, of,139,0.4517045021057129
71,473, H,140,0.11111603677272797
72,965,EN,141,0.06422695517539978
73,11492,RY,142,0.06007871776819229
74,85661, STREET,143,0.04243960976600647
75,9196, SET,144,0.056889858096838
76,51,T,145,0.05333966389298439
77,18315,LEMENT,146,0.021033383905887604
78,92574, CCC,147,0.07727225124835968
79,386, M,148,0.04418574646115303
80,10443,ONT,149,0.0845731571316719
81,38,G,150,0.047635335475206375
82,1937,OM,151,0.08073141425848007
83,13977,ERY,152,0.08577381074428558
84,4015, ST,153,0.055540040135383606
85,13,.,154,0.08231083303689957
86,29890, Manhattan,155,0.07273969054222107
87,374, is,156,0.05707799643278122
88,832, one,157,0.02826729230582714
89,315, of,158,0.03772376477718353
90,279, the,159,0.019533731043338776
91,66841, borough,160,0.013812219724059105
92,82,s,161,0.09645381569862366
93,315, of,162,0.03467409312725067
94,1561, New,163,0.040648333728313446
95,4356, York,164,0.08257130533456802
96,4409, City,165,0.07465440779924393
97,382,".

",166,0.07112938910722733
98,567,##,167,0.046838220208883286
99,15166, Step,168,0.01820553094148636
100,220, ,169,0.07700569182634354
101,17,2,170,0.040695931762456894
102,25,:,171,0.05714855343103409
103,31001, Determine,172,0.09340278059244156
104,279, the,173,0.09583404660224915
105,3813, location,174,0.068000428378582
106,315, of,175,0.41868582367897034
107,8927, AL,176,0.10843724012374878
108,386, M,177,0.0881945788860321
109,1428,AM,178,0.06391644477844238
110,46,O,179,0.018942298367619514
111,878,OR,180,0.030520973727107048
112,71501, SCHOOL,181,0.012442191131412983
113,11,",",182,0.0777987465262413
114,28162, Queens,183,0.06206637993454933
115,627,".
",184,0.05914421007037163
116,5971,Next,185,0.07108594477176666
117,11,",",186,0.045239418745040894
118,584, we,187,0.07501745223999023
119,10765, identify,188,0.07003294676542282
120,279, the,189,0.13337020576000214
121,3813, location,190,0.09906584024429321
122,315, of,191,0.4246431291103363
123,8927, AL,192,0.09415370225906372
124,386, M,193,0.0751897543668747
125,1428,AM,194,0.05965520069003105
126,46,O,195,0.030503276735544205
127,878,OR,196,0.052699506282806396
128,71501, SCHOOL,197,0.0232965350151062
129,304, in,198,0.06799349933862686
