generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,52,-0.013882189989089966
1,4320, answer,53,-0.009418363682925701
2,420, this,54,-0.01569097489118576
3,3488, question,55,-0.019239161163568497
4,11,",",56,-0.023328877985477448
5,584, we,57,-0.01250204723328352
6,1205, need,58,-0.006931914947926998
7,311, to,59,0.00021183723583817482
8,1440, know,60,0.01074751652777195
9,279, the,61,0.02247079461812973
10,7342, birth,62,0.05613769218325615
11,13003, dates,63,0.0012729482259601355
12,315, of,64,-0.008122021332383156
13,1708, Al,65,-0.011109914630651474
14,9607,-D,66,-0.023099835962057114
15,277,ar,67,-0.0025973222218453884
16,25877,imi,68,-0.001744311535730958
17,323, and,69,-0.008676453493535519
18,66690, Xiao,70,-0.02635801210999489
19,59027, Fang,71,-0.030126173049211502
20,382,".

",72,-0.013886119239032269
21,2149,Al,73,-0.007010756991803646
22,9607,-D,74,-0.03256317973136902
23,277,ar,75,0.013389108702540398
24,25877,imi,76,0.012786432169377804
25,574, was,77,0.032490555197000504
26,9405, born,78,0.016417276114225388
27,304, in,79,0.006576117128133774
28,220, ,80,-0.004095115233212709
29,25314,797,81,0.02079458348453045
30,9827, AD,82,-0.009929602034389973
31,13,.,83,-0.013360561802983284
32,720," 
",84,-0.026660265401005745
33,55,X,85,-0.03353444114327431
34,23332,iao,86,-0.033701591193675995
35,59027, Fang,87,-0.025514958426356316
36,574, was,88,0.008750010281801224
37,9405, born,89,0.004999391734600067
38,304, in,90,-0.00643523782491684
39,220, ,91,-0.01705806516110897
40,8878,135,92,0.0004431502893567085
41,22,7,93,-0.004823123570531607
42,9827, AD,94,-0.0060353754088282585
43,382,".

",95,-0.014468904584646225
44,12834,Since,96,-0.010085748508572578
45,220, ,97,-0.008366231806576252
46,25314,797,98,-0.027874227613210678
47,9827, AD,99,-0.004113520961254835
48,374, is,100,-0.004860966000705957
49,6931, earlier,101,0.002997766714543104
50,1109, than,102,0.001930032391101122
51,220, ,103,-0.020495031028985977
52,8878,135,104,-0.03141267970204353
53,22,7,105,-0.026799233630299568
54,9827, AD,106,-0.01494914386421442
55,11,",",107,-0.017672382295131683
56,584, we,108,-0.013297616504132748
57,649, can,109,-0.014366132207214832
58,32194, conclude,110,-0.0013498787302523851
59,430, that,111,-0.013331749476492405
60,1708, Al,112,-0.0078482236713171
61,9607,-D,113,-0.03393913060426712
62,277,ar,114,-0.026898182928562164
63,25877,imi,115,-0.01777557097375393
64,574, was,116,0.018086427822709084
65,13118, indeed,117,0.018228091299533844
66,9405, born,118,0.010827201418578625
67,6931, earlier,119,0.01343286782503128
68,1109, than,120,0.009759289212524891
69,66690, Xiao,121,-0.019886713474988937
70,59027, Fang,122,-0.026655049994587898
71,382,".

",123,-0.02366821840405464
72,791,The,124,-0.026800038293004036
73,1620, final,125,-0.015781491994857788
74,4320, answer,126,-0.013856088742613792
75,374, is,127,-0.005806974601000547
76,25,:,128,-0.01311446912586689
77,59060, $\,129,-0.01629469357430935
78,80175,boxed,130,-0.0051508704200387
79,90,{,131,-0.002455266658216715
80,14331,YES,132,0.00199765432626009
81,32816,}$,133,-0.012485075742006302
82,128009,<|eot_id|>,134,-0.015570789575576782
