generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,58,-0.005993536673486233
1,4320, answer,59,-0.004628376103937626
2,420, this,60,-0.00784984603524208
3,3488, question,61,-0.006903248839080334
4,11,",",62,-0.018478278070688248
5,584, we,63,0.0010426801163703203
6,1205, need,64,-0.0014012884348630905
7,311, to,65,0.01682339422404766
8,1440, know,66,0.042120955884456635
9,279, the,67,0.06093449145555496
10,7342, birth,68,0.11828957498073578
11,323, and,69,0.004266304429620504
12,4648, death,70,0.052885934710502625
13,1667, years,71,0.012357005849480629
14,315, of,72,0.01437626127153635
15,2225, both,73,-0.010531319305300713
16,64532, Abdullah,74,0.0035365046933293343
17,19185, ib,75,-0.026667611673474312
18,77,n,76,-0.008257333189249039
19,453, al,77,-0.010075042024254799
20,5364,-M,78,-0.009843031875789165
21,84,u,79,-0.02079223096370697
22,956,'t,80,-0.009718409739434719
23,10002,azz,81,-0.01003696396946907
24,323, and,82,-0.007780549116432667
25,103230, �,83,-0.013765571638941765
26,116,�,84,-0.018881481140851974
27,45829,子,85,-0.03442772105336189
28,109596,隆,86,-0.011296161450445652
29,320, (,87,-0.007511148229241371
30,50302,Lu,88,-0.008469626307487488
31,1901, Z,89,0.00888856127858162
32,321,il,90,0.0013316734693944454
33,647,ong,91,-0.004304720554500818
34,3677,").

",92,0.008751481771469116
35,5953,Ab,93,0.004356190096586943
36,67,d,94,-0.026657745242118835
37,41897,ullah,95,-0.011124394834041595
38,19185, ib,96,-0.012552160769701004
39,77,n,97,-0.04217485710978508
40,453, al,98,0.008160842582583427
41,5364,-M,99,-0.018295008689165115
42,84,u,100,0.085568368434906
43,956,'t,101,0.0013526547700166702
44,10002,azz,102,0.015926040709018707
45,574, was,103,0.0431520901620388
46,9405, born,104,0.012790224514901638
47,304, in,105,-0.004479499068111181
48,220, ,106,-0.0075457338243722916
49,24963,861,107,-1.875334419310093e-05
50,9827, AD,108,-0.00804112944751978
51,323, and,109,-0.004499056376516819
52,8636, died,110,0.025214575231075287
53,304, in,111,-0.0054228464141488075
54,220, ,112,-0.01131325401365757
55,23629,908,113,0.006824336014688015
56,9827, AD,114,-0.013312781229615211
57,520, at,115,0.013354077935218811
58,279, the,116,0.02683643065392971
59,4325, age,117,0.0433366596698761
60,315, of,118,-0.03411433845758438
61,220, ,119,0.02110513485968113
62,2618,47,120,-0.0012895516119897366
