generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,52,-0.015413318760693073
1,4320, answer,53,-0.003724907524883747
2,420, this,54,-0.013065140694379807
3,3488, question,55,-0.022700514644384384
4,11,",",56,-0.022939881309866905
5,584, we,57,-0.01121449749916792
6,1205, need,58,-0.003382784780114889
7,311, to,59,0.0016770826186984777
8,1440, know,60,0.013660303317010403
9,279, the,61,0.024331968277692795
10,7342, birth,62,0.05605672299861908
11,13003, dates,63,-0.005906203296035528
12,315, of,64,-0.006858281325548887
13,2225, both,65,-0.008429421111941338
14,4701, Ag,66,-0.0022878742311149836
15,285,is,67,-0.004023631568998098
16,14767, III,68,-0.007081256248056889
17,323, and,69,-0.008302838541567326
18,20643, Alexander,70,-0.020402533933520317
19,279, the,71,-0.02510962449014187
20,8681, Great,72,-0.03070017136633396
21,382,".

",73,-0.010792863555252552
22,9219,Ag,74,-0.007901270873844624
23,285,is,75,-0.02876477688550949
24,14767, III,76,-0.00463490653783083
25,574, was,77,0.015519775450229645
26,264, a,78,0.007378166541457176
27,11734, king,79,0.0019392226822674274
28,315, of,80,0.0005197157151997089
29,3165, Sp,81,0.018526053056120872
30,26017,arta,82,0.002074260264635086
31,11,",",83,0.03589687496423721
32,323, and,84,0.02843622677028179
33,4184, according,85,0.007840627804398537
34,311, to,86,-0.0500335693359375
35,13970, historical,87,0.00034144986420869827
36,7576, records,88,-0.011339742690324783
37,11,",",89,-0.028657976537942886
38,568, he,90,0.007155975326895714
39,574, was,91,0.033483896404504776
40,9405, born,92,0.012771542184054852
41,2212, around,93,-0.000927743676584214
42,220, ,94,-0.00940966047346592
43,12819,420,95,0.0033793486654758453
44,79677, BCE,96,-0.006098701152950525
45,382,".

",97,-0.008974144235253334
46,78850,Alexander,98,-0.01621321029961109
47,279, the,99,-0.015665965154767036
48,8681, Great,100,-0.0024917088449001312
49,11,",",101,0.01695258915424347
50,389, on,102,0.0006677163764834404
51,279, the,103,0.013136228546500206
52,1023, other,104,-0.005686299875378609
53,1450, hand,105,-0.03085615299642086
54,11,",",106,-0.01610102504491806
55,574, was,107,0.01617012917995453
56,9405, born,108,0.004666052758693695
57,389, on,109,-0.0019593217875808477
58,5887, July,110,-0.007912061177194118
59,220, ,111,-0.02387380599975586
60,508,20,112,-0.01019433792680502
61,11,",",113,-0.017980268225073814
62,220, ,114,-0.016303520649671555
63,18349,356,115,-0.006509535014629364
64,79677, BCE,116,-0.006321615539491177
65,382,".

",117,-0.008748435415327549
66,7184,Now,118,-0.00819731131196022
67,11,",",119,-0.007712200749665499
68,27393, comparing,120,-0.009100193157792091
69,279, the,121,-0.004908033646643162
70,1403, two,122,0.015261782333254814
71,7342, birth,123,0.013534467667341232
72,13003, dates,124,-0.004331181291490793
73,1473,":

",125,-0.011876709759235382
74,12,-,126,-0.012499372474849224
75,4701, Ag,127,-0.005520559847354889
76,285,is,128,-0.037067096680402756
77,14767, III,129,-0.011428328230977058
78,574, was,130,0.005382125731557608
79,9405, born,131,0.0008881986141204834
80,2212, around,132,-0.0032284334301948547
81,220, ,133,-0.013615723699331284
82,12819,420,134,-0.020005039870738983
83,79677, BCE,135,-0.008171639405190945
84,627,".
",136,-0.018539046868681908
85,12,-,137,-0.02640768326818943
86,20643, Alexander,138,-0.015153250657022
87,279, the,139,-0.036934394389390945
88,8681, Great,140,-0.021438391879200935
89,574, was,141,-0.0004959632642567158
90,9405, born,142,-0.003939475864171982
91,304, in,143,-0.014169473201036453
92,220, ,144,-0.007692926563322544
93,18349,356,145,-0.022312799468636513
94,79677, BCE,146,-0.013909701257944107
95,382,".

",147,-0.008759701624512672
96,12834,Since,148,-0.009648539125919342
97,220, ,149,-0.0037444133777171373
98,12819,420,150,-0.021251952275633812
99,79677, BCE,151,-0.006860125809907913
100,374, is,152,-0.0025380284059792757
101,6931, earlier,153,0.008690194226801395
102,1109, than,154,0.0003565358929336071
103,220, ,155,-0.013634299859404564
104,18349,356,156,-0.028546404093503952
105,79677, BCE,157,-0.015439976938068867
106,11,",",158,-0.012479830533266068
107,584, we,159,-0.012437645345926285
108,649, can,160,-0.010774409398436546
109,32194, conclude,161,0.003703736700117588
110,430, that,162,-0.012659265659749508
111,4701, Ag,163,-0.005437792278826237
112,285,is,164,-0.0010041655041277409
113,14767, III,165,-0.016117144376039505
114,574, was,166,0.023828549310564995
115,13118, indeed,167,0.016174815595149994
116,9405, born,168,0.01391412690281868
117,6931, earlier,169,0.01843198575079441
118,1109, than,170,0.012205597013235092
119,20643, Alexander,171,-0.012426656670868397
120,279, the,172,-0.03590177372097969
121,8681, Great,173,-0.03522723540663719
122,382,".

",174,-0.024709783494472504
123,791,The,175,-0.029721733182668686
124,1620, final,176,-0.020598722621798515
125,4320, answer,177,-0.01511707715690136
126,374, is,178,-0.007861064746975899
127,25,:,179,-0.015471378341317177
128,59060, $\,180,-0.017029616981744766
129,80175,boxed,181,-0.008037765510380268
130,90,{,182,-0.002611316042020917
131,14331,YES,183,-0.000536561943590641
132,32816,}$,184,-0.010612014681100845
133,128009,<|eot_id|>,185,-0.014140106737613678
