generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,56,-0.006625059992074966
1,4320, answer,57,-0.005520464852452278
2,420, this,58,-0.008034620434045792
3,3488, question,59,-0.0040363045409321785
4,11,",",60,-0.019979039207100868
5,584, we,61,-0.0004664636217057705
6,1205, need,62,-0.0034432667307555676
7,311, to,63,0.013079940341413021
8,1440, know,64,0.045975424349308014
9,279, the,65,0.06960691511631012
10,10345, lif,66,0.13983222842216492
11,25632,esp,67,0.17654189467430115
12,598,ans,68,-0.00653467234224081
13,315, of,69,0.06790816783905029
14,2225, both,70,-0.00041022489313036203
15,3765, Ab,71,0.009092609398066998
16,14176,bad,72,-0.0175282284617424
17,19185, ib,73,-0.01072959415614605
18,77,n,74,-0.019154775887727737
19,426, B,75,-0.00985704269260168
20,819,ish,76,0.0807536169886589
21,81,r,77,-0.029668796807527542
22,323, and,78,0.012385678477585316
23,103372, 高,79,-0.013135338202118874
24,35086,�,80,-0.02885020337998867
25,247,�,81,-0.008787855505943298
26,320, (,82,-0.0036163164768368006
27,38,G,83,-0.01318235881626606
28,3524,ao,84,-0.0024880683049559593
29,61182, Zu,85,0.0012900279834866524
30,315, of,86,-0.008009465411305428
31,21296, Han,87,0.01496841385960579
32,3677,").

",88,0.008741668425500393
33,5953,Ab,89,0.008363049477338791
34,14176,bad,90,-0.03157695010304451
35,19185, ib,91,-0.002002336783334613
36,77,n,92,0.007275019772350788
37,426, B,93,-0.0062994807958602905
38,819,ish,94,-0.007817447185516357
39,81,r,95,0.0011228988878428936
40,574, was,96,0.05992530286312103
41,264, a,97,0.02489626221358776
42,22489, companion,98,0.01541326753795147
43,315, of,99,0.011157378554344177
44,279, the,100,0.009118758141994476
45,15558, Islamic,101,0.01947263814508915
46,53604, prophet,102,0.013564049266278744
47,36831, Muhammad,103,0.011950158514082432
48,323, and,104,0.03725818544626236
49,374, is,105,0.02644307166337967
50,3967, known,106,0.011108051985502243
51,311, to,107,0.02146466262638569
52,617, have,108,0.04063759744167328
53,8636, died,109,0.057347916066646576
54,304, in,110,0.017392780631780624
55,220, ,111,0.012297539040446281
56,20775,632,112,0.013830319046974182
57,9827, AD,113,-0.014379125088453293
58,2391, during,114,-0.010580696165561676
59,279, the,115,0.01455765962600708
60,16506, Battle,116,0.04331217333674431
61,315, of,117,-0.015839481726288795
62,34654, Yam,118,0.015826918184757233
63,3105,ama,119,-0.0007832685951143503
64,382,".

",120,-0.006981351412832737
65,45736,高,121,-0.0012701457599177957
66,35086,�,122,-0.022384416311979294
67,247,�,123,-0.009824400767683983
68,320, (,124,0.018490660935640335
69,38,G,125,-0.002305852249264717
70,3524,ao,126,-0.00176285021007061
71,61182, Zu,127,-0.007162461057305336
72,315, of,128,-0.010176429525017738
73,21296, Han,129,0.00018453062511980534
74,705,"),",130,0.023656144738197327
75,1101, also,131,0.012999986298382282
76,3967, known,132,0.0033789509907364845
77,439, as,133,-0.035032231360673904
78,38805, Liu,134,-0.010384200140833855
79,17343, Bang,135,-0.005616888403892517
80,11,",",136,-0.003902500495314598
81,574, was,137,0.08185812085866928
82,279, the,138,0.010387059301137924
83,19533, founder,139,0.0037293704226613045
84,315, of,140,0.013046382926404476
85,279, the,141,0.014544949866831303
86,21296, Han,142,0.012324340641498566
87,74495, Dynasty,143,0.027020728215575218
88,304, in,144,0.024019669741392136
89,5734, China,145,-0.002062407322227955
90,13,.,146,0.041941508650779724
91,1283, He,147,0.047160085290670395
92,574, was,148,0.06391023099422455
93,9405, born,149,0.013280360959470272
94,304, in,150,-0.0026715712156146765
95,220, ,151,-0.009318910539150238
96,4146,256,152,-0.009606770239770412
97,18531, BC,153,-0.0057984646409749985
98,323, and,154,0.0031420234590768814
99,8636, died,155,0.038344014436006546
100,304, in,156,0.001740182749927044
101,220, ,157,-0.009018623270094395
102,6280,195,158,-0.00029576756060123444
103,18531, BC,159,-0.011799167841672897
104,382,".

",160,0.01779811829328537
105,7184,Now,161,0.009900197386741638
106,11,",",162,-0.004403743892908096
107,27393, comparing,163,0.018833167850971222
108,872, their,164,0.07677002251148224
109,10345, lif,165,0.16512857377529144
110,25632,esp,166,0.1670258492231369
111,598,ans,167,-0.03661710023880005
112,512,":
",168,0.024554623290896416
113,12,-,169,0.03527633473277092
114,3765, Ab,170,0.0393030121922493
115,14176,bad,171,-0.016296131536364555
116,19185, ib,172,0.009101415984332561
117,77,n,173,0.027379460632801056
118,426, B,174,-0.004374038893729448
119,819,ish,175,-0.026984751224517822
120,81,r,176,-0.02146918885409832
121,8636, died,177,0.08266346156597137
122,304, in,178,0.008684735745191574
123,220, ,179,-9.828060865402222e-05
124,20775,632,180,-0.019811520352959633
125,9827, AD,181,0.0019994843751192093
126,627,".
",182,0.036600157618522644
127,12,-,183,-0.016524946317076683
128,103372, 高,184,-0.0032925312407314777
129,35086,�,185,-0.029697293415665627
130,247,�,186,-0.020424967631697655
131,320, (,187,0.014880077913403511
132,38,G,188,-0.009688671678304672
133,3524,ao,189,-0.029888544231653214
134,61182, Zu,190,0.025905337184667587
135,315, of,191,-0.010466543957591057
136,21296, Han,192,0.05997786670923233
137,8,),193,0.006753882858902216
