generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,66,-0.017359314486384392
1,11886, solve,67,0.0230532456189394
2,420, this,68,-0.0012870191130787134
3,11,",",69,0.01581656001508236
4,1095, let,70,0.0052217599004507065
5,596,'s,71,0.0013554298784583807
6,1464, break,72,0.01192157156765461
7,1523, down,73,-0.002457342343404889
8,279, the,74,-0.002978281583636999
9,7504, steps,75,0.02674182504415512
10,4460, needed,76,-0.009246213361620903
11,311, to,77,-0.016333715990185738
12,8417, determine,78,0.01071486622095108
13,279, the,79,0.06335559487342834
14,3813, location,80,0.12490381300449371
15,315, of,81,0.04162784665822983
16,469, E,82,0.015101776458323002
17,5494,GB,83,0.028329724445939064
18,3481,ERT,84,0.013439060188829899
19,55663, TRI,85,0.01751835271716118
20,38671,ANGLE,86,0.004753566347062588
21,8844, relative,87,0.02747071534395218
22,311, to,88,0.06590031832456589
23,81137, FOOT,89,0.06028462573885918
24,13396,BR,90,0.01877889409661293
25,55256,IDGE,91,-0.009478953666985035
26,36564, OVER,92,0.03463294729590416
27,78687, BRO,93,0.020634032785892487
28,4012,OK,94,0.26649951934814453
29,50,S,95,0.016404960304498672
30,13256, LA,96,0.022044150158762932
31,3472,KE,97,-0.0016838647425174713
32,12640, DAM,98,0.02361322194337845
33,11,",",99,0.029559291899204254
34,2225, both,100,0.01784048229455948
35,389, on,101,0.03182174265384674
36,96406, Staten,102,0.02726726606488228
37,10951, Island,103,0.03565966337919235
38,382,".

",104,0.02069620043039322
39,16,1,105,-0.0008695862488821149
40,13,.,106,-0.013918709941208363
41,3146, **,107,0.03609495609998703
42,29401,Ident,108,0.04589923098683357
43,1463,ify,109,0.005588764790445566
44,279, the,110,0.071302130818367
45,42569, Locations,111,0.08682456612586975
46,96618,**:,112,0.020487861707806587
47,5629, First,113,0.014935532584786415
48,11,",",114,-0.02332373894751072
49,584, we,115,0.0095516974106431
50,1205, need,116,0.0034411847591400146
51,311, to,117,-0.0027613528072834015
52,10765, identify,118,0.02588334120810032
53,279, the,119,0.04078524559736252
54,4839, exact,120,0.07501978427171707
55,10687, locations,121,0.05390698090195656
56,315, of,122,0.00802307017147541
57,469, E,123,0.01232201512902975
58,5494,GB,124,0.02365589141845703
59,3481,ERT,125,-0.004470124375075102
60,55663, TRI,126,0.009209459647536278
61,38671,ANGLE,127,-0.0008010606979951262
62,323, and,128,0.01508997566998005
63,81137, FOOT,129,0.019133634865283966
64,13396,BR,130,0.02008005976676941
65,55256,IDGE,131,0.24941933155059814
66,36564, OVER,132,0.02795373648405075
67,78687, BRO,133,0.014960774220526218
68,4012,OK,134,-0.026293952018022537
69,50,S,135,0.12153752148151398
70,13256, LA,136,0.01329110749065876
71,3472,KE,137,-0.020705102011561394
72,12640, DAM,138,0.01567368395626545
73,389, on,139,0.018296565860509872
74,96406, Staten,140,0.00972633995115757
75,10951, Island,141,0.0305313803255558
76,13,.,142,0.016171101480722427
77,1115, This,143,0.008397383615374565
78,18065, involves,144,5.7042110711336136e-05
79,3411, looking,145,0.022470053285360336
80,520, at,146,0.011728603392839432
81,264, a,147,0.03648539260029793
82,2472, map,148,0.02229064702987671
83,477, or,149,0.010126030072569847
84,264, a,150,0.010701014660298824
85,54001, geographical,151,0.011408209800720215
86,4729, database,152,0.009911696426570415
87,430, that,153,0.007132272236049175
88,5825, provides,154,0.018463827669620514
89,24473, precise,155,0.05913853645324707
90,14259, coordinates,156,0.0609540194272995
91,477, or,157,0.030959274619817734
92,14564, addresses,158,0.056855518370866776
93,369, for,159,0.00875447504222393
94,1521, these,160,0.002289517316967249
95,10687, locations,161,0.014306123368442059
96,382,".

",162,0.0026743863709270954
97,17,2,163,-0.010022646747529507
98,13,.,164,-0.01691427454352379
99,3146, **,165,0.11977120488882065
100,35,D,166,0.09136875718832016
101,25296,etermine,167,0.07972541451454163
102,279, the,168,0.1699647158384323
103,66542, Geographic,169,0.18587638437747955
104,17650, Reference,170,0.1342078447341919
105,21387, Points,171,0.05809361860156059
106,96618,**:,172,0.03912673890590668
107,9843, Once,173,0.03408826142549515
108,584, we,174,0.007347766309976578
109,617, have,175,-0.002576333936303854
110,279, the,176,0.012110431678593159
111,10687, locations,177,0.02898719161748886
112,11,",",178,-0.0003161004278808832
113,584, we,179,0.02004551701247692
114,1205, need,180,0.023879706859588623
115,311, to,181,0.013071790337562561
116,8417, determine,182,0.06143345683813095
117,279, the,183,0.11928148567676544
118,46139, geographic,184,0.19263125956058502
119,5905, reference,185,0.1194746121764183
120,3585, points,186,0.04016093909740448
121,11,",",187,0.05876448005437851
122,1778, such,188,0.09026076644659042
123,439, as,189,0.0020166803151369095
124,21518, latitude,190,0.17426857352256775
125,323, and,191,0.12419857084751129
126,21155, longitude,192,0.10047037899494171
127,11,",",193,0.03868463635444641
128,369, for,194,0.0632466971874237
129,2225, both,195,0.02398044615983963
130,469, E,196,0.021496832370758057
131,5494,GB,197,0.05219080671668053
132,3481,ERT,198,0.07682831585407257
133,55663, TRI,199,0.011147590354084969
134,38671,ANGLE,200,-0.022043732926249504
135,323, and,201,0.02127085253596306
136,81137, FOOT,202,0.015028092078864574
137,13396,BR,203,0.14720898866653442
138,55256,IDGE,204,-0.017264436930418015
139,36564, OVER,205,0.029574058949947357
140,78687, BRO,206,0.17470943927764893
141,4012,OK,207,-0.012381923384964466
142,50,S,208,0.09080614149570465
143,13256, LA,209,0.08929900079965591
144,3472,KE,210,-0.015538456849753857
145,12640, DAM,211,0.02045045793056488
146,13,.,212,0.009371857158839703
147,4314, These,213,0.044970061630010605
148,3585, points,214,0.030864708125591278
149,690, will,215,0.022957082837820053
150,1520, help,216,0.03733368590474129
151,603, us,217,0.02734622359275818
152,3619, understand,218,0.06204655021429062
153,872, their,219,0.1426767259836197
154,10093, positions,220,0.13417688012123108
155,8844, relative,221,0.12287347763776779
156,311, to,222,0.059888504445552826
157,1855, each,223,0.18919217586517334
158,1023, other,224,0.04459378868341446
159,323, and,225,0.15281043946743011
160,279, the,226,0.09201839566230774
161,13218, island,227,0.16327105462551117
162,596,'s,228,0.08838765323162079
163,54242, geography,229,0.15513812005519867
164,382,".

",230,0.058020465075969696
165,18,3,231,0.0016550339059904218
166,13,.,232,-0.00855334848165512
167,3146, **,233,0.1370566040277481
168,28474,Compare,234,0.09390337765216827
169,279, the,235,0.13082356750965118
170,42569, Locations,236,0.1408115178346634
171,96618,**:,237,0.09988449513912201
172,3161, With,238,0.02866542525589466
173,279, the,239,0.03545551747083664
174,5905, reference,240,0.04983827844262123
175,3585, points,241,0.02099911868572235
176,11054, identified,242,-0.0007247319445014
177,11,",",243,0.002495686523616314
178,584, we,244,0.01838628016412258
179,9616, compare,245,0.015244177542626858
180,279, the,246,0.06521787494421005
181,6987, lat,247,0.1582372784614563
182,21237,itudes,248,0.11703696846961975
183,315, of,249,0.0858219787478447
184,279, the,250,0.05611448362469673
185,1403, two,251,0.06768135726451874
186,10687, locations,252,0.03181636333465576
187,13,.,253,0.0321904793381691
188,68440, Latitude,254,0.10360436886548996
189,11193, measures,255,0.09106431901454926
190,279, the,256,0.12295742332935333
191,6138, distance,257,0.09764625877141953
192,10411, north,258,0.13537265360355377
193,477, or,259,0.11544358730316162
194,10007, south,260,0.25910684466362
195,315, of,261,0.08540502935647964
196,279, the,262,0.08747988939285278
197,3312, equ,263,0.06837698817253113
198,859,ator,264,0.05857797712087631
199,11,",",265,0.04911933094263077
200,449, with,266,0.06408317387104034
201,5190, higher,267,0.16154266893863678
202,6987, lat,268,0.09777563810348511
203,21237,itudes,269,0.09491060674190521
204,19392, indicating,270,0.14952583611011505
205,10687, locations,271,0.19766755402088165
206,4726, further,272,0.22883117198944092
207,10411, north,273,0.2574785649776459
208,13,.,274,0.12384627759456635
209,1442, If,275,0.0569860078394413
210,279, the,276,0.06159532442688942
211,21518, latitude,277,0.08132265508174896
212,315, of,278,0.07743476331233978
213,469, E,279,0.026024600490927696
214,5494,GB,280,0.022219771519303322
215,3481,ERT,281,0.18645921349525452
216,55663, TRI,282,0.011052573099732399
217,38671,ANGLE,283,-0.007163855247199535
218,374, is,284,0.06335166096687317
219,4827, lower,285,0.1403612345457077
220,1109, than,286,0.05492815002799034
221,430, that,287,0.029588449746370316
222,315, of,288,0.02972353808581829
223,81137, FOOT,289,0.01996372640132904
224,13396,BR,290,0.02277783676981926
225,55256,IDGE,291,-0.027922609820961952
226,36564, OVER,292,0.027952251955866814
227,78687, BRO,293,0.08074861019849777
228,4012,OK,294,0.025793926790356636
229,50,S,295,0.1616687923669815
230,13256, LA,296,0.015875449404120445
231,3472,KE,297,0.1732509732246399
232,12640, DAM,298,0.009598209522664547
233,11,",",299,0.02004573494195938
234,433, it,300,0.037221044301986694
235,13533, suggests,301,0.10522888600826263
236,430, that,302,0.06349507719278336
237,469, E,303,0.029221514239907265
238,5494,GB,304,0.02942274883389473
239,3481,ERT,305,0.09022568166255951
240,55663, TRI,306,0.017628658562898636
241,38671,ANGLE,307,-0.02095188945531845
242,374, is,308,0.17340442538261414
243,7559, located,309,0.28907835483551025
244,10007, south,310,0.32223573327064514
245,315, of,311,0.1474049985408783
246,81137, FOOT,312,0.03580917418003082
247,13396,BR,313,0.01481153815984726
248,55256,IDGE,314,0.01550222560763359
249,36564, OVER,315,0.025278516113758087
250,78687, BRO,316,0.07627183943986893
251,4012,OK,317,-0.010703080333769321
252,50,S,318,-0.015865322202444077
