generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,55,-0.007209517061710358
1,4320, answer,56,-0.005332343280315399
2,420, this,57,-0.008447403088212013
3,3488, question,58,-0.004530866630375385
4,11,",",59,-0.02126174420118332
5,584, we,60,-0.0018773212796077132
6,1205, need,61,-0.0029913089238107204
7,311, to,62,0.011797139421105385
8,1440, know,63,0.04282524436712265
9,279, the,64,0.06755319982767105
10,10345, lif,65,0.13236460089683533
11,25632,esp,66,0.1715741753578186
12,598,ans,67,-0.011890792287886143
13,315, of,68,0.06439104676246643
14,2225, both,69,-0.005390980280935764
15,64532, Abdullah,70,0.005930797196924686
16,19185, ib,71,-0.021117832511663437
17,77,n,72,-0.02887507528066635
18,23720, Ja,73,-0.014541840180754662
19,6,',74,-0.012740826234221458
20,24470,far,75,-0.018551621586084366
21,323, and,76,-0.003324296325445175
22,103372, 高,77,-0.013213074766099453
23,103558,�,78,-0.025127381086349487
24,97,�,79,0.0078761987388134
25,320, (,80,-0.008417211472988129
26,19171,also,81,-0.014404751360416412
27,3967, known,82,0.006988434586673975
28,439, as,83,-0.029358308762311935
29,480, G,84,-0.01644190214574337
30,3524,ao,85,-0.005944494158029556
31,6588, Run,86,0.0009156032465398312
32,3677,").

",87,-0.004167869687080383
33,5953,Ab,88,0.008619111031293869
34,67,d,89,-0.021771898493170738
35,41897,ullah,90,-0.011665118858218193
36,19185, ib,91,-0.011698124930262566
37,77,n,92,-0.03188787400722504
38,23720, Ja,93,-0.006058780010789633
39,6,',94,0.0060079991817474365
40,24470,far,95,0.06412481516599655
41,320, (,96,0.06211346387863159
42,66,c,97,0.012714261189103127
43,13,.,98,-0.001065857708454132
44,220, ,99,-0.0036119415890425444
45,19808,622,100,0.005042206030339003
46,14,/,101,-0.0009523360058665276
47,22801,623,102,-0.01429834309965372
48,482, -,103,0.007047533057630062
49,220, ,104,-0.003506856271997094
50,23459,699,105,0.008432709611952305
51,14,/,106,0.006693776696920395
52,7007,700,107,0.0059020137414336205
53,9827, AD,108,0.005697469227015972
54,8,),109,0.010634348727762699
55,574, was,110,0.07029591500759125
56,264, a,111,0.019053922966122627
57,22489, companion,112,0.003427265677601099
58,315, of,113,0.0077145579271018505
59,279, the,114,0.006845881696790457
60,15558, Islamic,115,0.01574169471859932
61,53604, prophet,116,0.010743487626314163
62,36831, Muhammad,117,0.009304514154791832
63,323, and,118,0.009217635728418827
64,264, a,119,0.03198905289173126
65,4562, member,120,0.008394679985940456
66,315, of,121,-0.017344987019896507
67,813, his,122,0.01918887160718441
68,3070, family,123,0.024355202913284302
69,1555, through,124,0.0021608127281069756
70,813, his,125,-0.004241906106472015
71,11103, marriage,126,-0.0076950471848249435
72,311, to,127,-0.017314421012997627
73,1901, Z,128,0.001123517518863082
74,352,ay,129,-0.0012186227831989527
75,77,n,130,-0.004483385942876339
76,370,ab,131,0.0016154348850250244
77,293, b,132,0.0007210816256701946
78,396,int,133,0.011685178615152836
79,14925, Ali,134,0.007235588971525431
80,11,",",135,6.927759386599064e-06
81,264, a,136,0.004120273049920797
82,92490, granddaughter,137,0.006485097575932741
83,315, of,138,0.008384319953620434
84,36831, Muhammad,139,0.015001785010099411
85,382,".

",140,-0.006116256583482027
86,45736,高,141,-0.0004165004938840866
87,103558,�,142,-0.024772655218839645
88,97,�,143,-0.01321087870746851
89,320, (,144,0.028444882482290268
90,38,G,145,0.029620472341775894
91,3524,ao,146,-0.016551457345485687
92,6588, Run,147,-0.013023190200328827
93,8,),148,0.004556935280561447
94,12439, lived,149,0.057479359209537506
95,2391, during,150,0.06657028198242188
96,279, the,151,0.012480144388973713
97,41462, Tang,152,0.03173229098320007
98,74495, Dynasty,153,0.0157792828977108
99,304, in,154,0.012404165230691433
100,5734, China,155,-0.0009901373414322734
101,13,.,156,0.020006336271762848
102,4740, After,157,0.016576800495386124
103,45243, researching,158,-0.01772928237915039
104,11,",",159,0.007155450992286205
105,358, I,160,-0.0027656105812639
106,1766, found,161,0.003961140289902687
107,430, that,162,-0.009107355028390884
108,103372, 高,163,0.017591852694749832
109,103558,�,164,-0.030795909464359283
110,97,�,165,-0.013233596459031105
111,320, (,166,0.06307626515626907
112,38,G,167,0.010643336921930313
113,3524,ao,168,-0.03752436116337776
114,6588, Run,169,-0.010196608491241932
115,8,),170,0.011330629698932171
116,574, was,171,0.07846242189407349
117,264, a,172,0.03683115914463997
118,8620, Chinese,173,0.011146550066769123
119,4689, general,174,0.0031043710187077522
120,889, who,175,0.034110501408576965
121,8636, died,176,0.07301627844572067
122,304, in,177,0.0028268685564398766
123,220, ,178,-0.0014661808963865042
124,24456,756,179,0.006640961859375238
125,9827, AD,180,-0.01082650013267994
126,382,".

",181,-0.005545889958739281
127,7184,Now,182,0.012042775750160217
128,11,",",183,-0.009195497259497643
129,27393, comparing,184,0.013856807723641396
130,872, their,185,0.08016616851091385
131,10345, lif,186,0.17582644522190094
132,25632,esp,187,0.16161499917507172
133,598,ans,188,-0.023617146536707878
134,512,":
",189,0.020268725231289864
135,12,-,190,0.03131411597132683
136,64532, Abdullah,191,0.0398905873298645
137,19185, ib,192,0.006215718574821949
138,77,n,193,0.10851512104272842
139,23720, Ja,194,-0.00015354552306234837
140,6,',195,-0.02581240050494671
141,24470,far,196,-0.03525139018893242
142,574, was,197,0.11163566261529922
143,9405, born,198,0.06734557449817657
144,2212, around,199,0.00208751717582345
145,220, ,200,-0.02102041244506836
146,19808,622,201,-0.03348308056592941
147,14,/,202,-0.019039515405893326
148,22801,623,203,-0.016893751919269562
149,9827, AD,204,0.005200668703764677
150,323, and,205,0.00796289462596178
151,8636, died,206,0.07487866282463074
152,2212, around,207,-0.006845290306955576
153,220, ,208,-0.010125827044248581
154,23459,699,209,-0.003474812489002943
155,14,/,210,-0.015286365523934364
156,7007,700,211,-0.019935254007577896
157,9827, AD,212,-0.0028210137970745564
158,627,".
",213,0.06736604869365692
159,12,-,214,-0.020844338461756706
160,103372, 高,215,-0.0033290786668658257
161,103558,�,216,-0.03041316568851471
162,97,�,217,-0.021144822239875793
163,320, (,218,0.018177855759859085
164,38,G,219,-0.018121138215065002
165,3524,ao,220,-0.035677626729011536
166,6588, Run,221,0.0030409968458116055
167,8,),222,0.010517160408198833
168,8636, died,223,0.05867716670036316
169,304, in,224,0.001751189585775137
170,220, ,225,-0.002491287887096405
171,24456,756,226,-0.0042224242351949215
172,9827, AD,227,0.0001309034414589405
173,11,",",228,0.041707973927259445
174,719, but,229,0.03455374389886856
175,358, I,230,0.02762186899781227
176,7846, couldn,231,0.0008447767468169332
177,956,'t,232,-0.03463291749358177
178,1505, find,233,0.02137366309762001
179,813, his,234,0.020401252433657646
180,7342, birth,235,0.05070103704929352
181,1045,date,236,0.015153616666793823
182,13,.,237,-0.0056107365526258945
183,4452, However,238,-0.008765170350670815
184,11,",",239,-0.023507200181484222
185,2728, given,240,0.03664855286478996
186,430, that,241,0.04279133677482605
187,568, he,242,0.06696119159460068
188,8636, died,243,0.06593745201826096
189,304, in,244,0.01970398612320423
190,220, ,245,0.003036657813936472
191,24456,756,246,-0.020427895709872246
192,9827, AD,247,0.0007690303027629852
193,11,",",248,0.014421030879020691
194,433, it,249,0.014958658255636692
195,596,'s,250,0.006897114682942629
196,13579, reasonable,251,0.0035262221936136484
197,311, to,252,0.014596967957913876
198,9855, assume,253,0.030287815257906914
199,568, he,254,0.02344556525349617
200,574, was,255,0.07751684635877609
201,9405, born,256,0.04862558841705322
202,36113, sometime,257,0.012922043912112713
203,304, in,258,-0.008213946595788002
204,279, the,259,-0.008981985040009022
205,4216, early,260,-0.009505614638328552
206,220, ,261,0.012540576048195362
207,23,8,262,-0.00985012948513031
208,339,th,263,-0.02075904607772827
209,9478, century,264,0.008165176957845688
210,11,",",265,-0.0005342354997992516
211,4461, likely,266,0.009133830666542053
212,1306, after,267,0.012090005911886692
213,64532, Abdullah,268,-0.005052886437624693
214,19185, ib,269,-0.007271886803209782
215,77,n,270,0.1297588348388672
216,23720, Ja,271,-0.026673926040530205
217,6,',272,-0.03486954793334007
218,24470,far,273,-0.03703761473298073
219,596,'s,274,0.03320293128490448
220,4648, death,275,0.0821586474776268
221,382,".

",276,0.013482686132192612
222,22818,Given,277,-0.020194776356220245
223,420, this,278,-0.00830119103193283
224,2038, information,279,-0.007963118143379688
225,11,",",280,-0.027652682736516
226,64532, Abdullah,281,-0.008928249590098858
227,19185, ib,282,-0.005047126207500696
228,77,n,283,0.028206590563058853
229,23720, Ja,284,0.014224591664969921
230,6,',285,0.1390390545129776
231,24470,far,286,-0.022509701550006866
232,8636, died,287,0.0673551931977272
233,1603, before,288,0.022383667528629303
234,103372, 高,289,-0.008427247405052185
235,103558,�,290,-0.032295797020196915
236,97,�,291,-0.024890322238206863
237,320, (,292,0.021014448255300522
238,38,G,293,-0.015242445282638073
239,3524,ao,294,-0.02749033458530903
240,6588, Run,295,-0.01253427006304264
241,705,"),",296,0.013139290735125542
242,719, but,297,-0.00524537730962038
243,2085, without,298,0.012692865915596485
244,279, the,299,0.02394026517868042
245,4839, exact,300,0.03612351790070534
246,7342, birth,301,0.05539565905928612
247,1045,date,302,0.009866908192634583
248,315, of,303,-0.004965133965015411
249,480, G,304,-0.02408509887754917
250,3524,ao,305,-0.028045302256941795
251,6588, Run,306,-0.011578088626265526
252,11,",",307,-0.0151357501745224
253,584, we,308,-0.012544723227620125
254,649, can,309,-0.01656741462647915
255,956,'t,310,-0.014303864911198616
